"gene","brainregion","count"
"SYP Gene","Genus Hippocampus","84"
"c-fos Genes","Brain Stem","83"
"HTT gene","Cerebral cortex","83"
"Heterozygote","BRAIN, HIPPOCAMPUS","83"
"Genes","Pyramidal Cells","83"
"Tumor Necrosis Factor-alpha","Cerebral cortex","82"
"APP gene","Cerebral cortex","81"
"GHRL Gene","Hypothalamic structure","81"
"CHAT Gene","Corpus striatum structure","80"
"NR3C1 Gene","BRAIN, HIPPOCAMPUS","80"
"FST wt Allele","Pyramidal Cells","80"
"Wild Type","Substantia nigra structure","79"
"Genes","Thalamic structure","79"
"SST wt Allele","Structure of paraventricular nucleus of thalamus","79"
"Genes","Anterodorsal nucleus of thalamus","79"
"NTRK2 Gene","Genus Hippocampus","79"
"Genome","BRAIN, HIPPOCAMPUS","78"
"Long Interspersed Element","Genus Hippocampus","78"
"CREB1 Gene","Genus Hippocampus","78"
"CREB1 wt Allele","Genus Hippocampus","78"
"GRIN2A Gene","BRAIN, HIPPOCAMPUS","77"
"estrogen receptor alpha, human","BRAIN, HIPPOCAMPUS","77"
"Genes","Midbrain structure","77"
"OXT Gene","Structure of supraoptic nucleus","77"
"c-fos Genes","central amygdalar nucleus","77"
"Chloramphenicol Acetyl Transferase Gene","Brain Stem","76"
"CAT Gene","Brain Stem","76"
"Chloramphenicol O-Acetyltransferase","Brain Stem","76"
"IRF6 wt Allele","BRAIN, HIPPOCAMPUS","76"
"ESR1 Gene","BRAIN, HIPPOCAMPUS","76"
"HCRT Gene","Structure of locus ceruleus","76"
"TH gene","Nucleus solitarius","76"
"FASTK Gene","Genus Hippocampus","75"
"SILV wt Allele","Cerebral cortex","74"
"SIRT1 Gene","BRAIN, HIPPOCAMPUS","74"
"CRH Gene","Pituitary Gland","74"
"OXT Gene","Pituitary Gland, Posterior","74"
"CRH Gene","central amygdalar nucleus","74"
"NPY wt Allele","Structure of nucleus infundibularis hypothalami","73"
"LITAF gene","Cerebellum","73"
"MTOR Gene","Cerebral cortex","73"
"Genes, Immediate-Early","BRAIN, HIPPOCAMPUS","73"
"Genotype","BRAIN, HIPPOCAMPUS","73"
"RANGAP1 wt Allele","BRAIN, HIPPOCAMPUS","73"
"KISS1 Gene","Hypothalamic Area, Lateral","73"
"NF2 gene","Structure of suprachiasmatic nucleus","73"
"NF2 wt Allele","Structure of suprachiasmatic nucleus","73"
"NGF Gene","Genus Hippocampus","73"
"NGF Gene","Cerebral cortex","72"
"GRIN2B wt Allele","Cerebral cortex","72"
"GHRL Gene","BRAIN, HIPPOCAMPUS","72"
"AKT1S1 wt Allele","Medulla Oblongata","72"
"Sequence Tagged Sites","Structure of superior temporal sulcus","72"
"STS gene","Structure of superior temporal sulcus","72"
"INS gene","Genus Hippocampus","71"
"MTOR Gene","Genus Hippocampus","71"
"NDOR1 Gene","BRAIN, HIPPOCAMPUS","70"
"NDOR1 wt Allele","BRAIN, HIPPOCAMPUS","70"
"c-fos Genes","Ventral Tegmental Area","70"
"CD69 wt Allele","Cerebral hemisphere structure (body structure)","70"
"MAPT wt Allele","Brain Stem","69"
"SQSTM1 wt Allele","BRAIN, HIPPOCAMPUS","69"
"Chloramphenicol Acetyl Transferase Gene","Medulla Oblongata","69"
"CAT Gene","Medulla Oblongata","69"
"Chloramphenicol O-Acetyltransferase","Medulla Oblongata","69"
"CHAT Gene","Diagonal Band of Broca","69"
"MIR155 Gene","Structure of inferior brachium of corpora quadrigemina","69"
"FASTK Gene","CA2 field","69"
"CAT Gene","Cerebellum","68"
"c-fos Genes","Hypothalamic Area, Lateral","68"
"Chloramphenicol Acetyl Transferase Gene","Lateral geniculate complex","68"
"CAT Gene","Lateral geniculate complex","68"
"Chloramphenicol O-Acetyltransferase","Lateral geniculate complex","68"
"MAPT wt Allele","CA1 field","68"
"Genes","CA1 field","68"
"Wild Type","CA3 field","68"
"AKR1A1 wt Allele","Cortex, Primary Motor","68"
"TH gene","Brain Stem","67"
"TNF Gene","Cerebral cortex","67"
"NR3C2 Gene","BRAIN, HIPPOCAMPUS","67"
"FASTK Gene","Structure of paraventricular nucleus of thalamus","67"
"TH gene","Structure of nucleus infundibularis hypothalami","66"
"Long Interspersed Element","Cerebellum","66"
"YY1 wt Allele","Cerebral cortex","66"
"NLRP3 Gene","BRAIN, HIPPOCAMPUS","66"
"c-fos Genes","Structure of locus ceruleus","66"
"MTR wt Allele","Structure of locus ceruleus","66"
"MTR Gene","Structure of locus ceruleus","66"
"MAPT wt Allele","Temporal Lobe","66"
"CNR1 gene","Structure of angular gyrus","66"
"FST wt Allele","Structure of rubrospinal tract","66"
"CAT Gene","BRAIN, HIPPOCAMPUS","65"
"SOD1 wt Allele","BRAIN, HIPPOCAMPUS","65"
"Genes","Neocortex","65"
"PSEN1 gene","Anterodorsal nucleus of thalamus","65"
"KISS1 Gene","Anteroventral Periventricular Nucleus","65"
"NTRK2 Gene","Cerebral cortex","64"
"Promoter","Cerebral cortex","64"
"DCX gene","Structure of dentate gyrus","64"
"Chloramphenicol Acetyl Transferase Gene","Cerebellum","63"
"Chloramphenicol O-Acetyltransferase","Cerebellum","63"
"SLC6A3 Gene","Corpus striatum structure","63"
"TH gene","BRAIN, HIPPOCAMPUS","63"
"TP53 gene","BRAIN, HIPPOCAMPUS","63"
"Estrogen Receptors","Hypothalamic structure","63"
"TH gene","Nucleus Accumbens","63"
"SLC6A3 Gene","Neostriatum","63"
"Genes","Cerebral hemisphere structure (body structure)","63"
"Genes","Amygdaloid structure","62"
"MRC1 Gene","BRAIN, HIPPOCAMPUS","62"
"TNFRSF1B wt Allele","BRAIN, HIPPOCAMPUS","62"
"TP53 wt Allele","BRAIN, HIPPOCAMPUS","62"
"Genes","Substantia nigra structure","62"
"ENG wt Allele","CA1 field","62"
"BAG3 wt Allele","CA2 field","62"
"CUX1 wt Allele","BRAIN, HIPPOCAMPUS","61"
"Genes","Bundle, Predorsal","61"
"CD69 wt Allele","Cerebellum","60"
"TARDBP wt Allele","BRAIN, HIPPOCAMPUS","60"
"PRNP gene","BRAIN, HIPPOCAMPUS","60"
"SGPL1 Gene","Structure of superior parietal lobule","60"
"SGPL1 wt Allele","Structure of superior parietal lobule","60"
"CAT Gene","Pyramidal Cells","60"
"GRIN2B Gene","Genus Hippocampus","60"
"BDNF Gene","Corpus striatum structure","59"
"PSIP1 Gene","BRAIN, HIPPOCAMPUS","59"
"LITAF gene","BRAIN, HIPPOCAMPUS","59"
"PRL Gene","Pituitary Gland","59"
"Wild Type","Thalamic structure","59"
"FASTK Gene","Structure of rubrospinal tract","59"
"BDNF Gene","Neostriatum","59"
"PDZK1 Gene","Pyramidal Cells","59"
"PDZK1 wt Allele","Pyramidal Cells","59"
"MAPK3 Gene","Genus Hippocampus","59"
"MAP Kinase Gene","Genus Hippocampus","59"
"CDKN2A wt Allele","BRAIN, HIPPOCAMPUS","58"
"MECP2 gene","BRAIN, HIPPOCAMPUS","58"
"PLOD1 gene","Pituitary Gland","58"
"PITX2 wt Allele","Pyramidal Cells","58"
"APOE gene","Anterodorsal nucleus of thalamus","58"
"MAPK3 wt Allele","Genus Hippocampus","58"
"AKT1S1 wt Allele","Entire medulla oblongata","58"
"TH gene","Entire medulla oblongata","58"
"MAP3K14 wt Allele","BRAIN, HIPPOCAMPUS","57"
"MECP2 wt Allele","BRAIN, HIPPOCAMPUS","57"
"AKT1S1 wt Allele","Median eminence of hypothalamus","57"
"ENG wt Allele","Medulla Oblongata","57"
"Chloramphenicol Acetyl Transferase Gene","Motor Cortex","57"
"CAT Gene","Motor Cortex","57"
"Chloramphenicol O-Acetyltransferase","Motor Cortex","57"
"AVP Gene","Structure of suprachiasmatic nucleus","57"
"Chloramphenicol Acetyl Transferase Gene","Pyramidal Cells","57"
"Chloramphenicol O-Acetyltransferase","Pyramidal Cells","57"
"Regulatory Sequences, Nucleic Acid","Central insular sulcus","57"
"MRC1 Gene","Structure of nucleus gracilis","57"
"NR3C2 Gene","Structure of nucleus gracilis","57"
"PITX2 wt Allele","Cerebral cortex","56"
"MAPK3 Gene","Cerebral cortex","56"
"TLR4 Gene","BRAIN, HIPPOCAMPUS","56"
"AVP Gene","Hypothalamic structure","56"
"CRH Gene","Structure of paraventricular nucleus","56"
"c-fos Genes","Dorsal Nucleus Raphe","56"
"Wild Type","Ventral Tegmental Area","56"
"Chloramphenicol Acetyl Transferase Gene","Cortex, Primary Motor","56"
"CAT Gene","Cortex, Primary Motor","56"
"Chloramphenicol O-Acetyltransferase","Cortex, Primary Motor","56"
"KISS1 Gene","Amygdaloid structure","55"
"HTT gene","Basal Ganglia","55"
"FASTK Gene","Corpus striatum structure","55"
"MAPK8 wt Allele","BRAIN, HIPPOCAMPUS","55"
"HCRT Gene","BRAIN, HIPPOCAMPUS","55"
"SST Gene","Neostriatum","55"
"HOXA10 wt Allele","Prefrontal Cortex","55"
"FANCA wt Allele","Medial Dorsal Nucleus","55"
"SHH Gene","Cerebellum","54"
"INS gene","Cerebral cortex","54"
"TH gene","Cerebral cortex","54"
"FAM49B wt Allele","Cerebral cortex","54"
"MAPK3 wt Allele","Cerebral cortex","54"
"SST Gene","Hypothalamic structure","54"
"estrogen receptor alpha, human","Hypothalamic structure","54"
"MPZ gene","Substantia nigra structure","54"
"LEP Gene","Nucleus solitarius","54"
"FASTK Gene","CA3 field","54"
"INS gene","Structure of nucleus infundibularis hypothalami","53"
"FST wt Allele","Cerebral cortex","53"
"Heterozygote","Cerebral cortex","53"
"SST Gene","Corpus striatum structure","53"
"GRM5 wt Allele","BRAIN, HIPPOCAMPUS","53"
"KHDRBS1 wt Allele","BRAIN, HIPPOCAMPUS","53"
"PRL Gene","Median eminence of hypothalamus","53"
"Wild Type","Midbrain structure","53"
"MPZ gene","Neostriatum","53"
"NPY Gene","Linear nucleus","53"
"NPY wt Allele","Linear nucleus","53"
"CR2 wt Allele","Cerebral cortex","52"
"RASA1 wt Allele","Cerebral cortex","52"
"JUN Gene","BRAIN, HIPPOCAMPUS","52"
"SQSTM1 Gene","BRAIN, HIPPOCAMPUS","52"
"IL6 Gene","BRAIN, HIPPOCAMPUS","52"
"c-fos Genes","Thalamic structure","52"
"FASTK Gene","Neostriatum","52"
"Wild Type","Prefrontal Cortex","52"
"GFAP gene","CA1 field","52"
"CD69 wt Allele","Brain Stem","51"
"RASA1 Gene","Cerebral cortex","51"
"MPZ gene","Corpus striatum structure","51"
"PDZK1 Gene","BRAIN, HIPPOCAMPUS","51"
"PDZK1 wt Allele","BRAIN, HIPPOCAMPUS","51"
"ESR1 wt Allele","BRAIN, HIPPOCAMPUS","51"
"SLC6A3 Gene","Thalamic structure","51"
"c-fos Genes","Prosencephalon","51"
"CALR Gene","Retro-olivary cell group","51"
"CALR wt Allele","Retro-olivary cell group","51"
"SST Gene","CA1 field","51"
"PIK3CA wt Allele","Genus Hippocampus","51"
"Genes","Brain Stem","50"
"ELK3 Gene","Cerebral cortex","50"
"ELK3 wt Allele","Cerebral cortex","50"
"MAP Kinase Gene","Cerebral cortex","50"
"HTR1A wt Allele","BRAIN, HIPPOCAMPUS","50"
"ROS1 Gene","BRAIN, HIPPOCAMPUS","50"
"ROS1 wt Allele","BRAIN, HIPPOCAMPUS","50"
"PLOD1 gene","Hypothalamic structure","50"
"AGT Gene","Medulla Oblongata","50"
"AKR1A1 wt Allele","Motor Cortex","50"
"FASTK Gene","Prefrontal Cortex","50"
"HTR1A wt Allele","Dorsal Nucleus Raphe","50"
"MAPT wt Allele","Cerebral hemisphere structure (body structure)","50"
"PSEN1 wt Allele","Anterodorsal nucleus of thalamus","50"
"c-fos Genes","Central gray substance of midbrain","50"
"ATP8A2 wt Allele","intercalated amygdalar nuclei","50"
"CD69 wt Allele","CA1 field","50"
"PITX2 wt Allele","Genus Hippocampus","50"
