"gene","disease","count"
"MAPT wt Allele","Memory impairment","89"
"PARK2 gene","Parkinson Disease","88"
"BLM wt Allele","Bloom Syndrome","88"
"MAPT wt Allele","Oxidative Stress","88"
"TNF Gene","Oxidative Stress","86"
"APP gene","Impaired cognition","86"
"MITF Gene","Myocardial Infarction","86"
"MITF wt Allele","Myocardial Infarction","86"
"Wild Type","Pathology processes","85"
"CD69 wt Allele","Cerebral Ischemia","85"
"Genes","Ethanol","84"
"Genes","Metabolic","84"
"GRN Gene","Frontotemporal Lobar Degeneration","84"
"HTT gene","Abnormal degeneration","84"
"MAPT gene","Neurofibrillary degeneration (morphologic abnormality)","84"
"Wild Type","Nerve Degeneration","84"
"MAPT wt Allele","cortex bone disorders","84"
"ITGB3 wt Allele","Thrombasthenia","83"
"Wild Type","Infarction","83"
"ITGA2B wt Allele","Thrombasthenia","83"
"Tumor Necrosis Factor-alpha","Injury due to exposure to external cause","82"
"TARDBP wt Allele","Feline urological syndrome","82"
"CD69 wt Allele","Alzheimer's Disease","82"
"Alleles","Genetic Carriers","81"
"SHH Gene","Medulloblastoma","81"
"TH gene","Parkinson Disease","81"
"MAPT gene","Tauopathies","81"
"FLT4 wt Allele","Lymphoma of Heart","81"
"FLT4 wt Allele","Milroy Disease","81"
"TP63 wt Allele","Androgen-Insensitivity Syndrome","81"
"POLE Gene","Test Result","80"
"TH gene","Injury due to exposure to external cause","80"
"APP wt Allele","Alzheimer's Disease","80"
"CYP27A1 wt Allele","Xanthomatosis, Cerebrotendinous","80"
"Genes","Down Syndrome","79"
"Genes","Depressive disorder","79"
"PDC Gene","Paroxysmal nonkinesigenic dyskinesia","79"
"PSEN1 gene","Senile Plaques","79"
"SST wt Allele","Polycythemia Vera","79"
"Wild Type","Amyotrophic Lateral Sclerosis","79"
"Wild Type","Anxiety","79"
"CD69 wt Allele","Brain Injuries","79"
"MTOR Gene","Tuberous Sclerosis","78"
"Long Interspersed Element","Hypersensitivity","78"
"PRNP wt Allele","Prion Diseases","78"
"Genes","Coitus","77"
"Wild Type","Impaired health","77"
"CD69 wt Allele","Traumatic Brain Injury","77"
"KISS1 Gene","Sex Behavior","76"
"INS gene","Alzheimer's Disease","76"
"Wild Type","Sex Behavior","76"
"Wild Type","Alzheimer's Disease","76"
"ATP2A2 wt Allele","Keratosis Follicularis","76"
"Genes","Abnormal behavior","75"
"Genes","Obesity","75"
"Heterozygote","Malnutrition","75"
"TNF Gene","Injury due to exposure to external cause","75"
"DMD gene","Muscular Dystrophy, Duchenne","75"
"SNRPN gene","Spinal Muscular Atrophy","75"
"Wild Type","Traumatic Brain Injury","75"
"Genes","Impaired cognition","74"
"Genes","DEPRESSION MENTAL","74"
"Genes","Cancer patients and suicide and depression","74"
"HTT gene","Disorder nervous system","74"
"PINK1 gene","Parkinson Disease","74"
"GNRH1 wt Allele","Pituitary Diseases","74"
"Genes","Ischemia","73"
"Genes","Hypoxia","73"
"NF2 gene","Spindle cell hemangioma","73"
"MTOR Gene","Epilepsy","73"
"HTT gene","Pathogenesis","73"
"OPA1 gene","Optic Atrophy, Autosomal Dominant","73"
"LITAF gene","cortex bone disorders","73"
"ENG wt Allele","Incised wound","73"
"NF2 wt Allele","Spindle cell hemangioma","73"
"CYLD wt Allele","Transmissible mink encephalopathy","73"
"Genes","Infection","72"
"APP gene","Malnutrition","72"
"DES Gene","Dysequilibrium syndrome","72"
"AKR1C2 wt Allele","Keratosis Follicularis","72"
"Genes","Disease Progression","71"
"Genes","Impaired health","71"
"PRNP gene","Scrapie","71"
"Retinoic Acid Response Element","Neurodegenerative Disorders","71"
"TSC1 wt Allele","Tuberous Sclerosis","71"
"MAPT wt Allele","Inflammation","71"
"MED12 wt Allele","Optic Atrophy, Autosomal Dominant","71"
"TNC Gene","Trigeminal Neuralgia","70"
"CRH Gene","Pituitary Diseases","70"
"CAT Gene","Spinal Cord Diseases","70"
"HCRT Gene","Cataplexy","70"
"PSEN1 gene","Dental Plaque","70"
"LITAF gene","Hypersensitivity","70"
"Tumor Necrosis Factor-alpha","Van der Woude syndrome","70"
"FGFR1 wt Allele","Oxidative Stress","70"
"Chloramphenicol O-Acetyltransferase","Spinal Cord Diseases","69"
"PSEN1 gene","Impaired cognition","69"
"TH gene","biologic degeneration","69"
"ATP8A2 wt Allele","Anoxia","69"
"Wild Type","Toxic effect","69"
"MAPT wt Allele","neuropathology disease","69"
"SLC4A1 wt Allele","Diabetes Insipidus","69"
"c-fos Genes","cortex bone disorders","68"
"Cancer-Predisposing Gene","Schizophrenia","68"
"Chloramphenicol Acetyl Transferase Gene","Spinal Cord Diseases","68"
"ABCB6 wt Allele","Prion Diseases","68"
"TNC wt Allele","Trigeminal Neuralgia","68"
"Alleles","Alzheimer's Disease","67"
"Genes","Obstetric Delivery","67"
"Genes","Spinal Muscular Atrophy","67"
"Genes","AIDS related complex","67"
"FAT1 gene","Body Weight","67"
"FASTK Gene","Polycythemia Vera","67"
"LIPC Gene","Hodgkin Disease","67"
"TH gene","Abnormal degeneration","67"
"Wild Type","Cell Death","67"
"LIPC wt Allele","Hodgkin Disease","67"
"CD69 wt Allele","Oxidative Stress","67"
"CD36 Gene","Body Weight","66"
"SOD1 gene","Disease Progression","66"
"CD36 wt Allele","Body Weight","66"
"FAT wt Allele","Body Weight","66"
"TARDBP wt Allele","Neurodegenerative Disorders","66"
"CD69 wt Allele","Amyotrophic Lateral Sclerosis","66"
"Genotype","Sex Behavior","65"
"GFAP gene","cortex bone disorders","65"
"SHANK3 Gene","Autism Spectrum Disorders","65"
"C9orf72 Gene","Frontotemporal Lobar Degeneration","65"
"Wild Type","Spinal Cord Diseases","65"
"Wild Type","Fear","65"
"AKR1A1 wt Allele","Reaching","65"
"Genes","Neurotoxicity Syndromes","64"
"c-fos Genes","Cocaine","64"
"SMN2 gene","Spinal Muscular Atrophy","64"
"TH gene","Malnutrition","64"
"Wild Type","Coitus","64"
"PSEN1 wt Allele","Impaired cognition","64"
"Genes","Frontotemporal Lobar Degeneration","63"
"Genes","Multiple Sclerosis","63"
"c-fos Genes","Lesion","63"
"TNF Gene","Van der Woude syndrome","63"
"ERBB4 Gene","Schizophrenia","63"
"APP gene","Memory impairment","63"
"PSEN1 gene","Pathology processes","63"
"SNCA gene","Parkinson Disease","63"
"Retinoic Acid Response Element","Amyotrophic Lateral Sclerosis","63"
"ENG wt Allele","Injury due to exposure to external cause","63"
"Wild Type","Ischemia","63"
"Wild Type","Body Weight","63"
"ELN wt Allele","Williams Syndrome","63"
"Genome","Schizophrenia","62"
"Genotype","Coitus","62"
"c-fos Genes","AIDS related complex","62"
"GRN Gene","Malnutrition","62"
"HTT gene","Chorea","62"
"PSEN1 wt Allele","Senile Plaques","62"
"CD69 wt Allele","Lesion","62"
"CD69 wt Allele","Impaired cognition","62"
"CD69 wt Allele","Ischemia","62"
"AKR1A1 wt Allele","Test Result","62"
"Genes","Mental Retardation","61"
"Genes","Retinal Diseases","61"
"RRAD Gene","Symmetrical dyschromatosis of extremities","61"
"HCRT Gene","Malnutrition","61"
"ATP8A2 wt Allele","Hypoxia","61"
"RRAD wt Allele","Symmetrical dyschromatosis of extremities","61"
"GYPA wt Allele","Amyotrophic Lateral Sclerosis","61"
"ELN wt Allele","Werner Syndrome","61"
"Chromosomes, Human, Pair 21","Down Syndrome","60"
"ROS1 Gene","Oxidative Stress","60"
"CAT Gene","Oxidative Stress","60"
"HTT gene","Cessation of life","60"
"HTT gene","Death (finding)","60"
"MPZ gene","Injury due to exposure to external cause","60"
"ROS1 wt Allele","Oxidative Stress","60"
"ENG wt Allele","cortex bone disorders","59"
"ATP8A2 wt Allele","Metabolic","59"
"MAPT wt Allele","Congenital Abnormality","59"
"FMOD wt Allele","Hypersensitivity","59"
"c-fos Genes","Seizures","58"
"c-fos Genes","Fear","58"
"APP gene","Cutaneous plaque","58"
"FASTK Gene","DEPRESSION MENTAL","58"
"OXT Gene","Birth","58"
"TH gene","Physical shape","58"
"LITAF gene","Physical shape","58"
"Wild Type","Oxidative Stress","58"
"MAPT wt Allele","Hyperactive behavior","58"
"FUS wt Allele","Feline urological syndrome","58"
"PARK7 wt Allele","Oxidative Stress","58"
"Regulatory Sequences, Nucleic Acid","Carcinoma in Situ","57"
"APP gene","cortex bone disorders","57"
"FASTK Gene","cortex bone disorders","57"
"GBA gene","Parkinson Disease","57"
"GNRH1 Gene","Sex Behavior","57"
"GNRH1 Gene","Puberty","57"
"MPZ gene","Cessation of life","57"
"MPZ gene","Death (finding)","57"
"NGF Gene","Lesion","57"
"GRIN2B wt Allele","Injury due to exposure to external cause","57"
"Genes","Anoxia","56"
"TP53 gene","Cessation of life","56"
"TP53 gene","Death (finding)","56"
"TSC2 gene","Tuberous Sclerosis","56"
"INS gene","Hypersensitivity","56"
"APP gene","Pathogenesis","56"
"FASTK Gene","Methamphetamine","56"
"AGT Gene","Hypertensive disease","56"
"FMR1 gene","Intellectual Disability","56"
"MSN Gene","Cocaine","56"
"MTR Gene","Lesion","56"
"GCLC wt Allele","Leukodystrophy, Globoid Cell","56"
"TP53 wt Allele","Cessation of life","56"
"TP53 wt Allele","Death (finding)","56"
"Wild Type","Cocaine","56"
"PSEN1 wt Allele","Dental Plaque","56"
"CD69 wt Allele","Neurotoxicity Syndromes","56"
"Genes","Lesion","55"
"Genes","Unipolar Depression","55"
"FUS Gene","Frontotemporal dementia","55"
"MECP2 gene","Neurodevelopmental disorder","55"
"Long Interspersed Element","cortex bone disorders","55"
"Long Interspersed Element","Alzheimer's Disease","55"
"ATP8A2 wt Allele","Injury due to exposure to external cause","55"
"FANCA wt Allele","Muscular Dystrophy","55"
"BDNF Gene","Injury due to exposure to external cause","54"
"HOXA10 wt Allele","cortex bone disorders","54"
"HOXA10 wt Allele","Fear","54"
"MAPT wt Allele","Hypersensitivity","54"
"MTR wt Allele","Lesion","54"
"Genes","Cerebellar Ataxia","53"
"Genes","Glioma","53"
"Genes","Therapeutic radiology procedure","53"
"HCRT Gene","Cocaine","53"
"Long Interspersed Element","Pathology processes","53"
"FGFR1 wt Allele","Ischemia","53"
"GNRH1 wt Allele","Puberty","53"
"Wild Type","biologic degeneration","53"
"CD69 wt Allele","Epilepsy","53"
"Genes","Traumatic Brain Injury","52"
"Estrogen Receptors","Sex Behavior","52"
"BDNF Gene","Cessation of life","52"
"INS gene","Malnutrition","52"
"FASTK Gene","Depressive disorder","52"
"FASTK Gene","Cancer patients and suicide and depression","52"
"FASTK Gene","Seizures","52"
"CAT Gene","Glucocorticoid-remediable aldosteronism","52"
"HTT gene","Pathology processes","52"
"MPZ gene","Parkinson Disease","52"
"PRNP gene","Alzheimer's Disease","52"
"PSEN1 gene","Memory impairment","52"
"Tumor Necrosis Factor-alpha","cortex bone disorders","52"
"SOD1 wt Allele","Oxidative Stress","52"
"APP wt Allele","Dental Plaque","52"
"ATP8A2 wt Allele","Cessation of life","52"
"ATP8A2 wt Allele","Death (finding)","52"
"WAS wt Allele","Injury due to exposure to external cause","52"
"Genes","Fear","51"
"Genes","Liver diseases","51"
"BDNF Gene","Death (finding)","51"
"POMC Gene","Obesity","51"
"SET Gene","cortex bone disorders","51"
"HCRT Gene","Hypersensitivity","51"
"HTT gene","Malnutrition","51"
"LEP Gene","Reproduction","51"
"GNRH1 wt Allele","Sex Behavior","51"
"MAPT wt Allele","Amyotrophic Lateral Sclerosis","51"
"FMR1 wt Allele","Fragile X Syndrome","51"
"CD69 wt Allele","Hypoxia","51"
"BDNF Gene","Spinal Cord Diseases","50"
"SQSTM1 Gene","Amyotrophic Lateral Sclerosis","50"
"PINK1 gene","Malnutrition","50"
"Long Interspersed Element","Malnutrition","50"
"FGFR1 wt Allele","Cerebral Ischemia","50"
"NBN wt Allele","Nijmegen Breakage Syndrome","50"
"LIFR wt Allele","Sturge-Weber Syndrome","50"
"Wild Type","Inflammation","50"
"FBN1 wt Allele","Body Weight","50"
"PSEN1 wt Allele","Pathology processes","50"
"PSEN1 wt Allele","Memory impairment","50"
"CD69 wt Allele","Physical shape","50"
"c-fos Genes","Spinal Cord Diseases","49"
"TSC1 gene","Tuberous Sclerosis","49"
"TNF Gene","cortex bone disorders","49"
"SST Gene","cortex bone disorders","49"
"INS gene","Hyperglycemia","49"
"APP gene","Aortic Aneurysm","49"
"EPO Gene","Ethanol","49"
"HCRT Gene","Obesity","49"
"HTT gene","Impaired cognition","49"
"HP Gene","Nursing Diagnoses","49"
"HP Gene","Norrie disease","49"
"MRC1 Gene","Lesion","49"
"PRL Gene","Pituitary Diseases","49"
"SIRT1 Gene","Dysplastic Nevus","49"
"Tumor Necrosis Factor-alpha","Cessation of life","49"
"Tumor Necrosis Factor-alpha","Death (finding)","49"
"Long Interspersed Element","Functional disorder","49"
"APP wt Allele","Aortic Aneurysm","49"
"HP wt Allele","Nursing Diagnoses","49"
"HP wt Allele","Norrie disease","49"
"Wild Type","Abnormal degeneration","49"
"Wild Type","Neurotoxicity Syndromes","49"
"Wild Type","DEPRESSION MENTAL","49"
"Wild Type","Depressive disorder","49"
"Wild Type","Cancer patients and suicide and depression","49"
"IRF6 wt Allele","Inflammation","49"
"CD69 wt Allele","Hypersensitivity","49"
"CD69 wt Allele","Functional disorder","49"
"Genes","Cocaine","48"
"BDNF Gene","DEPRESSION MENTAL","48"
"BDNF Gene","Depressive disorder","48"
"TLR4 Gene","Inflammation","48"
"INS gene","Injury due to exposure to external cause","48"
"DYRK1A Gene","Down Syndrome","48"
"GFAP gene","Lesion","48"
"HTT gene","Multiple Sclerosis","48"
"NR3C2 Gene","Lesion","48"
"PSEN1 gene","Malnutrition","48"
"NAMPT gene","Ventricular Fibrillation","48"
"NAMPT gene","Ventricular Fibrillation by ECG Finding","48"
"Retinoic Acid Response Element","Hereditary Diseases","48"
"PLOD1 gene","Pituitary Diseases","48"
"PBEF1 wt Allele","Ventricular Fibrillation","48"
"PBEF1 wt Allele","Ventricular Fibrillation by ECG Finding","48"
"NBN wt Allele","Nicolaides Baraitser syndrome","48"
"Wild Type","Infection","48"
"MAPT wt Allele","Physical shape","48"
"CD69 wt Allele","Nerve Degeneration","48"
"Chloramphenicol O-Acetyltransferase","Lesion","47"
"Genes","Fragile X Syndrome","47"
"BDNF Gene","Impaired cognition","47"
"BDNF Gene","Cancer patients and suicide and depression","47"
"Chloramphenicol Acetyl Transferase Gene","Lesion","47"
"CAT Gene","Lesion","47"
"HTT gene","Toxic effect","47"
"RELN Gene","Schizophrenia","47"
"Tumor Necrosis Factor-alpha","Neurotoxicity Syndromes","47"
"ENG wt Allele","Test Result","47"
"SILV wt Allele","cortex bone disorders","47"
"ATP8A2 wt Allele","Ischemia","47"
"EPO wt Allele","Ethanol","47"
"MAPT wt Allele","Lewy Body Disease","47"
"MAPT wt Allele","Cell Death","47"
"CD69 wt Allele","DEPRESSION MENTAL","47"
"CD69 wt Allele","Depressive disorder","47"
"Genes","Parkinsonian Disorders","46"
"CHAT Gene","Alzheimer's Disease","46"
"PSEN1 gene","cortex bone disorders","46"
"MAPT gene","Neurodegenerative Disorders","46"
"MAPT gene","Frontotemporal dementia","46"
"Retinoic Acid Response Element","Malnutrition","46"
"Long Interspersed Element","Ethanol","46"
"FGFR1 wt Allele","Cerebral Infarction","46"
"ATP8A2 wt Allele","Dysplastic Nevus","46"
"PRNP wt Allele","Scrapie","46"
"CD69 wt Allele","Cancer patients and suicide and depression","46"
"CD69 wt Allele","Schizophrenia","46"
"BDNF Gene","cortex bone disorders","45"
"BDNF Gene","Exercise","45"
"ANG Gene","Hypertensive disease","45"
"APOE gene","Senile Plaques","45"
