brainregion,disease,text,pubdate
Nucleus Principal Pretectal,Parkinson Disease,For the texture and fractal analysis of the hippocampal gyrus dentatus images we used.tif images from three experimental groups of adult male Wistar rats: control rats rats with Parkinson disease (PD) cholinergic neuropathology (with a PPT lesion) and hemiparkinsonian rats (with a SNpc lesion).,2019 Dec
Somatosensory Cortex,cortex bone disorders,Furthermore we corroborated the findings with injections of adeno-associated viral vectors into the deep layers of the somatosensory cortex (the barrel cortex) of male mice.,2020 Mar
Cuneiform nucleus,Chronic Fatigue Syndrome,When corresponding correlations from HC and ME/CFS were compared ME/CFS connectivity deficits were detected within the brainstem between the medulla and cuneiform nucleus and between the brainstem and hippocampus and intralaminar thalamus but only during task.,2019
Genus Hippocampus,cortex bone disorders,Methods:                    To determine the effect of an inflammatory stimulus on microglial cells lipopolysaccharide (LPS) was administered peripherally to mice and the inflammatory status of the cortex hippocampus midbrain and striatum was assessed.,2019 Nov 22
Occipital lobe,Functional disorder,Therefore OL dysfunction and regeneration failure in the deep WM of the brain are the key pathophysiological mechanisms leading to delayed brain injury after CO poisoning.,2020 Mar
Pituitary Gland,Pituitary Diseases,Previously we reported the independent pituitary induction and hypothalamic differentiation of human embryonic stem cells (ESCs).,2020 Jan 7
Anterodorsal nucleus of thalamus,Alzheimer's Disease,Here we show that endogenous APP is highly expressed in a heterogeneous subset of GABAergic interneurons throughout various laminae of the hippocampus suggesting that these cells may have a profound contribution to AD plaque pathology.,2020 Jan 8
Anterodorsal nucleus of thalamus,Alzheimer's Disease,These findings reveal a crucial role of GABAergic interneurons in the pathology of AD.,2020 Jan 8
Genus Hippocampus,Functional disorder,The dentate gyrus of the hippocampus is notably susceptible to damage following TBI as hilar mossy cell changes in particular may contribute to post-TBI dysfunction.,2020 Jan 31
Corpus Callosum,Autistic Disorder,Previous evidence suggests the involvement of the CC in the pathophysiology of autism.,2019
Cerebral cortex,Disorders Mental,Altered cortical excitation-inhibition (E-I) balance resulting from abnormal parvalbumin interneuron (PV IN) function is a proposed pathophysiological mechanism of schizophrenia and other major psychiatric disorders.,2020 Mar 3
Cerebral cortex,cortex bone disorders,Here we show in mice that anchoring of the centrosome to the apical membrane controls the mechanical properties of cortical RGPs and consequently their mitotic behaviour and the size and formation of the cortex.,2020 Apr
BRAIN HIPPOCAMPUS,Bipolar Disorder,Conclusions:                    Our computational model of BD hippocampal neurons that was based on our measurements reproduced the experimental phenotypes of hyperexcitability and physiological instability.,2020 Jul 15
Genus Hippocampus,cortex bone disorders,The number of NeuN-positive neurons remained unchanged in the experimental brain cortex whereas the number of immature DCX neurons in the hippocampus fell markedly in the cryoprotected brains.,2020 Dec
Structure of median forebrain bundle,Parkinson Disease,We have recently demonstrated that extracellular vesicles (EVs) derived from the human teeth stem cells improve motor symptoms and normalize tyrosine hydroxylase (TH) expression in the nigrostriatal structures of Parkinson's disease (PD) model rats obtained by 6-hydroxydopamine (6-OHDA) unilateral injection into the medial forebrain bundle (MFB).,2021 Apr
Anterodorsal nucleus of thalamus,Alzheimer's Disease,In this study we aimed to clarify whether the effects of SY and HSYA on the learning and memory abilities of Aβ&gt
Cerebral hemisphere structure (body structure),Neurotoxicity Syndromes,Our findings indicated vincristine exhibited dose-dependent neurotoxicity inhibited fibronectin tubulin and MMP10 expression in cerebral organoids.,2019 Apr 15
Triangular Septal Nucleus,Timothy syndrome,Together our studies indicate TRPV1 contributes to the CIH increase in aEPSCs and mEPSCs but the CIH reduction in TS-EPSC amplitude occurs via an alternative mechanism.,2019 Mar 1
Structure of nucleus prepositus,Prion Diseases,Cellular prion protein (PrP&gt
Anterodorsal nucleus of thalamus,Alzheimer's Disease,Cellular prion protein (PrP&gt
Nuclei Raphe,Bipolar Disorder,As the source of most serotonergic neurons projecting throughout the brain the raphe nucleus has been repeatedly implicated in bipolar disorder (BD) and major depressive disorder (MDD).,2019 Jun 8
Superior colliculus of corpora quadrigemina,cortex bone disorders,Visual information enters the cortex also through the superior colliculus (SC) but the function of this input on visual responses in the cortex is less clear.,2019 Jan 4
BRAIN HIPPOCAMPUS,cortex bone disorders,In conclusion hGFAP-CreERT2 mouse line could be a powerful tool for gene-targeting of astrocytes in cortex striatum hippocampus hypothalamus substantia nigra pars compacta and cerebellum but not in thalamus and amygdala.,2018 Dec
Hypothalamic structure,cortex bone disorders,In conclusion hGFAP-CreERT2 mouse line could be a powerful tool for gene-targeting of astrocytes in cortex striatum hippocampus hypothalamus substantia nigra pars compacta and cerebellum but not in thalamus and amygdala.,2018 Dec
Genus Hippocampus,Alzheimer's Disease,The expressions of BDNF in CA1 and CA2/3 regions of AD rats were significantly lower than those in the control group and BDNF in the hippocampus of AD rats was significantly increased after 28 days of continuous injection of miR-22 (p &amp
Anterodorsal nucleus of thalamus,Alzheimer's Disease,The expression of miR-22 in the hippocampus of patients with AD inhibits neuronal apoptosis thereby improving learning and memory dysfunction.,2018 Dec 31
Anterodorsal nucleus of thalamus,Alzheimer's Disease,The entorhinal cortex and the dentate gyrus are important for learning and memory which are affected in the early stages of AD.,2019 Apr
Midbrain structure,Van der Woude syndrome,IFN-γ/LPS treatment to the midbrain slice cultures activated microglia increased exosomal release and decreased dopamine neurons.,2019 Apr 2
Genus Hippocampus,cortex bone disorders,To model mutant alleles we ablated one or both Trio alleles from excitatory neurons in the cortex and hippocampus of mice.,2019 Mar 5
Bundle Predorsal,Parkinson Disease,Alzheimer's and Parkinson's diseases (AD and PD respectively) are conditions found worldwide being considered the most rampant degenerative pathologies related to CNS.,2019 Mar 5
Cerebral cortex,cortex bone disorders,Furthermore these subcircuits share motifs of cortical-PF-cortical and cortical-PF-striatum organization that allow each PF subregion via its precise connectivity with cortex to coordinate diverse inputs to striatum.,2019 May 8
Neostriatum,Shy-Drager Syndrome,We profiled ~ 800 miRNAs in the striatum of MSA patients in comparison to healthy individuals to identify specific miRNAs altered in MSA.,2019 Oct
Lateral Septal Nucleus,cortex bone disorders,The lateral septal nucleus (LSN) is related to the actions of antidepressants and the prelimbic cortex (PL) and infralimbic cortex (IL) modulate responses to fear.,2019 Aug 5
Anterodorsal nucleus of thalamus,Alzheimer's Disease,With the aid of intrahippocampal injection of miR-342-3p antagomir we further show that in vivo miR-342-3p inhibition synergistically improved cognitive deficits in 3xTg-AD mice.,2019 Oct
Substantia nigra structure,Parkinson Disease,The most common neuropathologic manifestation in patients with Parkinson's disease is dopamine neurons degeneration and loss in substantia nigra of middle brain.,2019 Oct
Cerebral cortex,cortex bone disorders,Although the heat shock response was similar in spinal cord and cortical glial in SOD1&gt
CA3 field,Alzheimer's Disease,Tyrosol treatment also prevented the enhancement of 4-hydroxy-2-nonenal immunoreactivity in the hippocampal CA3 region of AD mice.,2019
CA1 field,Syndrome Bloch-Sulzberger,We now demonstrate that in hippocampal CA1 pyramidal neurons IP&gt
Purkinje Cells,Disorder nervous system,In this report we describe &gt
Genus Hippocampus,cortex bone disorders,We obtained uniform fluorescence maintenance throughout the whole mouse brain while the continuous apical dendrites spines and axon terminals were shown evenly within the cortex hippocampus and the amygdala.,2019 Jul 23
Structure of diencephalon,Functional disorder,Our data highlight the link between brain development and immune response as well as several other factors to understand mechanisms related to the pathophysiology of SZ.&gt
Medial Dorsal Nucleus,cortex bone disorders,In face- and character-selective regions in lateral VTC T&gt
Bundle Predorsal,Alzheimer's Disease,In PD animal models GPL-1RAs were able to protect motor activity and dopaminergic neurons whereas in AD models they seemed to improve nearly all neuropathological features and cognitive functions.,2019 Oct 18
Bundle Predorsal,Alzheimer's Disease,Moreover modulation of GLP-1 activity can influence amyloid β peptide aggregation in Alzheimer's disease (AD) and dopamine (DA) levels in Parkinson's disease (PD).,2019 Oct 18
BRAIN HIPPOCAMPUS,Alzheimer's Disease,Alzheimer's disease (AD) is the most common type of dementia caused by severe neurodegeneration in the hippocampus and neocortical regions of the brain.,2020
BRAIN HIPPOCAMPUS,cortex bone disorders,In the current study ER stress-related proteins including p-eIF2α GRP78 and CHOP showed peak expressions both in the cortex and hippocampus from day 2 to day 3 after TBI indicating ER stress was activated in our TBI model.,2019 May
Cerebral hemisphere structure (body structure),Functional disorder,The availability of PET radioligands that target a variety of potential pathophysiological mechanisms-including cerebral metabolism neuroinflammation neuronal dysfunction and oxidative stress-has enabled dynamic interrogation of molecular changes in ALS in both natural history studies and human clinical trials.,2019 Mar 1
BRAIN HIPPOCAMPUS,cortex bone disorders,Intraventricular injection of recombinant pentraxin 3 increased neuronal maintenance in the peri-injured cortex and ipsilateral hippocampus increased the number of doublecortin-positive neural progenitor cells in the subventricular and subgranular zones and increased the number of bromodeoxyuridine (proliferation) and neuronal nuclear antigen (mature neuron) double-labeled cells in the hippocampus and peri-injured cortex.,2020 Dec
Cerebral hemisphere structure (body structure),Alzheimer's Disease,Background/aims:                    Chronic cerebral hypoperfusion (CCH) is a high-risk factor for vascular dementia and Alzheimer's disease.,2018
BRAIN HIPPOCAMPUS,Neurodegenerative Disorders,As awareness of the importance of the pre-symptom phase in neurodegenerative diseases grows in the context of early diagnosis and pathogenesis we analyzed the critical periods of adult hippocampal neurogenesis at an early stage under the action of soluble Ab1-42 beta-amyloid.,2018 Aug
Anterodorsal nucleus of thalamus,Alzheimer's Disease,Amyloid-β peptide (Aβ) forms plaques in Alzheimer's disease (AD) and is responsible for early cognitive deficits in AD patients.,2018 Nov 12
Cerebral cortex,cortex bone disorders,Here we present evidence that mitochondrial molecular chaperone GRP75 also known as mortalin/mthsp70/PBP74 directly interacts with frataxin both in vivo in mouse cortex and in vitro in cortical neurons.,2019 May 15
Cerebral hemisphere structure (body structure),Neurodevelopmental disorder,However the recent development of cerebral organoids provides a powerful tool for studying both normal human embryonic brain development and potentially the origins of neurodevelopmental disorders including ASD.,2020 Jul 13
Genus Hippocampus,Neurotoxicity Syndromes,While acute DA neurotoxicity can cause seizures and hippocampal lesions less is known regarding how chronic subacute DA exposure in adulthood impacts the hippocampus.,2018 Nov
BRAIN HIPPOCAMPUS,cortex bone disorders,Particularly striking are the differences between striatum cortex and hippocampus.,2018 Nov
BRAIN HIPPOCAMPUS,Functional disorder,Of relevance for AD pathophysiology Pyk2&gt
Cerebral cortex,cortex bone disorders,Live imaging revealed that juxtavascular microglia within the cortex are highly motile and migrate along vessels as they are colonizing cortical regions.,2020 Aug 19
Brodmann area,Parkinson Disease,We measured CatD immunoreactivities in the temporal (Brodmann area BA21) and parietal (BA40) cortices of well characterized AD brains as well as two clinical subtypes of Lewy body dementia namely Parkinson disease dementia (PDD) and dementia with Lewy bodies (DLB) known to show varying degrees of concomitant AD pathology.,2019 Jan
Cerebellum,Spinal Cord Diseases,Here we used a mouse ex vivo spinal cord slice culture (SCSC) and cerebellar slice culture (CSC) models to determine the innate immune responses specific to the CNS during WNV infection.,2018 Dec 24
Claustral structure,cortex bone disorders,The claustrum has high connectivity with various areas of the cortex subcortical and allocortical structures.,2019 May
Caudate nucleus structure,Hamartoma Syndrome Multiple,Importantly hepatotoxicity or alterations in blood cell profile were not observed with oral administration of CARV/β-CD.,2019 Jun
Prefrontal Cortex,Functional disorder,Conclusion:                    These results suggest that the AD/HD animal model SHRSP/Ezo has NMDA receptor dysfunction in the PFC.,2018 Jun
Brain Stem,Spinal Cord Diseases,On acute spinal cord MRI longitudinally extensive T2 hyperintensities were identified throughout the spinal cord mostly within grey matter
Basal Ganglia,Parkinson Disease,Neurodegeneration of the nigrostriatal dopaminergic system and concurrent dopamine (DA) deficiency in the basal ganglia represent core features of Parkinson's disease (PD).,2019 Apr
Purkinje Cells,Pervasive Development Disorder,This ASD-associated gene cluster was specific to developing Purkinje cells and not detected in the mouse neocortex during the same developmental period in which we identified a distinct temporally regulated ASD gene module.,2019 Jan 24
Entire internal capsule of brain,cortex bone disorders,The data showed that CPZ-induced demyelination was followed by high astrogliosis and enhanced expression of MTs and megalin in white (corpus callosum and internal capsule) and gray matter of the brain (cortex hippocampus and cerebellum).,2018 Sep 15
Corpus striatum structure,Parkinson Disease,Loss of dopamine containing neurons in the substantia nigra pars compacta of midbrain and resultant depletion of dopamine in the striatum is the cause of Parkinson's disease (PD) which is associated with motor abnormalities.,2018 Aug
Basal Nucleus of Meynert,cortex bone disorders,These effects are partially mediated by cholinergic axons from the nucleus basalis projecting to the entire cortex.,2018 Dec 12
Basal Ganglia,CNS disorder,Parkinson's disease (PD) a neurodegenerative central nervous system disorder is characterised by progressive loss of nigrostriatal neurons in basal ganglia.,2019 Mar
Corpus Callosum,cortex bone disorders,Glial cells in the cortex and corpus callosum underwent delayed FJB staining from d7 to d28 but neurons in cortex disappeared within the first week of cerebral injury.,2021 Feb
Lateral geniculate complex,Retinal Diseases,In the high-IOP group expressions of GFAP and GS were significantly increased in the retina LGN and SC.,2018 Jul 2
Genus Hippocampus,cortex bone disorders,Moreover areas of astrogliosis activated microglia along with higher numbers of CD68&gt
Cerebral cortex,Neurotoxicity Syndromes,The neuropathological finding of bilirubin-induced neurotoxicity also includes cerebellar injury with a decreased number of Purkinje cells and disruption of multisensory feedback loop between cerebellum and cortical neurons which may explain the clinical characteristics of autism spectrum disorders.,2019 Jan
Interpeduncular nucleus,Syndrome Bloch-Sulzberger,After mitosis IP daughter cells undergo asymmetric cell death in the majority of instances.,2019 Sep
Neostriatum,Neurotoxicity Syndromes,Conclusion:                    Altogether our data indicated that tramadol induced neurotoxicity in the PC12 cells via apoptosis and autophagy and in striatum chiefly through activation of neuroinflammatory and apoptotic responses.,2020 Nov
Prosencephalon,cortex bone disorders,Cortical inhibitory interneurons (cINs) are born in the ventral forebrain and migrate into cortex where their numbers are adjusted by programmed cell death.,2020 Jul 7
Cerebral hemisphere structure (body structure),Disorder of circulatory system,Stroke is partial or complete brain dysfunction combined with acute cerebral circulatory disorders and it affects millions of individuals around the world each year.,2020
Structure of subthalamic nucleus,Functional disorder,This knowledge is important for understanding not only the normal functions of the STN but also the pathophysiology of STN-related disorders and therapy targeting the STN.,2020 Sep 23
Structure of subthalamic nucleus,Basal Ganglia Diseases,The subthalamic nucleus (STN) plays a key role in the control of voluntary movements and basal ganglia disorders such as Parkinson's disease and hemiballismus.,2020 Sep 23
BRAIN HIPPOCAMPUS,cortex bone disorders,We revealed that DL0410 dose-dependently increased the expression levels of the mitochondrial proteins (PGC-1α Mitofusin 2 OPA1 and Drp1) and subsequently ameliorated the processes of mitochondrial biosynthesis fusion and fission in the cortex and hippocampus of SAMP8 mice.,2021 Jul
Dentate nucleus,Functional disorder,We targeted the dentate nucleus (DN) in the cerebellum and the associated white matter fibers tracts connecting the DN to the rest of the brain using multimodal imaging techniques to examine the cerebellar structural and functional connectivity patterns in ALS patients and hypothesized that the DN is implicated in the pathophysiology of ALS.,2020
BRAIN HIPPOCAMPUS,Machado-Joseph Disease,&gt
Prefrontal Cortex,Disease Progression,Together this evidence links the altered glutamatergic function in the PFC during AD progression to the newly discovered function of nuclear Tau.,2020 Dec 4
Substantia nigra structure,Neurodegenerative Disorders,Parkinson's disease (PD) is the second most common neurodegenerative disease affecting millions of elder people due to the degeneration of dopamine neurons in the striatum and substantia nigra.,2020 Dec
Anterodorsal nucleus of thalamus,Alzheimer's Disease,Our results indicate a novel mechanism of Aβ regulation by EphA4 which is involved in AD pathogenesis.,2020 Dec
BRAIN HIPPOCAMPUS,Autism Spectrum Disorders,Here using cultured hippocampal neurons and knockin mouse models we screen seven ASD-linked mutations in the short form of the Cttnbp2 gene and identify that M120I R533* and D570Y mutations impair CTTNBP2 protein-protein interactions via divergent mechanisms to reduce dendritic spine density in neurons.,2020 Nov 9
BRAIN HIPPOCAMPUS,cortex bone disorders,E-stim also increased astrogliogenesis in CA1/CA2 hippocampal subfields but not in the cortex.,2020 Nov 9
Cerebellum,cortex bone disorders,Although the level of adenosine tri phosphate (ATP) was similar among primary neurons and astrocytes from cortex midbrain and cerebellum the rate of ATP consumption was highest in midbrain cells that lead to faster neuronal and astrocytic collapse in response to inhibitors of ATP production.,2021 May
Pituitary Gland,Pituitary Diseases,The release of PRL from lactotrophs in the pituitary has in rodents been shown to be released with a circadian pattern depending on the physiological state of the animal.,2020 Oct 29
Interpeduncular nucleus,Syndrome Bloch-Sulzberger,In addition a novel differential DAPK1 partner LRRFIP1 was further confirmed by reverse Co-IP. Furthermore LRRFIP1 levels were increased by pro-oxidant conditions such as ODG or the ferroptosis inducer erastin.,2020 Nov 30
Cerebral cortex,Autism Spectrum Disorders,All genes are expressed in developing telencephalon at time points mapping to human mid-prenatal development and mutations lead to an increase in the ratio of neural progenitor cells to maturing neurons supporting previous in silico systems biological findings implicating cortical neurons in ASD vulnerability but expanding the range of convergent functions to include neurogenesis.,2021 Mar 3
BRAIN HIPPOCAMPUS,Pituitary Diseases,In this study the investigations of how KYNA and other structurally similar KYNA derivatives have any adjustments on different ionic currents in pituitary GH&gt
Corpus striatum structure,Parkinson Disease,Objective:                    Degeneration of dopaminergic neurons in the substantia nigra projecting to the striatum is responsible for the motor symptoms in Parkinson's disease (PD).,2021 Feb 19
Pars Compacta,Parkinson Disease,Background:                    Parkinson's disease (PD) is characterised by dopaminergic cell loss within the substantia nigra pars compacta (SNc) that leads to reduced striatal dopamine content and resulting motor deficits.,2019 Dec 20
Brain Stem,Spinal Cord Diseases,Leukoencephalopathy with brainstem and spinal cord involvement and lactate elevation (LBSL) is a rare slowly progressive white matter disease caused by mutations in the mitochondrial aspartyl-tRNA synthetase (mt-AspRS or DARS2).,2020 Apr
Structure of rubrospinal tract,Syndrome Bloch-Sulzberger,The resting Ca&gt
BRAIN HIPPOCAMPUS,neuropathology disease,Factors that affect adult hippocampal neurogenesis have been shown to contribute to the neuropathology of AD.,2020 May
Interpeduncular nucleus,Syndrome Bloch-Sulzberger,These data indicate that OGD-induced intracellular Ca&gt
Anterodorsal nucleus of thalamus,Alzheimer's Disease,On diagnostic grounds of AD C-reactive protein pentraxins collapsin response mediator protein-2 and growth-associated protein-43 represent the future of new possible biomarkers for diagnosing AD.,2020
Corpus striatum structure,Huntington Disease,Importantly overexpression of NLK in the striatum attenuates brain atrophy preserves striatal DARPP32 levels and reduces mutant HTT (mHTT) aggregation in HD mice.,2020 May 28
Central Dorsal Nucleus,cortex bone disorders,Hamsters that achieve social dominance prior to social defeat exhibit greater defeat-induced neural activity in infralimbic (IL) cortex neurons that project to the basolateral amygdala (BLA) and reduced CD response compared to subordinate hamsters.,2020 Apr 23
Anterodorsal nucleus of thalamus,Disease Progression,There is also an imperative need for disease-modifying therapies in AD since the present treatments acetylcholinesterase inhibitors and NMDA antagonists do not halt its progression.,2020
Anterodorsal nucleus of thalamus,Neurodegenerative Disorders,The molecular processes underlying neurodegenerative diseases (such as Alzheimer's Disease - AD) remain poorly understood.,2020
Genus Hippocampus,cortex bone disorders,Alcohol-induced changes in BDNF and 5-HT systems were revealed in the raphe nuclei area where the majority of the cell bodies of the 5-HT neurons are localized as well as in the cortex hippocampus and amygdala.,2020 Sep
Area striata structure,Leigh Disease,In our study in vivo calcium imaging and whole-cell electrophysiological patch-clamp recording were utilized to identify 53 individual cells from layer 2/3 of V1 as light-sensitive (LS) or non-light-sensitive (NS) by single-cell light-evoked calcium evaluation and action potential spiking.,2020 Jun
Brain Stem,cortex bone disorders,This suggests that the delayed activation of W-driven cells reflects slowed conduction in the preterminal segments of W-cell afferents rather than polysynaptic transmission of W-cell signals through intermediary neurons in the brain stem or cortex.,1988 Dec
Genus Hippocampus,cortex bone disorders,ProSP-C and Bri2 BRICHOS domains were taken up by a subset of neurons in the hippocampus and cortex and were detected to a minor extent in early endosomes.,2020 Jun
Genus Hippocampus,neuropathology disease,Neuropathology revealed prevailing inflammatory infiltrates in the median eminence (ME) progressive degeneration of neurons of the paraventricular nucleus the entorhinal cortex and the amygdala and a strikingly high-grade involution of the hippocampus with hydrocephalus.,2020 Jun
Lateral ventricle structure,Alzheimer's Disease,Ad or AdHIF-1α (10&gt
Cerebral cortex,Down Syndrome,Down syndrome (DS) occurs with triplication of human chromosome 21 and is associated with deviations in cortical development evidenced by simplified gyral appearance and reduced cortical surface area.,2020 Aug 20
Lobe Frontal,Down Syndrome,The aim of this study was to characterise radial glial expression pattern and morphology in the frontal lobe of the developing human fetal brain with DS and age-matched controls.,2020 Aug 20
Cerebellum,Thyroid Diseases,The cerebellar and thyroid tissues from rats in treatment Groups III IV and V revealed significantly less pathology.,2020 Oct
Gyrus Cinguli,Neurodegenerative Disorders,id='enc-abstract'&lt
central amygdalar nucleus,Alcohol use disorder,There is growing interest in the role of the CeA in mediating psychopathologies including stress and anxiety states and their interactions with alcohol use disorders.,2021 Jun
Pituitary Gland,Pituitary Diseases,Neither GnIH cell soma nor neuronal processes were detected in the pituitary although GnIH receptor mRNAs (npffr1l1 npffr1l2 and npffr1l3) were detected.,2021 Apr 1
Lobe Frontal,Autistic Disorder,&gt
Brain Stem,Lung diseases,Sars-Co-V2 detection in the vagus nerve argues for viral trafficking between brainstem and lung.,2021 Dec
Brain Stem,Severe Acute Respiratory Syndrome,Sars-Co-V2 detection in the vagus nerve argues for viral trafficking between brainstem and lung.,2021 Dec
Structure of thalamic reticular nucleus,cortex bone disorders,The expression of IL-10 in the cortex hippocampus and lung tissues was measured with immunohistochemistry real-time quantitative polymerase chain reaction (RT-qPCR) and western blot (WB).,2021 Jun 2
Genus Hippocampus,Depressive disorder,In the present study we screened microRNA (miRNA) expression profiles in the dentate gyrus (DG) of the hippocampus and found that miR-26a-3p was markedly downregulated in a rat model of depression whereas upregulation of miR-26a-3p within DG regions rescued the neuronal deterioration and depression-like phenotypes resulting from stress exposure effects that appear to be mediated by the PTEN pathway.,2021 Aug 16
