"brainregion","protein","count"
"Bundle, Predorsal","Synucleins","339"
"Thalamic structure","Tyrosine 3-Monooxygenase","338"
"Anterodorsal nucleus of thalamus","Peptides","331"
"Structure of locus ceruleus","Tyrosine 3-Monooxygenase","330"
"Preoptic Areas","Gonadorelin","327"
"Cerebral cortex","Serotonin","327"
"Basal Forebrain","Nerve Growth Factor","323"
"Hypothalamic Area, Lateral","Gonadorelin","320"
"BRAIN, HIPPOCAMPUS","Antibodies","317"
"BRAIN, HIPPOCAMPUS","Cytokine","316"
"Cerebral cortex","Calcium","315"
"Hypothalamic structure","Corticotropin-Releasing Hormone","314"
"Hypothalamic structure","Oxytocin","310"
"BRAIN, HIPPOCAMPUS","Cyclic AMP-Responsive DNA-Binding Protein","300"
"Cerebellum","Receptor","300"
"Cerebral cortex","APP protein, human","300"
"Median eminence of hypothalamus","Gonadorelin","299"
"CA1 field","Receptor","298"
"Brain Stem","Serotonin","297"
"Structure of rubrospinal tract","Receptor","295"
"Hypothalamic structure","Pro-Opiomelanocortin","289"
"Hypothalamic structure","Y, Neuropeptide","287"
"Genus Hippocampus","Glial Fibrillary Acidic Protein","286"
"Structure of locus ceruleus","Corticotropin-Releasing Hormone","281"
"Genus Hippocampus","Parvalbumins","281"
"BRAIN, HIPPOCAMPUS","Nerve Growth Factors","279"
"Structure of suprachiasmatic nucleus","Vasoactive Intestinal Peptide","277"
"Basal Nucleus of Meynert","Brain-Derived Neurotrophic Factor","273"
"Midbrain structure","Tyrosine 3-Monooxygenase","271"
"Genus Hippocampus","Protein Subunits","270"
"Neostriatum","Proteins","269"
"Hypothalamic structure","Leptin","267"
"BRAIN, HIPPOCAMPUS","Enzymes","266"
"Neostriatum","Receptor","266"
"Cerebral cortex","Protein Subunits","262"
"Corpus striatum structure","Proteins","261"
"Metencephalon","Methionine","261"
"Pars Compacta","Tyrosine 3-Monooxygenase","260"
"BRAIN, HIPPOCAMPUS","Interleukin-6","259"
"BRAIN, HIPPOCAMPUS","Choline O-Acetyltransferase","258"
"Structure of nucleus prepositus","Prions","257"
"Corpus striatum structure","Receptor","257"
"Genus Hippocampus","Amyloid beta-Protein Precursor","255"
"central amygdalar nucleus","Corticotropin-Releasing Hormone","254"
"Cerebral cortex","Somatostatin","248"
"BRAIN, HIPPOCAMPUS","Somatostatin","247"
"Cerebellum","Genes","247"
"Genus Hippocampus","Nerve Growth Factor","247"
"Neostriatum","Serotonin","246"
"BRAIN, HIPPOCAMPUS","Protein Isoforms","245"
"Hypothalamic structure","Receptor","243"
"CA2 field","Receptor","242"
"Ventral Posterior Nucleus","Arginine Vasopressin-Neurophysin II Preproprotein","241"
"Genus Hippocampus","Tumor Necrosis Factor-alpha","240"
"Medulla Oblongata","Serotonin","238"
"Cerebral cortex","Amyloid Proteins","238"
"BRAIN, HIPPOCAMPUS","Glucocorticoid Receptor","238"
"Genus Hippocampus","Caspase-3","236"
"BRAIN, HIPPOCAMPUS","Phosphotransferases","235"
"Pyramidal Cells","Calcium","235"
"BRAIN, HIPPOCAMPUS","Acetylcholinesterase","234"
"CA1 field","Calcium","234"
"Anterodorsal nucleus of thalamus","Amyloid beta-Protein Precursor","233"
"BRAIN, HIPPOCAMPUS","Glutamate Receptor","231"
"Cerebral cortex","Amyloid","230"
"Substantia nigra structure","Synucleins","227"
"Cerebral hemisphere structure (body structure)","Glucose","226"
"Prefrontal Cortex","Receptor","224"
"Corpus striatum structure","Serotonin","223"
"Genus Hippocampus","Tumor Necrosis Factors","223"
"Hypothalamic structure","Peptides","222"
"CA1 field","N-Methylaspartate","221"
"Pituitary Gland","Gonadorelin","220"
"Superior colliculus of corpora quadrigemina","Retinaldehyde","220"
"Genus Hippocampus","N-Methylaspartate","219"
"Nuclei, Raphe","Serotonin","219"
"Purkinje Cells","Proteins","218"
"Structure of angular gyrus","Receptor","217"
"BRAIN, HIPPOCAMPUS","Bromodeoxyuridine","216"
"BRAIN, HIPPOCAMPUS","Synaptophysin","215"
"Cerebral cortex","Antibodies","215"
"BRAIN, HIPPOCAMPUS","Superoxide Dismutase","214"
"Olfactory tubercle","APS protein, human","214"
"Structure of nucleus infundibularis hypothalami","Gonadorelin","210"
"Prefrontal Cortex","Serotonin","210"
"Hypothalamic structure","HCRT Gene","210"
"Ventral Tegmental Area","Receptor","207"
"BRAIN, HIPPOCAMPUS","Mitogen-Activated Protein Kinases","206"
"Genus Hippocampus","Calcium","205"
"Hypothalamic structure","Neuropeptides","202"
"Purkinje Cells","Receptor","202"
"Visual Cortex","Chloramphenicol O-Acetyltransferase","201"
"BRAIN, HIPPOCAMPUS","tropomyosin-related kinase-B, human","201"
"Cerebellum","Protein Subunits","200"
"BRAIN, HIPPOCAMPUS","Neurotrophic Factor","200"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Chloramphenicol O-Acetyltransferase","200"
"Cerebral cortex","Chloramphenicol O-Acetyltransferase","200"
"Basal Forebrain","Choline O-Acetyltransferase","198"
"Genus Hippocampus","Amyloid Proteins","195"
"Genus Hippocampus","Amyloid","194"
"BRAIN, HIPPOCAMPUS","Microtubule-Associated Proteins","193"
"Neostriatum","Dopamine D2 Receptor","193"
"Pyramidal Cells","Serotonin","193"
"Structure of hippocampal fissure","Histidine","192"
"BRAIN, HIPPOCAMPUS","Y, Neuropeptide","191"
"Anterodorsal nucleus of thalamus","Proteins","190"
"Prefrontal Cortex","Parvalbumins","189"
"Hypothalamic structure","orexins","188"
"Genus Hippocampus","Choline O-Acetyltransferase","187"
"Genus Hippocampus","Cytokine","186"
"Nucleus solitarius","Receptor","186"
"Corpus striatum structure","Dopamine D2 Receptor","186"
"Cerebral cortex","Myelin","186"
"Corpus striatum structure","HD protein, human","183"
"Neostriatum","HD protein, human","182"
"CA1 field","Proteins","182"
"Hypothalamic structure","HCRT protein, human","179"
"Cerebral cortex","Amyloid beta-Protein Precursor","176"
"Hypothalamic structure","KISS1 protein, human","176"
"Pyramidal Cells","N-Methylaspartate","176"
"Cerebral cortex","Choline O-Acetyltransferase","173"
"Hypothalamic structure","Serotonin","172"
"Cerebral cortex","Nerve Growth Factor","171"
"Nucleus fastigii","Fatty-acid synthase","171"
"Structure of supraoptic nucleus","Oxytocin","171"
"Structure of locus ceruleus","Receptor","170"
"Pyramidal Cells","Protein Subunits","170"
"Hypothalamic structure","Vasopressin (USP)","169"
"BRAIN, HIPPOCAMPUS","Neuronal Migration Protein Doublecortin","168"
"Structure of angular gyrus","Angiotensin II","168"
"Structure of angular gyrus","Angiotensin-2","168"
"Cerebellum","Antibodies","167"
"BRAIN, HIPPOCAMPUS","Calmodulin Dependent Protein Kinase II","166"
"CA1 field","Parvalbumins","165"
"BRAIN, HIPPOCAMPUS","Protein Kinase C","165"
"BRAIN, HIPPOCAMPUS","Presynaptic Density Protein 95","164"
"BRAIN, HIPPOCAMPUS","5-Hydroxytryptamine Receptor 1A, human","164"
"Cerebellum","N-Methylaspartate","164"
"Cerebral cortex","Peptides","161"
"Structure of nucleus infundibularis hypothalami","Peptides","160"
"Substantia nigra structure","Proteins","159"
"Pituitary Gland","Corticotropin-Releasing Hormone","159"
"BRAIN, HIPPOCAMPUS","1-Phosphatidylinositol 3-Kinase","158"
"Purkinje Cells","Antibodies","157"
"Cerebral cortex","Acetylcholinesterase","156"
"BRAIN, HIPPOCAMPUS","Immunoglobulins","156"
"Prosencephalon","Serotonin","156"
"Genus Hippocampus","Antibodies","156"
"Corpus striatum structure","Dopa","156"
"Genus Hippocampus","Acetylcholinesterase","156"
"Thalamic structure","INSR protein, human","155"
"Purkinje Cells","Calcium","155"
"Genus Hippocampus","Interleukin-6","155"
"Cerebral hemisphere structure (body structure)","Proteins","153"
"BRAIN, HIPPOCAMPUS","Insulin","152"
"Hypothalamic structure","Genes","151"
"Brain Stem","Receptor","150"
"Neostriatum","Dopa","149"
"Basal Nucleus of Meynert","Receptor","149"
"BRAIN, HIPPOCAMPUS","Fibroblast Growth Factor 2","149"
"BRAIN, HIPPOCAMPUS","Green Fluorescent Proteins","149"
"Pyramidal Cells","Somatostatin","148"
"Hypothalamic structure","Tyrosine 3-Monooxygenase","147"
"Medulla Oblongata","Receptor","147"
"CA2 field","Calmodulin","146"
"Corpus striatum structure","Brain-Derived Neurotrophic Factor","145"
"Genus Hippocampus","Cyclic AMP-Responsive DNA-Binding Protein","145"
"Neostriatum","Brain-Derived Neurotrophic Factor","145"
"Ventral Tegmental Area","HCRT Gene","145"
"CA2 field","Calmodulin 1","142"
"Genus Hippocampus","Enzymes","142"
"Cerebral cortex","Enzymes","142"
"Medulla Oblongata","Tyrosine 3-Monooxygenase","142"
"Substantia nigra structure","neuromelanin","140"
"Structure of nucleus infundibularis hypothalami","Neurokinin B","139"
"Nucleus Accumbens","Receptor","139"
"Genus Hippocampus","Superoxide Dismutase","139"
"Dorsal Nucleus Raphe","Receptor","138"
"Cerebral cortex","Factor, Transcription","137"
"Cerebral cortex","Glial Fibrillary Acidic Protein","136"
"Genus Hippocampus","Peptides","135"
"BRAIN, HIPPOCAMPUS","GABA Receptor","134"
"Tectopontine fibers","Thymidine Phosphorylase","133"
"Structure of paraventricular nucleus of thalamus","Somatostatin","133"
"Genus Hippocampus","Somatostatin","133"
"Corpus striatum structure","Transporter, Dopamine","133"
"Superior colliculus of corpora quadrigemina","Microtubule-Associated Proteins","132"
"CA1 field","Brain-Derived Neurotrophic Factor","132"
"Neostriatum","Transporter, Dopamine","132"
"Cerebral cortex","Y, Neuropeptide","132"
"Hypothalamic structure","Proteins","132"
"Cerebellum","Calcium","132"
"Hypothalamic structure","Somatostatin","131"
"CA1 field","Protein Subunits","131"
"Pyramidal Cells","Proteins","131"
"Neostriatum","Dopamine Receptor","129"
"Amygdaloid structure","Receptor","129"
"Structure of locus ceruleus","Serotonin","129"
"Dorsal Nucleus Raphe","5-Hydroxytryptamine Receptor 1A, human","129"
"Cerebral cortex","myelination","129"
"Amygdaloid structure","Corticotropin-Releasing Hormone","128"
"Purkinje Cells","Genes","128"
"Midbrain structure","Serotonin","127"
"Cerebral cortex","Retinaldehyde","127"
"BRAIN, HIPPOCAMPUS","Glycine","127"
"Cerebral cortex","Caspase-3","126"
"Purkinje Cells","PODXL protein, human","126"
"Structure of rubrospinal tract","Protein Subunits","126"
"Basal Nucleus of Meynert","Phosphotransferases","125"
"BRAIN, HIPPOCAMPUS","Proto-Oncogene Proteins c-fos","125"
"Prefrontal Cortex","Brain-Derived Neurotrophic Factor","125"
"Neostriatum","Genes","125"
"Basal Forebrain","Nerve Growth Factors","125"
"Genus Hippocampus","Nerve Growth Factors","124"
"Nucleus solitarius","Proto-Oncogene Proteins c-fos","124"
"Corpus striatum structure","Genes","124"
"Neostriatum","Choline O-Acetyltransferase","123"
"BRAIN, HIPPOCAMPUS","Cyclic AMP-Dependent Protein Kinases","122"
"Corpus striatum structure","Dopamine Receptor","122"
"Structure of nucleus infundibularis hypothalami","Leptin","122"
"Cerebral cortex","Vasoactive Intestinal Peptide","121"
"Cerebral hemisphere structure (body structure)","APP protein, human","121"
"BRAIN, HIPPOCAMPUS","Vascular Endothelial Growth Factor A","121"
"BRAIN, HIPPOCAMPUS","Insulin-Like Growth Factor I","120"
"Nucleus Accumbens","Serotonin","119"
"Purkinje Cells","Protein Subunits","118"
"Corpus striatum structure","Choline O-Acetyltransferase","117"
"Area striata structure","Chloramphenicol O-Acetyltransferase","116"
"CA2 field","Calcium Ion","116"
"Hypothalamic structure","Insulin","116"
"Brain Stem","Horseradish Peroxidase","115"
"BRAIN, HIPPOCAMPUS","Factor, Transcription","115"
"Genus Hippocampus","Glucocorticoid Receptor","115"
"BRAIN, HIPPOCAMPUS","Cloning Vectors","115"
"Globus Pallidus","cdc42 GTP-Binding Protein","115"
"Hypothalamic structure","INSR protein, human","115"
"Structure of paraventricular nucleus","Corticotropin-Releasing Hormone","115"
"Structure of nucleus infundibularis hypothalami","Tyrosine 3-Monooxygenase","114"
"Basal Nucleus of Meynert","Tropomyosin","114"
"BRAIN, HIPPOCAMPUS","Corticotropin-Releasing Hormone","114"
"Pituitary Gland","Luteinizing Hormone","113"
"BRAIN, HIPPOCAMPUS","PIK3CA protein, human","112"
"BRAIN, HIPPOCAMPUS","Phosphoinositide-3-Kinase, Catalytic, Beta Polypeptide","112"
"BRAIN, HIPPOCAMPUS","PIK3CG protein, human","112"
"CA2 field","Proteins","110"
"Structure of supraoptic nucleus","Vasopressin (USP)","110"
"Cerebral hemisphere structure (body structure)","Amyloid Proteins","110"
"Prosencephalon","Receptor","110"
"Preoptic Areas","KISS1 protein, human","109"
"Cerebral cortex","Immunoglobulins","109"
"Midbrain structure","Proteins","109"
"BRAIN, HIPPOCAMPUS","Proto-Oncogene Proteins c-akt","109"
"Structure of nucleus infundibularis hypothalami","Metastin","108"
"Substantia nigra structure","Receptor","108"
"Bundle, Predorsal","Proteins","108"
"Genus Hippocampus","Bromodeoxyuridine","108"
"Prosencephalon","Gonadorelin","107"
"Cerebral cortex","Nerve Growth Factors","107"
"Structure of dentate gyrus","Bromodeoxyuridine","107"
"Cerebral cortex","Horseradish Peroxidase","106"
"Structure of suprachiasmatic nucleus","Argipressin","106"
"Pituitary Gland, Posterior","Oxytocin","106"
"Brain Stem","Proteins","106"
"Cerebral hemisphere structure (body structure)","Amyloid","106"
"Amygdaloid structure","Serotonin","105"
"Anterodorsal nucleus of thalamus","Dactinomycin","105"
"Prosencephalon","Genes","105"
"BRAIN, HIPPOCAMPUS","Interleukins","104"
"Lobe, Frontal","Serotonin","104"
"BRAIN, HIPPOCAMPUS","Estrogen Receptors","104"
"Genus Hippocampus","Y, Neuropeptide","104"
"Thalamic structure","Receptor","104"
"Prefrontal Cortex","Proteins","103"
"Neostriatum","Substance P","103"
"Superior colliculus of corpora quadrigemina","Chloramphenicol O-Acetyltransferase","103"
"CA2 field","Protein Kinase C","103"
"Midbrain structure","Receptor","102"
"Ventral Tegmental Area","orexins","102"
"Structure of medial preoptic nucleus","Peroxidase","102"
"BRAIN, HIPPOCAMPUS","Associated Protein, FKBP12-Rapamycin","101"
"BRAIN, HIPPOCAMPUS","Calretinin","101"
"Cerebral cortex","Protein Isoforms","101"
"CA3 field","Receptor","101"
"Ventral Tegmental Area","HCRT protein, human","101"
"Pituitary Gland","Peptides","100"
"Pyramidal Cells","Brain-Derived Neurotrophic Factor","100"
"Neostriatum","Dopamine D1 Receptor","100"
"Hypothalamic structure","Glucose","99"
"BRAIN, HIPPOCAMPUS","Growth Associated Protein 43","99"
"Hypothalamic structure","Proto-Oncogene Proteins c-fos","99"
"Pituitary Gland","Prolactin","99"
"Cerebral cortex","RELN protein, human","99"
"Genus Hippocampus","Synaptophysin","99"
"Cerebellum","PODXL protein, human","99"
"Corpus striatum structure","Dopamine D1 Receptor","99"
"BRAIN, HIPPOCAMPUS","INSR protein, human","98"
"Purkinje Cells","Calbindins","98"
"Pituitary Gland, Posterior","Vasopressin (USP)","96"
"Ventral Tegmental Area","Serotonin","96"
"BRAIN, HIPPOCAMPUS","tau Proteins","96"
"Corpus striatum structure","Substance P","96"
"Diagonal Band of Broca","Choline O-Acetyltransferase","96"
"Interpeduncular nucleus","Receptor","96"
"Prosencephalon","Proteins","96"
"Hypothalamic structure","Argipressin","96"
"Callosal sulcus","BCAR1 protein, human","95"
"Nucleus solitarius","Tyrosine 3-Monooxygenase","95"
"CA3 field","Brain-Derived Neurotrophic Factor","95"
"Callosal sulcus","Catenin Delta-1","95"
"Cerebellum","Brain-Derived Neurotrophic Factor","95"
"BRAIN, HIPPOCAMPUS","Cholecystokinin","94"
"Cerebral cortex","Calretinin","94"
"BRAIN, HIPPOCAMPUS","Methyl-CpG-Binding Protein 2","94"
"Median eminence of hypothalamus","Dopa","94"
"Structure of locus ceruleus","Proteins","94"
"Prefrontal Cortex","Genes","94"
"Cerebral cortex","Neurotrophic Factor","93"
"Linear nucleus","Y, Neuropeptide","93"
"Entire medulla oblongata","Serotonin","93"
"Genus Hippocampus","tropomyosin-related kinase-B, human","93"
"CA3 field","N-Methylaspartate","93"
"Structure of nucleus infundibularis hypothalami","Appetite-Regulating Hormone","93"
"Corpus Callosum","Myelin","93"
"Structure of nucleus infundibularis hypothalami","Luteinizing Hormone","92"
"Cerebral cortex","Green Fluorescent Proteins","92"
"Lateral geniculate complex","Retinaldehyde","92"
"Area striata structure","Microtubule-Associated Proteins","92"
"BRAIN, HIPPOCAMPUS","Myelin","91"
"CA1 field","Glial Fibrillary Acidic Protein","91"
"Cerebral cortex","GABA Receptor","91"
"Neostriatum","Enkephalins","91"
"CA1 field","Serotonin","91"
"Thalamic structure","Proteins","90"
"BRAIN, HIPPOCAMPUS","NOS2A protein, human","90"
"Neostriatum","Nerve Growth Factor","90"
"BRAIN, HIPPOCAMPUS","Muscarinic Acetylcholine Receptor","89"
"Nucleus solitarius","Serotonin","89"
"Corpus striatum structure","Nerve Growth Factor","89"
"Structure of nucleus infundibularis hypothalami","Ghrelin","89"
"Lamina Terminalis","Tumor Necrosis Factor-Beta","89"
"Neostriatum","Parvalbumins","89"
"Hypothalamic structure","Luteinizing Hormone","89"
"BRAIN, HIPPOCAMPUS","TLR4 protein, human","89"
"BRAIN, HIPPOCAMPUS","Glutamate Decarboxylase","89"
"Amygdaloid structure","Proto-Oncogene Proteins c-fos","88"
"Ventral Tegmental Area","Protein Subunits","88"
"Genus Hippocampus","Phosphotransferases","88"
"CA2 field","Calmodulin Dependent Protein Kinase II","88"
"Genus Hippocampus","Protein Isoforms","87"
"Genus Hippocampus","Mitogen-Activated Protein Kinases","87"
"BRAIN, HIPPOCAMPUS","Nitric Oxide Synthase","87"
"Midbrain structure","Synucleins","87"
"CA2 field","Protein Subunits","87"
"Genus Hippocampus","Immunoglobulins","87"
"Cerebral cortex","Tyrosine 3-Monooxygenase","87"
"Neocortex","Proteins","87"
"CA3 field","Parvalbumins","86"
"CA2 field","Glutamate Receptor","86"
"Structure of rubrospinal tract","Serotonin","86"
"Cerebral cortex","Cholecystokinin","86"
"CA2 field","Caffeine","86"
"Bundle, Predorsal","alpha-Synuclein","85"
"Pituitary Gland","Growth Hormone","85"
"Cerebral cortex","HDAC Inhibitor SHP-141","85"
"Cerebral cortex","Phosphotransferases","85"
"Cerebellum","Glial Fibrillary Acidic Protein","85"
"Structure of nucleus infundibularis hypothalami","Somatostatin","84"
"Cerebral cortex","HD protein, human","84"
"Genus Hippocampus","Neuronal Migration Protein Doublecortin","84"
"Genus Hippocampus","5-Hydroxytryptamine Receptor 1A, human","84"
"Hypothalamic Area, Lateral","Y, Neuropeptide","84"
"BRAIN, HIPPOCAMPUS","Nicotinic Receptors","83"
"Hypothalamic structure","Appetite-Regulating Hormone","83"
"Cerebellum","Enzymes","83"
"BRAIN, HIPPOCAMPUS","Leptin","83"
"BRAIN, HIPPOCAMPUS","Extracellular Signal Regulated Kinases","83"
"BRAIN, HIPPOCAMPUS","Neurotrophin 3","83"
"Genus Hippocampus","Proto-Oncogene Proteins c-fos","83"
"Neocortex","Parvalbumins","83"
"Pyramidal Cells","Genes","83"
"Median eminence of hypothalamus","Tyrosine 3-Monooxygenase","82"
"Cerebral cortex","Tumor Necrosis Factor-alpha","82"
"Corpus striatum structure","Enkephalins","82"
"Purkinje Cells","Immunoglobulins","82"
"Cerebellum","Immunoglobulins","82"
"BRAIN, HIPPOCAMPUS","Membrane Transport Proteins","82"
"Medulla Oblongata","Substance P","82"
"BRAIN, HIPPOCAMPUS","Catenins","82"
"Brain Stem","Tyrosine 3-Monooxygenase","81"
"BRAIN, HIPPOCAMPUS","Ubiquitin","81"
"BRAIN, HIPPOCAMPUS","Monoclonal Antibodies","81"
"Basal Forebrain","Receptor","81"
"BRAIN, HIPPOCAMPUS","Serine","81"
"Genus Hippocampus","Microtubule-Associated Proteins","81"
"BRAIN, HIPPOCAMPUS","RELN protein, human","81"
"Substantia nigra structure","Brain-Derived Neurotrophic Factor","81"
"Nucleus solitarius","Cholecystokinin","81"
"Neostriatum","Y, Neuropeptide","80"
"Neostriatum","Synucleins","80"
"Median eminence of hypothalamus","Corticotropin-Releasing Hormone","80"
"Corpus striatum structure","Synucleins","80"
"Hypothalamic structure","Ghrelin","80"
"Hypothalamic Area, Lateral","Neuropeptides","80"
"BRAIN, HIPPOCAMPUS","DNA Nucleotidylexotransferase","80"
"Neostriatum","Dopamine and cAMP-Regulated Phosphoprotein 32","80"
"Pituitary Gland","Receptor","80"
"Corpus striatum structure","Parvalbumins","79"
"Hypothalamic Area, Lateral","KISS1 protein, human","79"
"CA1 field","Somatostatin","79"
"Substantia nigra structure","Transporter, Dopamine","79"
"Medulla Oblongata","Horseradish Peroxidase","79"
"BRAIN, HIPPOCAMPUS","Glycosylation End Products, Advanced","79"
"BRAIN, HIPPOCAMPUS","Dyes","79"
"BRAIN, HIPPOCAMPUS","Apolipoprotein E","79"
"Ventral Tegmental Area","Corticotropin-Releasing Hormone","79"
"Anterodorsal nucleus of thalamus","Genes","79"
"Superior colliculus of corpora quadrigemina","Horseradish Peroxidase","79"
"Pars Compacta","Synucleins","79"
"Thalamic structure","Genes","79"
"CA1 field","APP protein, human","79"
"Preoptic Areas","Luteinizing Hormone","78"
"Nucleus Accumbens","Tyrosine 3-Monooxygenase","78"
"Midbrain structure","Genes","77"
"Neostriatum","Glial Cell Line-Derived Neurotrophic Factor","77"
"Nucleus solitarius","Glucagon-Like Peptide 1","77"
"Hypothalamic Area, Lateral","Follicle Stimulating Hormone","77"
"Median eminence of hypothalamus","Prolactin","77"
"Basal Forebrain","Acetylcholinesterase","77"
"Anterodorsal nucleus of thalamus","Apolipoprotein E","77"
"Pituitary Gland","Corticotropin","76"
"BRAIN, HIPPOCAMPUS","IRF6 wt Allele","76"
"BRAIN, HIPPOCAMPUS","Receptor 5, Metabotropic Glutamate","76"
"Structure of suprachiasmatic nucleus","Vasopressin (USP)","76"
"Genus Hippocampus","Glutamate Receptor","76"
"Structure of superior central nucleus of pons","Serotonin","76"
"Structure of locus ceruleus","Galanin","76"
"BRAIN, HIPPOCAMPUS","Glutathione","76"
"Cerebellum","Protein Isoforms","76"
"Brain Stem","Chloramphenicol O-Acetyltransferase","76"
"Corpus striatum structure","Glial Cell Line-Derived Neurotrophic Factor","76"
"Structure of locus ceruleus","HCRT Gene","76"
"Hypothalamic Area, Lateral","Receptor","76"
"Gonadotrophs","Gonadorelin","76"
"BRAIN, HIPPOCAMPUS","Tyrosine 3-Monooxygenase","75"
"Prosencephalon","Nerve Growth Factor","75"
"Hypothalamic structure","Galanin","75"
"Neostriatum","Protein Subunits","75"
"Cerebral cortex","Tumor Necrosis Factors","75"
"Genus Hippocampus","Neurotrophic Factor","75"
"Neostriatum","Glial Fibrillary Acidic Protein","74"
"Lobe, Frontal","Proteins","74"
"Genus Hippocampus","Insulin","74"
"Cerebral cortex","Glutamate Receptor","74"
"Cerebral cortex","SILV protein, human","74"
"Tectum Mesencephali","Retinaldehyde","74"
"Cerebral cortex","Mitogen-Activated Protein Kinases","74"
"Neostriatum","Somatostatin","74"
"Structure of rubrospinal tract","N-Methylaspartate","74"
"Corpus striatum structure","Glial Fibrillary Acidic Protein","73"
"BRAIN, HIPPOCAMPUS","Mineralocorticoid Receptor","73"
"Entire medulla oblongata","Receptor","73"
"Hypothalamic structure","Growth Hormone","73"
"Structure of locus ceruleus","orexins","73"
"Corpus striatum structure","Dopamine and cAMP-Regulated Phosphoprotein 32","73"
"BRAIN, HIPPOCAMPUS","Ghrelin","73"
"BRAIN, HIPPOCAMPUS","Receptors, Metabotropic Glutamate","73"
"Corpus striatum structure","Enzymes","73"
"Neostriatum","Enzymes","73"
"Hypothalamic structure","Brain-Derived Neurotrophic Factor","73"
"Amygdaloid structure","Brain-Derived Neurotrophic Factor","73"
"Nucleus solitarius","Substance P","73"
"Linear nucleus","Calcitonin Gene-Related Peptide","72"
"BRAIN, HIPPOCAMPUS","Appetite-Regulating Hormone","72"
"Corpus striatum structure","N-Methylaspartate","72"
"CA2 field","Peptides","72"
"Cerebral cortex","tropomyosin-related kinase-B, human","72"
"BRAIN, HIPPOCAMPUS","Calbindins","72"
"BRAIN, HIPPOCAMPUS","Hematoxylin","72"
