brainregion,disease,mentalprocess
Brain Stem,cortex bone disorders,Always hungry
Cerebral cortex,Neurotoxicity Syndromes,Amnesia
Basal Forebrain,Alzheimer's Disease,"Amnesia, Anterograde"
Hypothalamic structure,cortex bone disorders,Anger
Genus Hippocampus,Functional disorder,Antisocial behavior
"Cortex, Primary Motor",Spinal Cord Diseases,Anxiety
Entire medulla oblongata,Spinal Cord Diseases,Anxiety and fear
"BRAIN, HIPPOCAMPUS",Spinal Cord Diseases,anxiolysis
Cerebral hemisphere structure (body structure),Alzheimer's Disease,Appetitive Behavior
Motor Cortex,Spinal Cord Diseases,Articulation Disorders
Triangular Septal Nucleus,Gilles de la Tourette syndrome,Association Learning
Tectospinal tract of medulla,Timothy syndrome,At risk for activity intolerance
Triangular Septal Nucleus,Timothy syndrome,At risk for imbalanced body temperature
Tectospinal tract of medulla,Gilles de la Tourette syndrome,At risk for impaired skin integrity
Neostriatum,Huntington Disease,At risk for violence
Basal Ganglia,cortex bone disorders,At risk of disease
Corpus striatum structure,Huntington Disease,Attachment behavior
Nucleus fastigii,Fetal Alcohol Syndrome,Attack behavior
Lateral Septal Nucleus,Leigh Disease,Attention
Structure of fissure of Sylvius,Leigh Disease,Attitude
Superior colliculus of corpora quadrigemina,Retinal Diseases,Attribution
Structure of subthalamic nucleus,Parkinson Disease,Auditory area
Genus Hippocampus,Spinal Cord Diseases,"Auditory area, function (observable entity)"
"BRAIN, HIPPOCAMPUS",Neurodegenerative Disorders,auditory deprivation
Prefrontal Cortex,Functional disorder,Auditory Perception
Anterodorsal nucleus of thalamus,Functional disorder,Auditory pitch
Midbrain structure,cortex bone disorders,Autistic Disorder
Cerebral cortex,Depressive disorder,Automobile Driving
CA1 field,cortex bone disorders,Availability of
Inferior Colliculus,Testicular Diseases,Average intellect
Basal Ganglia,Functional disorder,Aversion (finding)
Hypothalamic structure,Spinal Cord Diseases,Avoidance
Hindbrain,Spinal Cord Diseases,Avoidance behavior
Basal Forebrain,cortex bone disorders,Avoidance Learning
Substantia nigra structure,Neurodegenerative Disorders,Awareness
"BRAIN, HIPPOCAMPUS",Disease Progression,Behavior
Pars Compacta,Neurodegenerative Disorders,Behavior Therapy
Cerebellum,Functional disorder,"Behavior, Adaptive"
"Bundle, Predorsal",Alzheimer's Disease,"Behavior, Animal"
Temporal Lobe,Alzheimer's Disease,Behavioral change
Anterodorsal nucleus of thalamus,Disease Progression,behavioral response to cocaine
Cerebral cortex,Parkinson Disease,Behavioral Symptoms
Thalamic structure,Spinal Cord Diseases,Behavioral tic
"Cortex, Primary Motor",cortex bone disorders,Behaviorial Habits
Cerebral cortex,Disease Progression,"Behaviors, Feeding"
Cerebral hemisphere structure (body structure),cortex bone disorders,Bereavement (life event - finding)
Structure of olfactory bulb,Renal glomerular disease,binaural hearing
Genus Hippocampus,Neurotoxicity Syndromes,Binge Drinking
Cerebral hemisphere structure (body structure),Functional disorder,Binge eating disorder
Prefrontal Cortex,Depressive disorder,Biofeedback
Substantia nigra structure,Herpes zoster disease,biological adaptation to stress
CA1 field,Alzheimer's Disease,Blunted affect
Cerebral cortex,Autistic Disorder,Body Image
Motor Cortex,cortex bone disorders,Body Weight
Auditory Hair Cell,Diseases of inner ear,Bone Conduction
Midbrain structure,Spinal Cord Diseases,Boxing
Corpus Callosum,cortex bone disorders,Bradykinesia
Prosencephalon,cortex bone disorders,Bradyphrenia
Structure of locus ceruleus,Spinal Cord Diseases,Brain Death
Cerebellum,Ataxia as late effect of cerebrovascular disease,Breast Feeding
Lateral geniculate complex,Retinal Diseases,brightness discrimination
Area striata structure,cortex bone disorders,Bruxism
Purkinje Cells,Ataxia as late effect of cerebrovascular disease,C
Medulla Oblongata,cortex bone disorders,Carrying
CA1 field,Depressive disorder,Catalepsy
Neocortex,Alzheimer's Disease,Catastrophization
Parietal Lobe,cortex bone disorders,Catatonia
Basal Nucleus of Meynert,Alzheimer's Disease,Central nervous system depression (disorder)
Anterodorsal nucleus of thalamus,Neurodegenerative Disorders,central vision
Cerebral cortex,Huntington Disease,Cessation of smoking
Prefrontal Cortex,cortex bone disorders,Cheilophagia
Cerebellum,Neurotoxicity Syndromes,Chewing
Pyramidal Cells,Alzheimer's Disease,child abuse behavior
Corpus striatum structure,Functional disorder,Choice Behavior
Cerebral cortex,Neurodegenerative Disorders,Chronic Motor or Vocal Tic Disorder
Neocortex,cortex bone disorders,Chronic pain
Substantia nigra structure,cortex bone disorders,Cigarette smoking behavior
"Bundle, Predorsal",Neurodegenerative Disorders,circadian behavior
Cerebral cortex,Retinal Diseases,Climbing
Neostriatum,Functional disorder,Clouded consciousness
Cerebral hemisphere structure (body structure),Spinal Cord Diseases,Cocaine
"Lobe, Frontal",Alzheimer's Disease,Cognition
Lateral habenular nucleus,Depressive disorder,Cognitive Development
Visual Cortex,cortex bone disorders,Cognitive Flexibility
Brain Stem,Functional disorder,Cognitive information processing
Superior colliculus of corpora quadrigemina,cortex bone disorders,Cognitive Reserve
Ventral Tegmental Area,Depressive disorder,Coitus
Structure of locus ceruleus,Alzheimer's Disease,Color Perception
Median eminence of hypothalamus,Pituitary Diseases,Color Vision
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe",cortex bone disorders,Comatose
"BRAIN, HIPPOCAMPUS","Disorders, Mental",Comfort
Corpus striatum structure,Neurodegenerative Disorders,Communication
Brain Stem,Neurodegenerative Disorders,Communication impairment
Corpus striatum structure,Spinal Cord Diseases,Communication Response
"BRAIN, HIPPOCAMPUS",Disorder nervous system,Communications Media
Pyramidal Cells,Depressive disorder,competition
Neostriatum,Neurodegenerative Disorders,Compliance behavior
Temporal Lobe,cortex bone disorders,Comprehension
Neostriatum,Neurotoxicity Syndromes,Compulsive checking
Neostriatum,Spinal Cord Diseases,Compulsive drug taking
Corpus striatum structure,Neurotoxicity Syndromes,Compulsive Personality Disorder
"Bundle, Predorsal",Lewy Body Disease,conditioned taste aversion
Inferior Colliculus,cortex bone disorders,"Conditioning, Classical"
"BRAIN, HIPPOCAMPUS",Down Syndrome,Conditionings (Psychology)
Entire medulla oblongata,cortex bone disorders,Confidence
Nucleus Accumbens,cortex bone disorders,Confident
Medial Dorsal Nucleus,Alzheimer's Disease,Conflicts (Psychology)
"BRAIN, HIPPOCAMPUS",Van der Woude syndrome,Confusion
CA2 field,Neurotoxicity Syndromes,Conscious
Pontine structure,Spinal Cord Diseases,Consensus
"BRAIN, HIPPOCAMPUS",Hashimoto Disease,Consideration
Cerebral cortex,Disorder nervous system,Contact sport
Lateral geniculate complex,cortex bone disorders,contagion
Cerebral cortex,"Disorders, Mental",Contrast Sensitivity
Genus Hippocampus,Neurodegenerative Disorders,"Convergence, Ocular"
Cerebral cortex,Neurodevelopmental disorder,Conversion disorder
Area striata structure,Retinal Diseases,Cookery
Brain Stem,Parkinson Disease,cooperation
Midbrain structure,Neurodegenerative Disorders,Cooperative Behavior
"Lobe, Frontal",cortex bone disorders,Coping Behavior
Cerebellum,Retinal Diseases,Coprophilia (disorder)
Tectum Mesencephali,Retinal Diseases,Copulation
Central gray substance of midbrain,Spinal Cord Diseases,Courtship
Prosencephalon,Spinal Cord Diseases,Craves for drugs
Thalamic structure,Retinal Diseases,Craving
Structure of nucleus prepositus,Prion Diseases,Craving for alcohol
Visual Cortex,Retinal Diseases,Crying
Prefrontal Cortex,"Disorders, Mental",Cues
Entire lateral geniculate body,Retinal Diseases,Cultural deprivation
Basal Ganglia,Parkinsonian Disorders,Current drinker
Hypothalamic structure,Skin endocrine disorder,Current non-drinker of alcohol
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe",Retinal Diseases,Cyclothymic Disorder
Anterodorsal nucleus of thalamus,Neurotoxicity Syndromes,Dancing
Cerebral cortex,Pervasive Development Disorder,Dark Adaptation
Cerebral cortex,Syndrome,dating
"Bundle, Predorsal",Disease Progression,Deafness
Cerebral cortex,Autism Spectrum Disorders,Decision Making
Structure of locus ceruleus,Parkinson Disease,Decreased Libido
Central cord canal structure,Spinal Cord Diseases,Decreased stress
Nucleus solitarius,Spinal Cord Diseases,Defense Mechanisms
Thalamic Nuclei,cortex bone disorders,Defensive aggression
"BRAIN, HIPPOCAMPUS",Pituitary Diseases,Deglutition
Neocortex,Spinal Cord Diseases,Delay Discounting
"BRAIN, HIPPOCAMPUS",Syndrome,Delayed Puberty
Pyramidal Cells,Functional disorder,Delirium
CA1 field,Functional disorder,Delusions
Globus Pallidus,Parkinson Disease,Delusions in Alzheimer's disease
"BRAIN, HIPPOCAMPUS",Parkinson Disease,Dental caries
Cerebellum,Neurodegenerative Disorders,Depressed mood
Structure of locus ceruleus,cortex bone disorders,DEPRESSION MENTAL
Structure of paraventricular nucleus of thalamus,cortex bone disorders,"Depression, Bipolar"
Cerebellum,Autistic Disorder,"Depression, Neurotic"
Dorsal Nucleus Raphe,Depressive disorder,"Depression, Postpartum"
Telencephalon,Spinal Cord Diseases,Depressive Symptoms
Purkinje Cells,cortex bone disorders,Depth Perception
Structure of subiculum hippocampi,cortex bone disorders,Desire for food
Pedunculopontine Tegmental Nucleus,Parkinson Disease,Destructive behavior
Ventral Tegmental Area,Sensitization (disorder),Details of drinking behavior
Red nucleus structure,Spinal Cord Diseases,"Detection, Signal (Psychology)"
Structure of locus ceruleus,Depressive disorder,Developmental arithmetic disorder
CA3 field,cortex bone disorders,Difficulty speaking
Posterolateral auditory cortex,cortex bone disorders,Difficulty using language
Somatosensory Cortex,cortex bone disorders,Discrimination
Structure of suprachiasmatic nucleus,Retinal Diseases,Discrimination Learning
Purkinje Cells,Functional disorder,Discussion
Basal Nucleus of Meynert,cortex bone disorders,Disgusted
Medulla Oblongata,Hypertensive disease,Disorientation
Superior colliculus of corpora quadrigemina,DISORDERS OF THE OPTIC NERVE,Disputes
Gonadotrophs,Pituitary Diseases,Disruptive behavior
Cerebellum,Alzheimer's Disease,Dissociative disorder
Substantia nigra structure,Parkinsonian Disorders,Disturbance in thinking
Anterodorsal nucleus of thalamus,Parkinson Disease,Diving
Substantia nigra structure,Functional disorder,Dizziness
Insula of Reil,cortex bone disorders,Dominating behavior
Amygdaloid structure,Functional disorder,Dreams
Thalamic structure,Parkinson Disease,Drinking (function)
Amygdaloid structure,Depressive disorder,Drinking behavior processes
Cerebellar Nuclei,cortex bone disorders,Drug abuse
CA2 field,Depressive disorder,Drug abuser
Nucleus Accumbens,Depressive disorder,Drug Dependence
"Hypothalamic Area, Lateral",Pituitary Diseases,Drug seeking behavior
Amygdaloid structure,Spinal Cord Diseases,Drug Tolerance
Caudate nucleus structure,cortex bone disorders,Dual Diagnoses (Psychiatry)
Set of basolateral nuclei of amygdala,cortex bone disorders,Dyscalculia
Globus Pallidus,cortex bone disorders,Dysgeusia
Pontine structure,cortex bone disorders,Dyslexia
Basal Ganglia,Movement Disorders,Dysphoric mood
Anterodorsal nucleus of thalamus,neuropathology disease,Eating
Telencephalon,cortex bone disorders,Echolalia
Cerebral cortex,Migraine Disorders,Echolocation
"BRAIN, HIPPOCAMPUS",Major Depressive Disorder,Ecstasy - emotion
"BRAIN, HIPPOCAMPUS",neuropathology disease,Ecstatic
Basal Ganglia,Huntington Disease,Educational Status
CA2 field,cortex bone disorders,Ejaculation
Hypothalamic structure,Liver diseases,Ejection as a Sports activity
Reticular Formation,Spinal Cord Diseases,emotional development
Entire lateral geniculate body,cortex bone disorders,Emotional states
Olfactory Nerve,Renal glomerular disease,Emotional Strain
Prefrontal Cortex,Autistic Disorder,Emotional Stress
Cerebral hemisphere structure (body structure),Disease Progression,Emotions
"BRAIN, HIPPOCAMPUS",Liver diseases,Empathy
"BRAIN, HIPPOCAMPUS",Cognition Disorders,Empowered
"BRAIN, HIPPOCAMPUS",Retinal Diseases,Endocochlear potential
Structure of angular gyrus,Hypertensive disease,Endogenous depression
Basal Forebrain,Functional disorder,Enthusiastic
Orbitofrontal cortex,cortex bone disorders,Erectile dysfunction
Anterodorsal nucleus of thalamus,Mild cognitive disorder,Ethanol
"BRAIN, HIPPOCAMPUS",Mood Disorders,Ethical Review
Amygdaloid structure,Alzheimer's Disease,Euphoric mood
Basal Ganglia,Neurodegenerative Disorders,Euthanasia
"Pituitary Gland, Posterior",Pituitary Diseases,Everyday tasks
Pineal gland,Disorder of pineal gland,Ex-alcoholic
Cerebral cortex,Down Syndrome,Excessive exercise (finding)
Structure of entorhinal cortex,Alzheimer's Disease,excitement emotion
lateral geniculate nucleus,Retinal Diseases,Executive Function
"BRAIN, HIPPOCAMPUS",Psychotic Disorders,Exercise
Cerebral cortex,Bipolar Disorder,"Exercise, Aerobic"
"Bundle, Predorsal",Functional disorder,Experience
Cerebellum,Machado-Joseph Disease,Experimental Water Deprivation
Genus Hippocampus,Retinal Diseases,Explicit memory
Substantia nigra structure,Neurotoxicity Syndromes,Exploratory Behavior
Cerebral cortex,Lewy Body Disease,Eye Movements
CA2 field,Alzheimer's Disease,Face Perception
Genus Hippocampus,Disease Progression,Facial Expression
Cerebral cortex,Fragile X Syndrome,"Factors, Risk"
"BRAIN, HIPPOCAMPUS",Bipolar Disorder,Failure to Thrive
Claustral structure,cortex bone disorders,Falsification
Hypothalamic structure,Functional disorder,Fasting
Substantia innominata,cortex bone disorders,Fatigue
Structure of locus ceruleus,Functional disorder,Fear
Cerebellum,Autism Spectrum Disorders,Feedback - evaluative response process
"BRAIN, HIPPOCAMPUS",Melkersson-Rosenthal Syndrome,Feedback - system communication
Cerebellum,Depressive disorder,Feeding Activity
Cerebral hemisphere structure (body structure),Neurodegenerative Disorders,Feeding regime
Nucleus Accumbens,Recurrent disease,Feeling content
"BRAIN, HIPPOCAMPUS",Mild cognitive disorder,Feeling hopeless
Midbrain structure,Functional disorder,Feeling mixed emotions
CA3 field,Depressive disorder,Feeling powerless
Auditory area,cortex bone disorders,Feeling suicidal (finding)
Genus Hippocampus,Down Syndrome,Feelings
Ventral Tegmental Area,cortex bone disorders,Fetal Alcohol Syndrome
Neostriatum,Parkinsonian Disorders,Fetal stress
Preoptic Areas,Pituitary Diseases,Fighting
Corpus striatum structure,Parkinsonian Disorders,Finding of blood glucose level
mossy fiber,Marfan Syndrome,Finding related to maturity of sexuality
Genus Hippocampus,Pituitary Diseases,"Fixation, Ocular"
"BRAIN, HIPPOCAMPUS","Syndrome, Bloch-Sulzberger",flavor perception
Cerebral cortex,neuropathology disease,Fluency of speech
Tectum Mesencephali,DISORDERS OF THE OPTIC NERVE,Focused attention
Cerebral cortex,"Hamartoma Syndrome, Multiple",Food Consumption
Purkinje Cells,Cerebellar Diseases,Food craving
Structure of nucleus prepositus,Alzheimer's Disease,Food Deprivation
Lactotrophs,Pituitary Diseases,Food Habits
Prefrontal Cortex,Alzheimer's Disease,Food Preferences
"BRAIN, HIPPOCAMPUS",Fragile X Syndrome,Forgetful
Brain Stem,Sudden infant death syndrome,Form Perception
Anterodorsal nucleus of thalamus,cortex bone disorders,Formication
Corpus striatum structure,Disease Progression,Gambling
"BRAIN, HIPPOCAMPUS",Huntington Disease,"Gambling, Pathological"
"BRAIN, HIPPOCAMPUS","Stress Disorders, Traumatic",Generalizations (Psychology)
Cerebral hemisphere structure (body structure),Disorder nervous system,Genetic Risk
Corticotroph,Pituitary Diseases,Gestures
Neostriatum,Disease Progression,Gilles de la Tourette syndrome
Nucleus solitarius,Hypertensive disease,Gingivitis
Hypothalamic structure,Hypertensive disease,goal attainment
Optic Chiasms,DISORDERS OF THE OPTIC NERVE,Golf
Cerebellum,Cerebellar Diseases,Grandiose delusions
"Lobe, Frontal",Functional disorder,Grief reaction
Basal Ganglia,Spinal Cord Diseases,Grooming
Structure of olfactory bulb,cortex bone disorders,grooming behavior
"Cortex, Primary Motor",Neurodegenerative Disorders,Gustatory Perception
"BRAIN, HIPPOCAMPUS","Niemann-Pick Disease, Type C","Habituation, Psychophysiologic"
Sensorimotor Cortex,cortex bone disorders,Hallucinations
Ventral Tegmental Area,Parkinson Disease,"Hallucinations, Auditory"
Prosencephalon,Functional disorder,"Hallucinations, Visual"
CA3 field,Functional disorder,Handlings (Psychology)
Cerebellum,Dystonia Disorders,Happiness
Substantia nigra structure,Spinal Cord Diseases,Health Services Accessibility
Pituitary Gland,Thyroid Diseases,Hearing
Optic tract structure,DISORDERS OF THE OPTIC NERVE,Hearing impairment
Genus Hippocampus,"Disorders, Mental",Hearing normal
Purkinje Cells,Depressive disorder,Hearing problem
Cerebellum,Syndrome,Helpessness
Brain Stem,Alzheimer's Disease,"Helplessness, Learned"
Pars Compacta,Movement Disorders,Hemorrhage
Entire medulla oblongata,Hypertensive disease,Heroin
Cerebral hemisphere structure (body structure),Vascular Diseases,Heterosexuals
Structure of lateral olfactory gyrus,cortex bone disorders,Hibernation
Basal Ganglia,Dystonia Disorders,High risk of
Cingulate Cortex,cortex bone disorders,Higher Nervous Activity
Internal capsule of brain,cortex bone disorders,High-functioning autism
"BRAIN, HIPPOCAMPUS",Fetal Alcohol Syndrome,Hoarding
Cerebral cortex,Psychotic Disorders,Homicidal behavior
Structure of subthalamic nucleus,cortex bone disorders,Homosexuality
Cerebellum,Liver diseases,Hope
CA3 field,Alzheimer's Disease,Hostility
Amygdaloid structure,Pervasive Development Disorder,Hunger
Substantia nigra structure,Movement Disorders,Hyperactive behavior
Genus Hippocampus,Van der Woude syndrome,Hyperphagia
Cerebrum,Spinal Cord Diseases,Hypoactive Sexual Desire Disorder
Nucleus Accumbens,Sensitization (disorder),Hypogeusia
Gigantocellular nucleus,Gardner Syndrome,Hypokinesia
Neostriatum,Alzheimer's Disease,Hyposexuality state
"BRAIN, HIPPOCAMPUS",Autistic Disorder,Ideation
CA2 field,"Hamartoma Syndrome, Multiple",Illness Behavior
Structure of nucleus infundibularis hypothalami,Pituitary Diseases,Imagery
Superior colliculus of corpora quadrigemina,Spinal Cord Diseases,Imitative Behaviors
Structure of locus ceruleus,Neurodegenerative Disorders,Impaired cognition
Anterodorsal nucleus of thalamus,Lewy Body Disease,Impaired mobility
Ventral Tegmental Area,Recurrent disease,impaired social functioning
Genus Hippocampus,Liver diseases,Impaired social interaction
Medulla Oblongata,Sudden infant death syndrome,Impairment of registration
Genus Hippocampus,Disorder nervous system,Impending
Cerebellum,neuropathology disease,impression
Gyrus Cinguli,Syndrome,Imprinting (Psychology)
Purkinje Cells,Spinal Cord Diseases,impulse control
Motor Cortex,Neurodegenerative Disorders,Impulsive Behavior
"BRAIN, HIPPOCAMPUS",Marfan Syndrome,Impulsive character (finding)
Cerebral hemisphere structure (body structure),Vasodilation disorder,Inattention
Pineal gland,Retinal Diseases,Incentives
Structure of dentate gyrus,cortex bone disorders,Incoherent
Thalamic structure,Functional disorder,Increased motivation
Structure of rubrospinal tract,cortex bone disorders,Increased stress
Genus Hippocampus,Syndrome,Indifferent mood
Substantia nigra structure,Lewy Body Disease,Inhalant Abuse
"BRAIN, HIPPOCAMPUS","Hamartoma Syndrome, Multiple",Initiative
Medial Dorsal Nucleus,cortex bone disorders,Insight
Structure of dentate gyrus,Depressive disorder,Instinct
Amygdaloid structure,"Disorders, Mental",Intelligence
Substantia nigra structure,Alzheimer's Disease,Intention - mental process
Medulla Oblongata,Functional disorder,Interested
Corpus striatum structure,Depressive disorder,Interoception
"BRAIN, HIPPOCAMPUS",Brain Diseases,Interview
Cerebellum,Pervasive Development Disorder,Intrinsic drive
Hypothalamic structure,Retinal Diseases,Intrinsic motivation
Structure of fissure of Sylvius,cortex bone disorders,Involvement with
Amygdaloid structure,"Stress Disorders, Traumatic",Irritable Mood
Cerebellum,Disorder nervous system,Irritation - emotion
Neostriatum,Depressive disorder,Judgment
Entire thalamic reticular nucleus,cortex bone disorders,jump response
Cerebral cortex,Meningeal disorder,Jumping
"Cortex, Primary Motor",Parkinson Disease,Knight's move in thought
Ventral reticulospinal tract,Rett Syndrome,Language Delay
Cerebellum,Disease Progression,Language Disorders
Cerebral cortex,Mild cognitive disorder,Laughter
Substantia nigra structure,Disease Progression,Learning
Corpus Callosum,Spinal Cord Diseases,Learning ability
Genus Hippocampus,Parkinson Disease,Learning Curve
Occipital lobe,cortex bone disorders,Learning Disabilities
Ventral reticulospinal tract,Rothmund-Thomson syndrome,Learning Disorders
"Bundle, Predorsal",Huntington Disease,Lethargy
Structure of angular gyrus,Macrophage Activation Syndrome,Licking
Tegmentum Mesencephali,Spinal Cord Diseases,life satisfaction
Prosencephalon,Alzheimer's Disease,Life Style
Structure of angular gyrus,Meconium Aspiration Syndrome,"Light Signal Transduction, Visual"
Brodmann area 35,cortex bone disorders,Light touch
Structure of lateral olfactory gyrus,Mesulam Syndrome,Like
"Cortex, Primary Motor",Functional disorder,locomotory behavior
Structure of angular gyrus,McCune-Albright Syndrome,Logistic Models
Preoptic Areas,Spinal Cord Diseases,Loneliness
Cerebral cortex,"Niemann-Pick Disease, Type C",Loss of interest
"BRAIN, HIPPOCAMPUS",Hypertensive disease,Loss of motivation
Amygdaloid structure,Post-Traumatic Stress Disorder,Loudness
Structure of locus ceruleus,Disease Progression,Low motivation
Cerebral cortex,Brain Diseases,Low Risk
Cerebral cortex,Mucocutaneous Lymph Node Syndrome,Maladaptive behavior
Cerebral cortex,Sensitization (disorder),Maladaptive behavior associated with physical illness
Basal Forebrain,Down Syndrome,Manic
Structure of piriform area,cortex bone disorders,Manic behavior
Corpus striatum structure,Alzheimer's Disease,Marchiafava-Bignami Disease
Purkinje Cells,Autistic Disorder,Marijuana Abuse
Cerebral hemisphere structure (body structure),Parkinson Disease,Marital separation
Caudate nucleus structure,Parkinson Disease,Maternal Behavior
Pituitary Gland,Functional disorder,Maze Learning
Cerebral hemisphere structure (body structure),Neurotoxicity Syndromes,Mediation
"BRAIN, HIPPOCAMPUS",Post-Traumatic Stress Disorder,Melancholia
"BRAIN, HIPPOCAMPUS",Autism Spectrum Disorders,Memory
Structure of nucleus prepositus,Communicable Diseases,Memory Disorders
Brain Stem,Depressive disorder,Memory impairment
Corpus striatum structure,Dyskinetic syndrome,Memory lapses
Linear nucleus,Spinal Cord Diseases,memory process
"BRAIN, HIPPOCAMPUS",Lewy Body Disease,"Memory, Episodic"
"Lobe, Frontal",Spinal Cord Diseases,"Memory, Long-Term"
Structure of entorhinal cortex,cortex bone disorders,"Memory, Prospective"
Entire substantia nigra,Parkinson Disease,"Memory, Remote"
Structure of central sulcus,Spinal Cord Diseases,"Memory, Short-Term"
Lateral geniculate complex,DISORDERS OF THE OPTIC NERVE,Mental association
Ventral Tegmental Area,Functional disorder,Mental blocking
Dorsal Nucleus Raphe,cortex bone disorders,Mental concentration
Prefrontal Cortex,Attention deficit hyperactivity disorder,Mental Fatigue
"BRAIN, HIPPOCAMPUS",Recurrent disease,Mental Processes
Structure of paraventricular nucleus,Pituitary Diseases,Mental Recall
Cerebellum,Shy-Drager Syndrome,Mental Retardation
Ventral Tegmental Area,Herpes zoster disease,Mental Suffering
Reuniens Thalamic Nucleus,Autistic Disorder,Methamphetamine
Cerebral cortex,Rett Syndrome,Methyl alcohol poisoning
Entire internal capsule of brain,cortex bone disorders,Mild anxiety
Midbrain structure,Depressive disorder,Mimicry
Lateral Septal Nucleus,cortex bone disorders,Moderate cognitive impairment
Structure of thalamic reticular nucleus,cortex bone disorders,Moderate Exercise
Hypothalamic structure,Depressive disorder,Mood
Pars Compacta,Functional disorder,Mood Disorders
Prefrontal Cortex,Sensitization (disorder),Mood swings
"BRAIN, HIPPOCAMPUS",Mucocutaneous Lymph Node Syndrome,Motion Perception
Cerebral cortex,Van der Woude syndrome,Motivation
Paracentral Thalamic Nucleus,cortex bone disorders,Motor retardation
Structure of rubrospinal tract,"Syndrome, Bloch-Sulzberger",Muscle hypotonia
"Bundle, Predorsal",Shy-Drager Syndrome,Muscle Tonus
Corpus striatum structure,Movement Disorders,Mutism
Medial Septal Nucleus,cortex bone disorders,Nausea
Neostriatum,Movement Disorders,Nervousness
Pyramidal Cells,Spinal Cord Diseases,Neural hearing loss
Neostriatum,Dyskinetic syndrome,Never smoked tobacco
Purkinje Cells,Machado-Joseph Disease,Nicotine craving
Somatotrophs,Pituitary Diseases,Night Vision
Genus Hippocampus,Cognition Disorders,Nightmares
Cerebral cortex,Cat-Scratch Disease,Nociception
Structure of nucleus prepositus,Neurodegenerative Disorders,Nociceptive Stimulus
Cerebral cortex,Parkinsonian Disorders,Non-smoker
Cerebral cortex,"Congenital secretory diarrhea, sodium type (disorder)",nonassociative learning
Posterior cerebral commissure,cortex bone disorders,Nonverbal Communication
Genus Hippocampus,Major Depressive Disorder,Normal behavior
Genus Hippocampus,"Stress Disorders, Traumatic",Object Recognition
Basal Forebrain,Neurodegenerative Disorders,observational learning
"BRAIN, HIPPOCAMPUS",Pervasive Development Disorder,Obsessions
Brain Stem,Lewy Body Disease,Obsessive Behavior
"Nuclei, Raphe",Spinal Cord Diseases,Obsessive compulsive behavior
Substantia nigra structure,Depressive disorder,Obsessive-Compulsive Personality
Genus Hippocampus,Melkersson-Rosenthal Syndrome,olfactory behavior
"BRAIN, HIPPOCAMPUS",Rett Syndrome,Olfactory Perception
Structure of subthalamic nucleus,Functional disorder,On examination - apathetic
Amygdaloid structure,Anxiety Disorders,open-field behavior
Structure of paraventricular nucleus of thalamus,Functional disorder,Operant Conditioning
Structure of paraventricular nucleus,Hypertensive disease,Optic Flow
Pituitary Gland,Depressive disorder,"Otoacoustic Emissions, Spontaneous"
Pituitary Gland,Ovarian Diseases,Out of body experience
Nucleus Basalis Magnocellularis,cortex bone disorders,Overactivity
Structure of olfactory bulb,Functional disorder,Overlying behavior
