"brainregion","disease","gene","count"
"Structure of angular gyrus","McCune-Albright Syndrome","MAS1 wt Allele","27"
"Structure of angular gyrus","McCune-Albright Syndrome","ANG Gene","27"
"Structure of angular gyrus","Macrophage Activation Syndrome","MAS1 Gene","27"
"Structure of angular gyrus","Meconium Aspiration Syndrome","MAS1 wt Allele","27"
"Structure of angular gyrus","McCune-Albright Syndrome","MAS1 Gene","27"
"Structure of angular gyrus","Meconium Aspiration Syndrome","MAS1 Gene","27"
"Nucleus fastigii","Fetal Alcohol Syndrome","FASLG Gene","26"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","PSEN1 wt Allele","26"
"Cerebral cortex","Alzheimer's Disease","MAPT wt Allele","26"
"Pituitary Gland","Pituitary Diseases","AVP Gene","26"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","PRNP wt Allele","25"
"Pituitary Gland","Pituitary Diseases","Genes","25"
"Structure of nucleus prepositus","Communicable Diseases","ABCB6 wt Allele","25"
"Structure of nucleus prepositus","Communicable Diseases","PRNP gene","25"
"Structure of nucleus prepositus","Communicable Diseases","PRNP wt Allele","25"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","PRNP gene","25"
"Genus Hippocampus","cortex bone disorders","PSEN1 wt Allele","25"
"Pituitary Gland","Pituitary Diseases","SH3PXD2A wt Allele","24"
"Genus Hippocampus","cortex bone disorders","Tumor Necrosis Factor-alpha","23"
"Genus Hippocampus","cortex bone disorders","TNF Gene","23"
"Cerebral cortex","Congenital secretory diarrhea, sodium type (disorder)","TGFBI wt Allele","23"
"Structure of nucleus prepositus","Neurodegenerative Disorders","PRNP wt Allele","23"
"Cerebral cortex","Cat-Scratch Disease","TGFBI wt Allele","23"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","PITX2 wt Allele","23"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","TNF Gene","23"
"Structure of rubrospinal tract","Syndrome, Bloch-Sulzberger","SDHB wt Allele","23"
"Cerebral cortex","Van der Woude syndrome","IRF6 wt Allele","23"
"Structure of rubrospinal tract","Syndrome, Bloch-Sulzberger","PITX2 wt Allele","23"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Tumor Necrosis Factor-alpha","23"
"Structure of nucleus prepositus","Neurodegenerative Disorders","PRNP gene","23"
"BRAIN, HIPPOCAMPUS","Mucocutaneous Lymph Node Syndrome","AR wt Allele","23"
"Structure of rubrospinal tract","Syndrome, Bloch-Sulzberger","IKBKG wt Allele","23"
"Structure of nucleus prepositus","Neurodegenerative Disorders","ABCB6 wt Allele","23"
"Paracentral Thalamic Nucleus","cortex bone disorders","PROC Gene","22"
"Pituitary Gland","Pituitary Diseases","TH gene","22"
"Posterior cerebral commissure","cortex bone disorders","PODXL Gene","22"
"Paracentral Thalamic Nucleus","cortex bone disorders","KRT17 wt Allele","22"
"Posterior cerebral commissure","cortex bone disorders","KRT17 wt Allele","22"
"Pituitary Gland","Pituitary Diseases","OXT Gene","22"
"Paracentral Thalamic Nucleus","cortex bone disorders","PODXL Gene","22"
"Posterior cerebral commissure","cortex bone disorders","PROC wt Allele","22"
"Paracentral Thalamic Nucleus","cortex bone disorders","PROC wt Allele","22"
"Paracentral Thalamic Nucleus","cortex bone disorders","PODXL wt Allele","22"
"Posterior cerebral commissure","cortex bone disorders","PODXL wt Allele","22"
"Posterior cerebral commissure","cortex bone disorders","PROC Gene","22"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","CD69 wt Allele","21"
"Substantia nigra structure","Van der Woude syndrome","IRF6 wt Allele","21"
"Structure of rubrospinal tract","Spinal Cord Diseases","PITX2 wt Allele","21"
"Nucleus fastigii","Fetal Alcohol Syndrome","FASLG wt Allele","21"
"Bundle, Predorsal","Parkinson Disease","Genes","21"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Genes","21"
"Triangular Septal Nucleus","Down Syndrome","TYMS wt Allele","20"
"Bundle, Predorsal","Huntington Disease","HTT wt Allele","20"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","GFAP gene","20"
"Tectospinal tract of medulla","Down Syndrome","TYMS wt Allele","20"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","ABCB6 wt Allele","20"
"Genus Hippocampus","cortex bone disorders","GFAP gene","20"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Alleles","20"
"Triangular Septal Nucleus","Down Syndrome","TYMS Gene","20"
"Corpus striatum structure","cortex bone disorders","HTT gene","20"
"Tectospinal tract of medulla","Down Syndrome","TYMS Gene","20"
"Neostriatum","cortex bone disorders","HTT gene","20"
"Cerebral cortex","cortex bone disorders","Genes","19"
"Medial Septal Nucleus","cortex bone disorders","MTR wt Allele","19"
"Marginal Sulcus","cortex bone disorders","MTR wt Allele","19"
"Structure of nucleus prepositus","Creutzfeldt-Jakob Disease, Sporadic","ABCB6 wt Allele","19"
"Marginal Sulcus","cortex bone disorders","MTR Gene","19"
"Structure of nucleus prepositus","Creutzfeldt-Jakob Disease, Sporadic","PRNP gene","19"
"Thalamic structure","Parkinson Disease","TH gene","19"
"Structure of nucleus prepositus","Creutzfeldt-Jakob Disease, Sporadic","PRNP wt Allele","19"
"Hypothalamic Area, Lateral","Pituitary Diseases","GNRH1 Gene","19"
"Hypothalamic Area, Lateral","Pituitary Diseases","GNRH1 wt Allele","19"
"Medial Septal Nucleus","cortex bone disorders","MTR Gene","19"
"BRAIN, HIPPOCAMPUS","Fetal Alcohol Syndrome","FASN wt Allele","18"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","PSEN1 gene","18"
"BRAIN, HIPPOCAMPUS","Fetal Alcohol Syndrome","FAS Gene","18"
"Gyrus Cinguli","Syndrome","FMR1 gene","17"
"Neostriatum","Huntington Disease","HTT wt Allele","17"
"Central Dorsal Nucleus","Hamartoma Syndrome, Multiple","DLC1 wt Allele","17"
"Bundle, Predorsal","Shy-Drager Syndrome","TPO wt Allele","17"
"Caudate nucleus structure","Hamartoma Syndrome, Multiple","DLC1 wt Allele","17"
"Structure of nucleus prepositus","Neurotoxicity Syndromes","PRNP wt Allele","17"
"Central Dorsal Nucleus","Hamartoma Syndrome, Multiple","HPR wt Allele","17"
"Structure of nucleus prepositus","Neurotoxicity Syndromes","ABCB6 wt Allele","17"
"Central Dorsal Nucleus","Hamartoma Syndrome, Multiple","HP Gene","17"
"Structure of nucleus prepositus","Neurotoxicity Syndromes","PRNP gene","17"
"Caudate nucleus structure","Hamartoma Syndrome, Multiple","HP Gene","17"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","PSEN1 wt Allele","17"
"Caudate nucleus structure","Hamartoma Syndrome, Multiple","HPR wt Allele","17"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","HSPG2 Gene","16"
"Pituitary Gland","Pituitary Diseases","GHRH Gene","16"
"Purkinje Cells","Syndrome, Bloch-Sulzberger","SDHB wt Allele","16"
"Bundle, Predorsal","Parkinson Disease","TPO wt Allele","16"
"BRAIN, HIPPOCAMPUS","Gardner Syndrome","APC wt Allele","16"
"Basal Ganglia","Parkinson Disease","HTT gene","16"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","BDNF Gene","16"
"Purkinje Cells","Syndrome, Bloch-Sulzberger","IKBKG wt Allele","16"
"Gyrus Cinguli","Ataxia as late effect of cerebrovascular disease","FMR1 gene","16"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","HSPG2 wt Allele","16"
"Anterodorsal nucleus of thalamus","Huntington Disease","HTT wt Allele","16"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","HTT wt Allele","16"
"Corpus striatum structure","Huntington Disease","HTT wt Allele","16"
"Neostriatum","cortex bone disorders","Wild Type","16"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","FANCA wt Allele","16"
"Corpus striatum structure","cortex bone disorders","Wild Type","16"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Long Interspersed Element","15"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","CHAT Gene","15"
"Medial Dorsal Nucleus","Menkes Kinky Hair Syndrome","MDK Gene","15"
"Medial Dorsal Nucleus","Menkes Kinky Hair Syndrome","MDK wt Allele","15"
"Substantia nigra structure","Parkinson Disease","TH gene","15"
"Medial Dorsal Nucleus","Menkes Kinky Hair Syndrome","ATP7A wt Allele","15"
"BRAIN, HIPPOCAMPUS","Timothy syndrome","TYMS wt Allele","15"
"BRAIN, HIPPOCAMPUS","Gilles de la Tourette syndrome","TYMS wt Allele","15"
"Genus Hippocampus","Fetal Alcohol Syndrome","FAS Gene","15"
"Cerebral cortex","Neurodegenerative Disorders","HTT gene","15"
"Genus Hippocampus","Fetal Alcohol Syndrome","FASN wt Allele","15"
"BRAIN, HIPPOCAMPUS","Timothy syndrome","TYMS Gene","15"
"BRAIN, HIPPOCAMPUS","Huntington Disease","HTT gene","15"
"Bundle, Predorsal","Huntington Disease","HTT gene","15"
"Cerebral cortex","Syndrome, Bloch-Sulzberger","IKBKG wt Allele","15"
"Cerebral cortex","Syndrome, Bloch-Sulzberger","SDHB wt Allele","15"
"BRAIN, HIPPOCAMPUS","Gilles de la Tourette syndrome","TYMS Gene","15"
"Pituitary Gland","Pituitary Diseases","PBX1 wt Allele","15"
"BRAIN, HIPPOCAMPUS","Hodgkin Disease","LIPC wt Allele","14"
"Structure of rubrospinal tract","cortex bone disorders","PROC Gene","14"
"Basal Forebrain","Alzheimer's Disease","NGF Gene","14"
"BRAIN, HIPPOCAMPUS","Hamartoma Syndrome, Multiple","NOD2 wt Allele","14"
"Lateral Septal Nucleus","Leigh Disease","Chloramphenicol Acetyl Transferase Gene","14"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","c-fos Genes","14"
"Structure of rubrospinal tract","Depressive disorder","PITX2 wt Allele","14"
"Lateral Septal Nucleus","Leigh Disease","Chloramphenicol O-Acetyltransferase","14"
"Anterodorsal nucleus of thalamus","Disease Progression","MAPT wt Allele","14"
"Genus Hippocampus","cortex bone disorders","CHAT Gene","14"
"BRAIN, HIPPOCAMPUS","Hamartoma Syndrome, Multiple","CTLA4 wt Allele","14"
"Posterior cerebral commissure","cortex bone disorders","PITX2 wt Allele","14"
"Structure of rubrospinal tract","cortex bone disorders","PODXL Gene","14"
"Structure of fissure of Sylvius","Leigh Disease","Chloramphenicol O-Acetyltransferase","14"
"Bundle, Predorsal","Lewy Body Disease","TPO wt Allele","14"
"Structure of fissure of Sylvius","Leigh Disease","CAT Gene","14"
"Structure of capsule of red nucleus","Hamartoma Syndrome, Multiple","CR2 wt Allele","14"
"Genus Hippocampus","Alzheimer's Disease","APP gene","14"
"Structure of fissure of Sylvius","Leigh Disease","Chloramphenicol Acetyl Transferase Gene","14"
"Structure of rubrospinal tract","cortex bone disorders","KRT17 wt Allele","14"
"BRAIN, HIPPOCAMPUS","Hamartoma Syndrome, Multiple","HLA-DQA1 wt Allele","14"
"Structure of capsule of red nucleus","Hamartoma Syndrome, Multiple","CD55 wt Allele","14"
"CA1 field","Syndrome, Bloch-Sulzberger","SDHB wt Allele","14"
"Structure of rubrospinal tract","cortex bone disorders","PROC wt Allele","14"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","CD55 wt Allele","14"
"CA1 field","Syndrome, Bloch-Sulzberger","IKBKG wt Allele","14"
"Paracentral Thalamic Nucleus","cortex bone disorders","PITX2 wt Allele","14"
"Structure of rubrospinal tract","cortex bone disorders","PODXL wt Allele","14"
"Hypothalamic structure","Pituitary Diseases","CRH Gene","14"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","CR2 wt Allele","14"
"Lateral Septal Nucleus","Leigh Disease","CAT Gene","14"
"BRAIN, HIPPOCAMPUS","Hodgkin Disease","LIPC Gene","14"
"Structure of angular gyrus","Hypertensive disease","AGT Gene","13"
"BRAIN, HIPPOCAMPUS","Huntington Disease","HTT wt Allele","13"
"Neostriatum","cortex bone disorders","Genes","13"
"Dorsal Septal Nucleus","Alzheimer's Disease","DHPS wt Allele","13"
"Gyrus Cinguli","Fragile X Syndrome","FMR1 gene","13"
"Pituitary Gland","Pituitary Diseases","CRH wt Allele","13"
"Dorsal Septal Nucleus","Down Syndrome","DHPS wt Allele","13"
"Thalamic structure","cortex bone disorders","TH gene","13"
"Corpus striatum structure","cortex bone disorders","Genes","13"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","SOD1 wt Allele","12"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","APP wt Allele","12"
"BRAIN, HIPPOCAMPUS","Depressive disorder","BDNF Gene","12"
"Marginal Sulcus","Disease Progression","MTR Gene","12"
"Structure of rubrospinal tract","Bloom Syndrome","PITX2 wt Allele","12"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Genotype","12"
"Genus Hippocampus","cortex bone disorders","c-fos Genes","12"
"Lactotrophs","Pituitary Diseases","PRL Gene","12"
"Medial Septal Nucleus","Disease Progression","MTR wt Allele","12"
"Structure of rubrospinal tract","Bloom Syndrome","BLM wt Allele","12"
"Marginal Sulcus","Disease Progression","MTR wt Allele","12"
"Bundle, Predorsal","Parkinson Disease","SNCA gene","12"
"Neocortex","Alzheimer's Disease","MAPT wt Allele","12"
"Medial Septal Nucleus","Disease Progression","MTR Gene","12"
"Cerebral cortex","cortex bone disorders","LITAF gene","12"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","INS gene","12"
"Thalamic structure","Retinal Diseases","TH gene","12"
"BRAIN, HIPPOCAMPUS","Depressive disorder","CD69 wt Allele","11"
"Substantia nigra structure","Huntington Disease","HTT gene","11"
"Pituitary Gland","Pituitary Diseases","ENG wt Allele","11"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","GAG Gene","11"
"Pyramidal Cells","Syndrome, Bloch-Sulzberger","IKBKG wt Allele","11"
"Structure of nucleus prepositus","Gerstmann-Straussler-Scheinker Disease","PRNP gene","11"
"Caudate nucleus structure","Huntington Disease","HTT gene","11"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","MME Gene","11"
"Genus Hippocampus","Alzheimer's Disease","Genes","11"
"Structure of locus ceruleus","Alzheimer's Disease","MAPT wt Allele","11"
"Dorsal Septal Nucleus","Retinal Diseases","DHPS wt Allele","11"
"Structure of nucleus prepositus","Gerstmann-Straussler-Scheinker Disease","PRNP wt Allele","11"
"Structure of nucleus prepositus","Gerstmann-Straussler-Scheinker Disease","ABCB6 wt Allele","11"
"Pyramidal Cells","Syndrome, Bloch-Sulzberger","SDHB wt Allele","11"
"Temporal Lobe","Alzheimer's Disease","MAPT wt Allele","11"
"BRAIN, HIPPOCAMPUS","Functional disorder","MAPT wt Allele","11"
"Basal Ganglia","Neurodegenerative Disorders","HTT gene","11"
"Gyrus Cinguli","Neurodegenerative Disorders","FMR1 gene","11"
"Lateral geniculate complex","Retinal Diseases","Chloramphenicol Acetyl Transferase Gene","10"
"BRAIN, HIPPOCAMPUS","Meconium Aspiration Syndrome","MAS1 wt Allele","10"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","SQSTM1 Gene","10"
"Posterior cerebral commissure","Functional disorder","PODXL wt Allele","10"
"Paracentral Thalamic Nucleus","Functional disorder","KRT17 wt Allele","10"
"Brain Stem","Peripheral Arterial Diseases","PADI4 Gene","10"
"Paracentral Thalamic Nucleus","Functional disorder","PROC Gene","10"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","MME wt Allele","10"
"Anterodorsal nucleus of thalamus","Huntington Disease","HTT gene","10"
"CA1 field","Alzheimer's Disease","MAPT wt Allele","10"
"Posterior cerebral commissure","Functional disorder","PROC Gene","10"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","TNF Gene","10"
"Structure of capsule of red nucleus","Melkersson-Rosenthal Syndrome","CR2 wt Allele","10"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","NTRK2 Gene","10"
"BRAIN, HIPPOCAMPUS","Macrophage Activation Syndrome","MAS1 Gene","10"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","HTT gene","10"
"Posterior cerebral commissure","Functional disorder","PROC wt Allele","10"
"Structure of capsule of red nucleus","Melkersson-Rosenthal Syndrome","CD55 wt Allele","10"
"BRAIN, HIPPOCAMPUS","Meconium Aspiration Syndrome","MAS1 Gene","10"
"Cerebral cortex","cortex bone disorders","Chloramphenicol Acetyl Transferase Gene","10"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","SST Gene","10"
"Posterior cerebral commissure","Functional disorder","KRT17 wt Allele","10"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","KHDRBS1 wt Allele","10"
"Paracentral Thalamic Nucleus","Functional disorder","PROC wt Allele","10"
"Paracentral Thalamic Nucleus","Functional disorder","PODXL Gene","10"
"Posterior cerebral commissure","Functional disorder","PODXL Gene","10"
"Pituitary Gland","Pituitary Diseases","GNRH2 wt Allele","10"
"Genus Hippocampus","cortex bone disorders","SST Gene","10"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Tumor Necrosis Factor-alpha","10"
"Pituitary Gland","Pituitary Diseases","GNRH2 Gene","10"
"Cerebral cortex","cortex bone disorders","Chloramphenicol O-Acetyltransferase","10"
"Lateral geniculate complex","Retinal Diseases","CAT Gene","10"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","MSC Gene","10"
"BRAIN, HIPPOCAMPUS","Macrophage Activation Syndrome","MAS1 wt Allele","10"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","CHAT Gene","10"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Wild Type","10"
"Pituitary Gland","Pituitary Diseases","LEP Gene","10"
"Paracentral Thalamic Nucleus","Functional disorder","PODXL wt Allele","10"
"Pituitary Gland, Posterior","Pituitary Diseases","AKT1S1 wt Allele","10"
"Corpus striatum structure","Parkinson Disease","HTT gene","10"
"Pituitary Gland","Pituitary Diseases","c-fos Genes","10"
"Cerebral cortex","cortex bone disorders","CAT Gene","10"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","DHPS wt Allele","10"
"Cerebral cortex","Alzheimer's Disease","APP gene","10"
"BRAIN, HIPPOCAMPUS","McCune-Albright Syndrome","MAS1 Gene","10"
"Anterodorsal nucleus of thalamus","neuropathology disease","MAPT wt Allele","10"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","DDR1 Gene","10"
"BRAIN, HIPPOCAMPUS","McCune-Albright Syndrome","MAS1 wt Allele","10"
"Cerebral cortex","Autism Spectrum Disorders","Genes","10"
"Lateral geniculate complex","Retinal Diseases","Chloramphenicol O-Acetyltransferase","10"
"Brain Stem","Peripheral Arterial Diseases","PADI4 wt Allele","10"
"Structure of angular gyrus","Functional disorder","ANG Gene","10"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Long Interspersed Element","10"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","SQSTM1 wt Allele","10"
"Posterior cerebral commissure","Sweet Syndrome","PROC wt Allele","9"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","BDNF Gene","9"
"Gigantocellular nucleus","Junctional premature complex (disorder)","GNAI1 wt Allele","9"
"Thalamic structure","Van der Woude syndrome","IRF6 wt Allele","9"
"Hypothalamic structure","Pituitary Diseases","AKT1S1 wt Allele","9"
"Paracentral Thalamic Nucleus","Sweet Syndrome","PROC wt Allele","9"
"Marginal Sulcus","Depressive disorder","MTR wt Allele","9"
"Pituitary Gland","Pituitary Diseases","TRH Gene","9"
"Neostriatum","Parkinson Disease","HTT gene","9"
"Thalamic structure","cortex bone disorders","CALCA Gene","9"
"Paracentral Thalamic Nucleus","Sweet Syndrome","KRT17 wt Allele","9"
"Dorsal Septal Nucleus","Syndrome","DHPS wt Allele","9"
"Thalamic structure","cortex bone disorders","CALCA wt Allele","9"
"Medial Septal Nucleus","Depressive disorder","MTR wt Allele","9"
"Medial Septal Nucleus","Depressive disorder","MTR Gene","9"
"Cerebellum","Syndrome, Bloch-Sulzberger","IKBKG wt Allele","9"
"Corpus striatum structure","Van der Woude syndrome","IRF6 wt Allele","9"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","NGF Gene","9"
"Structure of capsule of red nucleus","cortex bone disorders","CR2 wt Allele","9"
"Paracentral Thalamic Nucleus","Sweet Syndrome","PODXL Gene","9"
"Paracentral Thalamic Nucleus","Depressive disorder","PROC Gene","9"
"Posterior cerebral commissure","Depressive disorder","PODXL Gene","9"
"Marginal Sulcus","Alzheimer's Disease","MTR wt Allele","9"
"Posterior cerebral commissure","Depressive disorder","PROC wt Allele","9"
"Rostrotemporal auditory area","cortex bone disorders","POMT1 gene","9"
"Paracentral Thalamic Nucleus","Depressive disorder","KRT17 wt Allele","9"
"Paracentral Thalamic Nucleus","Depressive disorder","PODXL wt Allele","9"
"Structure of capsule of red nucleus","cortex bone disorders","CD55 wt Allele","9"
"Structure of thalamic reticular nucleus","cortex bone disorders","POMT1 gene","9"
"Posterior cerebral commissure","Sweet Syndrome","PROC Gene","9"
"Hypothalamic structure","Pituitary Diseases","GNRH1 Gene","9"
"Paracentral Thalamic Nucleus","Sweet Syndrome","PODXL wt Allele","9"
"Paracentral Thalamic Nucleus","Sweet Syndrome","PROC Gene","9"
"Entire lateral geniculate body","Retinal Diseases","CAT Gene","9"
"Globus Pallidus","Huntington Disease","HTT gene","9"
