"brainregion","mental","count"
"BRAIN, HIPPOCAMPUS","Performance","454"
"Corpus striatum structure","Behavior","445"
"Brain Stem","Communication Response","443"
"Purkinje Cells","Communication Response","438"
"Inferior Colliculus","Communication Response","436"
"Neostriatum","Behavior","435"
"Brain Stem","Projection Defense Mechanism","435"
"Cerebral cortex","Involvement with","430"
"Structure of locus ceruleus","Communication Response","428"
"Cerebellum","Communication Response","428"
"Thalamic structure","Projection Defense Mechanism","426"
"Area striata structure","psychological orientation","416"
"Genus Hippocampus","Impaired cognition","402"
"Neostriatum","Social Role","399"
"Ventral Tegmental Area","Projection Defense Mechanism","399"
"Prefrontal Cortex","Stress","399"
"Amygdaloid structure","Social Role","397"
"Corpus striatum structure","Social Role","396"
"Basal Ganglia","Social Role","396"
"BRAIN, HIPPOCAMPUS","Anxiety","395"
"Amygdaloid structure","Communication Response","395"
"Pyramidal Cells","Social Role","392"
"Ventral Tegmental Area","Social Role","379"
"Genus Hippocampus","Psychological inhibition","378"
"Genus Hippocampus","Cognition","376"
"CA1 field","Memory","373"
"Ventral Tegmental Area","Cocaine","372"
"Hypothalamic structure","Communication Response","370"
"Brain Stem","Social Role","365"
"Nucleus Accumbens","Behavior","360"
"Ventral Tegmental Area","Ethanol","352"
"Visual Cortex","Communication Response","352"
"Amygdaloid structure","Emotions","350"
"Prefrontal Cortex","Communication Response","350"
"Anterodorsal nucleus of thalamus","Social Role","349"
"CA2 field","Social Role","347"
"Superior colliculus of corpora quadrigemina","Communication Response","342"
"BRAIN, HIPPOCAMPUS","Exercise","342"
"Nucleus Accumbens","Cocaine","339"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Communication Response","327"
"Midbrain structure","Social Role","326"
"Cerebral cortex","Memory","326"
"Cerebral hemisphere structure (body structure)","Social Role","324"
"Purkinje Cells","Social Role","321"
"Superior colliculus of corpora quadrigemina","Projection Defense Mechanism","314"
"BRAIN, HIPPOCAMPUS","Mental association","313"
"Cerebral cortex","Mental concentration","312"
"Neostriatum","Communication Response","307"
"CA1 field","Social Role","306"
"Cerebral cortex","psychological orientation","302"
"Medulla Oblongata","Projection Defense Mechanism","301"
"Structure of olfactory bulb","smell perception","300"
"Ventral Tegmental Area","Communication Response","300"
"Amygdaloid structure","Stress","300"
"Thalamic structure","Communication Response","299"
"Corpus striatum structure","Communication Response","297"
"BRAIN, HIPPOCAMPUS","Forgetful","293"
"Neostriatum","Projection Defense Mechanism","293"
"CA1 field","Psychological inhibition","293"
"Prosencephalon","Social Role","292"
"Cerebral cortex","Mental association","291"
"Hypothalamic structure","Projection Defense Mechanism","291"
"Amygdaloid structure","Projection Defense Mechanism","289"
"Auditory area","Communication Response","289"
"Cerebral cortex","Cognition","285"
"Genus Hippocampus","Memory impairment","284"
"Cerebral cortex","Experience","280"
"Amygdaloid structure","Memory","280"
"Thalamic structure","Social Role","278"
"Corpus striatum structure","Projection Defense Mechanism","276"
"Structure of locus ceruleus","Projection Defense Mechanism","275"
"Prefrontal Cortex","Memory, Short-Term","274"
"CA2 field","Mental concentration","274"
"Hypothalamic structure","Eating","272"
"Genus Hippocampus","DEPRESSION MENTAL","272"
"Structure of locus ceruleus","Social Role","271"
"Genus Hippocampus","Projection Defense Mechanism","271"
"Linear nucleus","Like","269"
"Primary Auditory Cortex","Communication Response","268"
"Cerebral cortex","Attention","266"
"Hypothalamic structure","Behavior","265"
"Cerebral cortex","Fasting","259"
"Midbrain structure","Communication Response","258"
"Cerebral cortex","Comprehension","258"
"CA1 field","Behavior","256"
"Midbrain structure","Projection Defense Mechanism","255"
"Cerebellum","Ethanol","253"
"Genus Hippocampus","Spatial Memory","252"
"Cerebellum","Projection Defense Mechanism","250"
"BRAIN, HIPPOCAMPUS","Memory, Short-Term","250"
"Entire medulla oblongata","Communication Response","248"
"Genus Hippocampus","Involvement with","248"
"Structure of locus ceruleus","Behavior","247"
"Medulla Oblongata","Social Role","245"
"BRAIN, HIPPOCAMPUS","Fasting","244"
"Pyramidal Cells","Fasting","243"
"BRAIN, HIPPOCAMPUS","Experience","242"
"CA2 field","Psychological inhibition","238"
"Cerebellum","Behavior","237"
"Cortex, Primary Motor","Communication Response","236"
"Cerebral cortex","Seizures","235"
"Midbrain structure","Behavior","235"
"Pyramidal Cells","Like","234"
"Hypothalamic structure","Stress","233"
"Nucleus Accumbens","Projection Defense Mechanism","232"
"Genus Hippocampus","Visual learning","231"
"BRAIN, HIPPOCAMPUS","Play","231"
"Amygdaloid structure","Anxiety","229"
"BRAIN, HIPPOCAMPUS","Psychological suppression","228"
"Cerebral cortex","Feedback - system communication","228"
"Pyramidal Cells","Behavior","228"
"BRAIN, HIPPOCAMPUS","Conditionings (Psychology)","227"
"BRAIN, HIPPOCAMPUS","Sex Behavior","227"
"Cerebral cortex","Performance","226"
"Cerebral cortex","Psychological suppression","224"
"Genus Hippocampus","Ethanol","224"
"Cerebral cortex","Sleep","223"
"Nucleus Accumbens","Social Role","223"
"BRAIN, HIPPOCAMPUS","Emotions","223"
"Parietal operculum cortex (PO)","At risk for impaired skin integrity","222"
"Parietal operculum cortex (PO)","At risk for violence","222"
"Parietal operculum cortex (PO)","At risk for activity intolerance","222"
"Parietal operculum cortex (PO)","At risk for imbalanced body temperature","222"
"Ventral Tegmental Area","Psychological inhibition","222"
"Cerebral cortex","Feedback - evaluative response process","222"
"Prefrontal Cortex","Projection Defense Mechanism","222"
"Neostriatum","Like","221"
"Hypothalamic Area, Lateral","Social Role","221"
"Structure of locus ceruleus","Stress","219"
"Cerebellum","Involvement with","219"
"CA3 field","Communication Response","218"
"Cerebellum","Like","218"
"Dorsal Nucleus Raphe","Behavior","218"
"Cerebral cortex","Learning","214"
"Amygdaloid structure","Conditionings (Psychology)","213"
"Cerebral cortex","Ethanol","212"
"Genus Hippocampus","Anxiety","211"
"Cerebral cortex","Cognitive information processing","209"
"Genus Hippocampus","Performance","209"
"Prosencephalon","Behavior","208"
"Cerebral cortex","Insight","208"
"Prefrontal Cortex","Like","208"
"Corpus striatum structure","Like","207"
"Amygdaloid structure","Like","205"
"Hypothalamic Area, Lateral","Projection Defense Mechanism","205"
"BRAIN, HIPPOCAMPUS","Coitus","205"
"Genus Hippocampus","Fear","204"
"Basal Ganglia","Behavior","201"
"Basal Forebrain","Projection Defense Mechanism","200"
"Nucleus solitarius","Projection Defense Mechanism","199"
"Ventral Tegmental Area","Stress","198"
"Cerebellum","Psychological inhibition","198"
"Hypothalamic Area, Lateral","Communication Response","198"
"Prosencephalon","Projection Defense Mechanism","197"
"Cerebral cortex","Stress","197"
"BRAIN, HIPPOCAMPUS","Memory, Episodic","197"
"Brain Stem","Behavior","197"
"Central gray substance of midbrain","Communication Response","196"
"Hypothalamic Area, Lateral","Behavior","196"
"Neocortex","Social Role","193"
"Purkinje Cells","Psychological inhibition","193"
"Genus Hippocampus","Mental concentration","192"
"central amygdalar nucleus","Behavior","191"
"Structure of suprachiasmatic nucleus","Behavior","191"
"Motor Cortex","Communication Response","190"
"Cerebellum","Learning","190"
"Cerebral cortex","Impaired cognition","189"
"Anterodorsal nucleus of thalamus","Impaired cognition","187"
"Prefrontal Cortex","Cognition","186"
"CA1 field","Like","184"
"Dorsal Nucleus Raphe","Projection Defense Mechanism","179"
"Basal Forebrain","Social Role","178"
"Dorsal Nucleus Raphe","Communication Response","177"
"Prefrontal Cortex","Memory","177"
"Tectospinal tract of medulla","Gilles de la Tourette syndrome","177"
"Triangular Septal Nucleus","Gilles de la Tourette syndrome","177"
"Hypothalamic structure","Like","176"
"Nucleus solitarius","Social Role","176"
"BRAIN, HIPPOCAMPUS","Methamphetamine","175"
"Central gray substance of midbrain","Projection Defense Mechanism","173"
"Inferior Colliculus","Projection Defense Mechanism","172"
"Nucleus fastigii","Fetal Alcohol Syndrome","171"
"Structure of dentate gyrus","Memory","169"
"Entire medulla oblongata","Projection Defense Mechanism","169"
"Pyramidal Cells","Projection Defense Mechanism","168"
"Nucleus Accumbens","Communication Response","166"
"Lateral geniculate complex","Communication Response","164"
"Cerebral cortex","Powers (Psychology)","164"
"Ventral Tegmental Area","Like","164"
"Substantia nigra structure","Projection Defense Mechanism","164"
"Cerebral cortex","Sets (Psychology)","164"
"CA1 field","Seizures","163"
"Pyramidal Cells","Memory","163"
"Cerebral cortex","DEPRESSION MENTAL","162"
"Structure of locus ceruleus","Psychological inhibition","162"
"Brain Stem","Involvement with","162"
"Corpus striatum structure","Mental concentration","162"
"Substantia nigra structure","Social Role","161"
"Neostriatum","Mental concentration","161"
"BRAIN, HIPPOCAMPUS","Insight","160"
"Cerebral cortex","Auditory area","160"
"Neostriatum","Psychological inhibition","159"
"central amygdalar nucleus","Communication Response","159"
"BRAIN, HIPPOCAMPUS","Comprehension","159"
"Purkinje Cells","Ethanol","159"
"Structure of suprachiasmatic nucleus","Social Role","159"
"Substantia nigra structure","Behavior","159"
"Genus Hippocampus","Exercise","159"
"Superior colliculus of corpora quadrigemina","Social Role","158"
"Superior colliculus of corpora quadrigemina","Behavior","158"
"Pyramidal Cells","Stress","158"
"Prefrontal Cortex","Emotions","157"
"Prosencephalon","Communication Response","157"
"Pituitary Gland","Social Role","157"
"Prefrontal Cortex","Fear","156"
"Corpus striatum structure","Psychological inhibition","155"
"Cerebral hemisphere structure (body structure)","Communication Response","155"
"Lateral habenular nucleus","Behavior","155"
"Structure of nucleus infundibularis hypothalami","Social Role","154"
"Prefrontal Cortex","Cocaine","153"
"Thalamic structure","Behavior","153"
"Pituitary Gland","Stress","153"
"Brain Stem","Like","153"
"Dorsal Nucleus Raphe","Social Role","152"
"Prefrontal Cortex","Psychological inhibition","150"
"CA3 field","Social Role","150"
"Cerebral cortex","Communication","149"
"central amygdalar nucleus","Ethanol","147"
"Visual Cortex","psychological orientation","147"
"BRAIN, HIPPOCAMPUS","Object Recognition","147"
"central amygdalar nucleus","Social Role","146"
"CA3 field","Memory","146"
"Structure of angular gyrus","Communication Response","143"
"Genus Hippocampus","Play","143"
"BRAIN, HIPPOCAMPUS","Sleep","142"
"Brain Stem","Psychological inhibition","142"
"CA1 field","Stress","142"
"BRAIN, HIPPOCAMPUS","Recognition (Psychology)","141"
"Entire medulla oblongata","Social Role","140"
"Central gray substance of midbrain","Social Role","140"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","psychological orientation","139"
"BRAIN, HIPPOCAMPUS","Abnormal behavior","138"
"Visual Cortex","Social Role","138"
"Basal Ganglia","Projection Defense Mechanism","138"
"Cortex, Primary Motor","Projection Defense Mechanism","137"
"BRAIN, HIPPOCAMPUS","Hyperactive behavior","137"
"Genus Hippocampus","Emotions","137"
"CA3 field","Stress","136"
"Corpus striatum structure","Cocaine","136"
"Structure of rubrospinal tract","Psychological inhibition","136"
"Cerebral cortex","Memory, Short-Term","135"
"BRAIN, HIPPOCAMPUS","Avoidance","135"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Social Role","135"
"Medulla Oblongata","Psychological inhibition","134"
"Genus Hippocampus","Memory, Short-Term","133"
"Medulla Oblongata","Like","133"
"Structure of dentate gyrus","Social Role","133"
"Structure of dentate gyrus","Behavior","132"
"Central gray substance of midbrain","Psychological inhibition","132"
"Genus Hippocampus","Forgetful","131"
"Dorsal Nucleus Raphe","Stress","131"
"Neostriatum","Cocaine","130"
"BRAIN, HIPPOCAMPUS","Powers (Psychology)","130"
"CA1 field","Projection Defense Mechanism","129"
"Cerebral cortex","Methamphetamine","129"
"Structure of central sulcus","Communication Response","129"
"Hypothalamic structure","Psychological inhibition","128"
"Cerebral cortex","smell perception","128"
"Thalamic structure","Psychological inhibition","128"
"CA3 field","Seizures","128"
"Inferior Colliculus","Psychological inhibition","128"
"Genus Hippocampus","Mental association","127"
"central amygdalar nucleus","Fear","127"
"Median eminence of hypothalamus","Mental concentration","127"
"Area striata structure","Projection Defense Mechanism","127"
"Cerebral cortex","Period, Critical (Psychology)","125"
"Cerebellum","Mental concentration","125"
"Cerebral cortex","Play","125"
"Amygdaloid structure","Psychological inhibition","125"
"CA3 field","Psychological inhibition","125"
"Dorsal Nucleus Raphe","Like","125"
"central amygdalar nucleus","Projection Defense Mechanism","125"
"Substantia nigra structure","Communication Response","123"
"Cerebral cortex","Perception","122"
"Structure of nucleus infundibularis hypothalami","Eating","122"
"mossy fiber","Communication Response","122"
"Hypothalamic structure","Reproduction","122"
"Nucleus Accumbens","Like","121"
"Pyramidal Cells","Seizures","121"
"CA1 field","Learning","121"
"mossy fiber","Projection Defense Mechanism","121"
"Hypothalamic structure","Mental concentration","120"
"Prefrontal Cortex","Performance","120"
"Genus Hippocampus","Conditionings (Psychology)","119"
"BRAIN, HIPPOCAMPUS","Feeling content","118"
"Bundle, Predorsal","Social Role","118"
"Cerebral cortex","Pain","118"
"Purkinje Cells","Like","118"
"central amygdalar nucleus","Stress","118"
"Thalamic structure","Like","118"
"Midbrain structure","Like","117"
"Visual Cortex","Projection Defense Mechanism","117"
"Hypothalamic structure","Sex Behavior","117"
"Motor Cortex","Projection Defense Mechanism","116"
"BRAIN, HIPPOCAMPUS","Cognitive information processing","116"
"Set of basolateral nuclei of amygdala","Behavior","116"
"Inferior Colliculus","Auditory area","116"
"Neostriatum","Methamphetamine","115"
"Hypothalamic structure","Body Weight","115"
"Preoptic Areas","Sex Behavior","114"
"Cortex, Primary Motor","Psychological inhibition","114"
"Central gray substance of midbrain","Behavior","114"
"BRAIN, HIPPOCAMPUS","memory process","114"
"Genus Hippocampus","Experience","113"
"Structure of locus ceruleus","Like","112"
"Amygdaloid structure","Sex Behavior","112"
"Pyramidal Cells","Ethanol","112"
"Genus Hippocampus","Memory, Episodic","112"
"Structure of suprachiasmatic nucleus","Communication Response","112"
"Prosencephalon","Like","112"
"Area striata structure","Social Role","112"
"BRAIN, HIPPOCAMPUS","Memory, Long-Term","112"
"Prefrontal Cortex","DEPRESSION MENTAL","111"
"Cerebral hemisphere structure (body structure)","Impaired cognition","111"
"Corpus striatum structure","Methamphetamine","111"
"CA1 field","DEPRESSION MENTAL","111"
"Structure of paraventricular nucleus of thalamus","Psychological inhibition","111"
"Cortex, Primary Motor","Social Role","110"
"Amygdaloid structure","Learning","110"
"Prefrontal Cortex","Anxiety","110"
"Central gray substance of midbrain","Pain","110"
"Lobe, Frontal","Behavior","110"
"Purkinje Cells","Behavior","109"
"Pontine structure","Projection Defense Mechanism","108"
"Ventral Tegmental Area","Motivation","108"
"Ventral Tegmental Area","Addictive Behavior","108"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Projection Defense Mechanism","107"
"Nucleus Accumbens","Ethanol","107"
"Nucleus solitarius","Psychological inhibition","107"
"CA3 field","Projection Defense Mechanism","107"
"Cerebral cortex","Vision","106"
"Hypothalamic structure","Sleep","106"
"Substantia nigra structure","Like","106"
"BRAIN, HIPPOCAMPUS","Feedback - evaluative response process","106"
"Area striata structure","Behavior","106"
"BRAIN, HIPPOCAMPUS","Feedback - system communication","106"
"Structure of supramammillary nucleus","Communication Response","105"
"Cerebral cortex","Autistic Disorder","105"
"Prefrontal Cortex","Attention","105"
"Cerebral cortex","Discrimination","105"
"Orbitofrontal cortex","Communication Response","105"
"BRAIN, HIPPOCAMPUS","Availability of","104"
"Cortex, Primary Motor","Behavior","104"
"Structure of lateral olfactory gyrus","smell perception","104"
"CA3 field","Behavior","104"
"Orbitofrontal cortex","Behavior","104"
"Temporal Lobe","Memory","103"
"Nucleus solitarius","taste perception","103"
"Cerebellum","Conditionings (Psychology)","103"
"Cerebral cortex","Wakefulness","103"
"Area striata structure","Psychological suppression","102"
"Cochlear Nerve","Communication Response","102"
"Basal Forebrain","Behavior","102"
"Set of basolateral nuclei of amygdala","Fear","102"
"BRAIN, HIPPOCAMPUS","Body Weight","102"
"Cerebral cortex","Sex Behavior","101"
"Structure of olfactory bulb","Social Role","101"
"Cerebral cortex","Intrinsic drive","100"
"BRAIN, HIPPOCAMPUS","Mood","100"
"BRAIN, HIPPOCAMPUS","Spatial Navigation","99"
"Cerebral cortex","Sensory Process","99"
"Anterodorsal nucleus of thalamus","Like","99"
"Globus Pallidus","Projection Defense Mechanism","99"
"Pituitary Gland","Communication Response","99"
"Acoustic nerve","Communication Response","99"
"Thalamic Nuclei","Projection Defense Mechanism","98"
"CA1 field","Fasting","98"
"Cerebral hemisphere structure (body structure)","Behavior","98"
"Central insular sulcus","Transsexual (finding)","98"
"BRAIN, HIPPOCAMPUS","Communication","98"
"BRAIN, HIPPOCAMPUS","Cocaine","98"
"Prefrontal Cortex","Decision Making","97"
"BRAIN, HIPPOCAMPUS","smell perception","97"
"Hypothalamic structure","Feeding Activity","97"
"Orbitofrontal cortex","Social Role","96"
"Dorsal Nucleus Raphe","Anxiety","96"
"Nucleus Accumbens","Stress","96"
"Prefrontal Cortex","Impaired cognition","96"
"Neocortex","Projection Defense Mechanism","95"
"Visual Cortex","Experience","95"
"Motor Cortex","Behavior","95"
"CA3 field","Like","94"
"Basal Forebrain","Sleep","94"
"Cerebellar Nuclei","Projection Defense Mechanism","94"
"Neocortex","Communication Response","94"
"Nucleus solitarius","Eating","94"
"Dorsal Nucleus Raphe","Psychological inhibition","93"
"CA1 field","Spatial Memory","93"
"Set of basolateral nuclei of amygdala","Stress","93"
"Structure of rubrospinal tract","Communication Response","93"
"Hypothalamic Area, Lateral","Eating","93"
"Somatosensory Cortex","Communication Response","92"
"Perforant Pathway","Communication Response","92"
"Cerebral cortex","Coitus","92"
"Cerebellar Nuclei","Communication Response","92"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Experience","92"
"Inferior Colliculus","Social Role","91"
"Basal Forebrain","Communication Response","91"
"mossy fiber","Social Role","91"
"Neostriatum","Learning","91"
"Corpus striatum structure","Learning","91"
"Pyramidal Cells","Learning","91"
"central amygdalar nucleus","Like","91"
"Structure of dentate gyrus","Like","91"
"Amygdaloid structure","Pain","90"
"Pituitary Gland","Reproduction","90"
"Cerebral cortex","Availability of","90"
"central amygdalar nucleus","Anxiety","89"
"CA1 field","Ethanol","89"
"Structure of dentate gyrus","Communication Response","89"
"Structure of olfactory bulb","Projection Defense Mechanism","89"
"mossy fiber","Seizures","89"
"Prosencephalon","Memory","89"
"CA2 field","Memory","89"
"Preoptic Areas","Sleep","88"
"Cerebral hemisphere structure (body structure)","Involvement with","88"
"Prefrontal Cortex","Ethanol","88"
"Lateral habenular nucleus","Social Role","88"
"Structure of rubrospinal tract","Social Role","87"
"Preoptic Areas","Communication Response","87"
"Pyramidal Cells","DEPRESSION MENTAL","87"
"Hypothalamic Area, Lateral","Sleep","87"
"Brain Stem","Sleep","87"
"Structure of piriform area","smell perception","87"
"BRAIN, HIPPOCAMPUS","Behavioral change","86"
"BRAIN, HIPPOCAMPUS","Sets (Psychology)","86"
"Basal Forebrain","Memory","86"
"Nucleus Accumbens","Psychological inhibition","86"
"BRAIN, HIPPOCAMPUS","Pain","86"
"Structure of subthalamic nucleus","Social Role","86"
"Area striata structure","Feedback - system communication","86"
"Structure of suprachiasmatic nucleus","Projection Defense Mechanism","86"
"Preoptic Areas","Social Role","85"
"Lateral habenular nucleus","Like","85"
"Amygdaloid structure","Seizures","85"
"BRAIN, HIPPOCAMPUS","biological adaptation to stress","85"
"Cerebral cortex","Hyperactive behavior","85"
"Tectum Mesencephali","Projection Defense Mechanism","84"
"BRAIN, HIPPOCAMPUS","Sleep Deprivation","84"
"Structure of paraventricular nucleus of thalamus","Social Role","84"
"Genus Hippocampus","Fasting","84"
"Purkinje Cells","Projection Defense Mechanism","84"
"Ventral Tegmental Area","DEPRESSION MENTAL","84"
"Lateral habenular nucleus","DEPRESSION MENTAL","84"
"Corpus striatum structure","Involvement with","84"
"Cerebral cortex","Abnormal behavior","83"
"CA1 field","Visual learning","83"
"Lateral geniculate complex","Projection Defense Mechanism","83"
"Structure of dentate gyrus","Stress","83"
"Cerebral hemisphere structure (body structure)","Performance","82"
"Prefrontal Cortex","Involvement with","82"
"Structure of nucleus infundibularis hypothalami","Communication Response","82"
"Prefrontal Cortex","Executive Function","82"
"BRAIN, HIPPOCAMPUS","Withdrawal","82"
"Lobe, Frontal","Social Role","82"
"Anterodorsal nucleus of thalamus","Memory","82"
"Hypothalamic Area, Lateral","Feeding Activity","81"
"BRAIN, HIPPOCAMPUS","Running","81"
"Medulla Oblongata","Pain","81"
"Structure of locus ceruleus","Withdrawal","81"
"Area striata structure","Feedback - evaluative response process","81"
"Hypothalamic structure","biological adaptation to stress","80"
"Motor Cortex","Social Role","80"
"Cerebral hemisphere structure (body structure)","Like","80"
"Set of basolateral nuclei of amygdala","Social Role","80"
"Parietal Lobe","Communication Response","80"
"Neostriatum","Involvement with","80"
"Genus Hippocampus","Methamphetamine","80"
"Cochlear nucleus structure","Projection Defense Mechanism","80"
"Genus Hippocampus","Sex Behavior","80"
"Auditory area","Projection Defense Mechanism","80"
"Cerebellum","Performance","79"
"Cerebellum","Comprehension","79"
"Structure of olfactory bulb","Communication Response","79"
"Structure of subiculum hippocampi","Projection Defense Mechanism","79"
"BRAIN, HIPPOCAMPUS","Attention","79"
"CA1 field","Fear","79"
"Amygdaloid structure","Involvement with","79"
"Prefrontal Cortex","Learning","78"
"Thalamic structure","Pain","78"
"Genus Hippocampus","Feeling content","77"
"Cerebellum","Cognition","77"
"Cerebral cortex","Emotions","77"
"Motor Cortex","Psychological inhibition","77"
"Central gray substance of midbrain","Like","77"
"CA1 field","Performance","77"
"CA1 field","Mental concentration","77"
"Superior colliculus of corpora quadrigemina","Like","77"
"Midbrain structure","Psychological inhibition","77"
"Amygdaloid structure","smell perception","76"
"Hindbrain","Social Role","76"
"Structure of angular gyrus","Social Role","76"
"Insula of Reil","Communication Response","76"
"CA2 field","Involvement with","76"
"CA2 field","Like","76"
"Temporal Lobe","Seizures","75"
"Basal Ganglia","Learning","75"
"CA2 field","Ethanol","75"
"Structure of nucleus prepositus","Social Role","75"
"Cerebellar cortex structure","Social Role","75"
"BRAIN, HIPPOCAMPUS","Mental Recall","75"
"Globus Pallidus","Communication Response","74"
"Pyramidal Cells","Mental concentration","74"
"Basal Ganglia","Communication Response","74"
"Cerebral cortex","Conditionings (Psychology)","74"
"Substantia nigra structure","Psychological inhibition","74"
"Nucleus solitarius","Like","74"
"Hypothalamic Area, Lateral","Psychological inhibition","73"
"Cerebral cortex","Fear","73"
"BRAIN, HIPPOCAMPUS","Swimming","73"
"Lobe, Frontal","Communication Response","73"
"Pedunculopontine Tegmental Nucleus","Projection Defense Mechanism","72"
"Genus Hippocampus","Object Recognition","72"
"Basal Forebrain","Impaired cognition","72"
"Cerebral hemisphere structure (body structure)","Psychological inhibition","72"
"Amygdaloid structure","Mental association","72"
"Structure of terminal stria nuclei of preoptic region","Projection Defense Mechanism","72"
"Visual Cortex","Period, Critical (Psychology)","72"
"intercalated amygdalar nuclei","Psychological inhibition","72"
"Internal arcuate tract","Psychological inhibition","72"
"Set of basolateral nuclei of amygdala","Anxiety","72"
"Corpus striatum structure","Ethanol","71"
"Structure of angular gyrus","Psychological inhibition","71"
"Anterodorsal nucleus of thalamus","Psychological inhibition","71"
"CA1 field","Impaired cognition","71"
"Genus Hippocampus","Psychological suppression","71"
"Pyramidal Cells","Psychological suppression","71"
"Prefrontal Cortex","Abnormal behavior","71"
"BRAIN, HIPPOCAMPUS","Unipolar Depression","70"
"BRAIN, HIPPOCAMPUS","Amnesia","70"
"CA1 field","Involvement with","70"
"Brodmann area 18","Communication Response","70"
"Hypothalamic structure","Feedback - evaluative response process","70"
"BRAIN, HIPPOCAMPUS","Retentions (Psychology)","70"
"Hypothalamic structure","Feedback - system communication","70"
"BRAIN, HIPPOCAMPUS","Discrimination","69"
"Structure of paraventricular nucleus","Social Role","69"
"CA1 field","Memory impairment","69"
"Genus Hippocampus","Coitus","69"
"Thalamic structure","Involvement with","69"
"CA2 field","Fasting","69"
"Olfactory Nerve","smell perception","69"
"Auditory area","Social Role","69"
"Entire medulla oblongata","Psychological inhibition","68"
"Area striata structure","Vision","68"
"Parabrachial Nucleus","Projection Defense Mechanism","68"
"Cortex, Primary Motor","Performance","68"
"Structure of paraventricular nucleus","Communication Response","68"
"Temporal Lobe","Communication Response","68"
"Hypothalamic structure","Involvement with","68"
"Cerebral cortex","Interested","68"
"Structure of paraventricular nucleus of thalamus","Fasting","67"
"Structure of medial preoptic nucleus","Sex Behavior","67"
"Vestibular nucleus structure","Projection Defense Mechanism","67"
"CA2 field","DEPRESSION MENTAL","67"
"Pyramidal Cells","Involvement with","67"
"Cerebral cortex","Speech","67"
"Basal Nucleus of Meynert","Social Role","67"
"BRAIN, HIPPOCAMPUS","Drug Tolerance","67"
"Cerebral cortex","Conscious","67"
"Nucleus Accumbens","Mental concentration","67"
"Basal Forebrain","Attention","66"
"Lateral geniculate complex","psychological orientation","66"
"Anterodorsal nucleus of thalamus","Memory impairment","66"
"Cerebral cortex","competition","66"
"Visual Cortex","Behavior","66"
"Cerebellum","Memory","66"
"Entire lateral geniculate body","Communication Response","66"
"BRAIN, HIPPOCAMPUS","Interested","66"
"Lateral habenular nucleus","Projection Defense Mechanism","66"
"Brain Stem","Pain","65"
"Insula of Reil","Projection Defense Mechanism","65"
"Nuclei, Raphe","Projection Defense Mechanism","65"
