"brainregion","disease","mental","count"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Memory","60"
"Pituitary Gland","Pituitary Diseases","biological adaptation to stress","57"
"Cerebral cortex","cortex bone disorders","Social Role","57"
"Cerebellum","Autistic Disorder","Autistic Disorder","57"
"Dorsal Nucleus Raphe","Depressive disorder","DEPRESSION MENTAL","56"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","Conditionings (Psychology)","55"
"Structure of locus ceruleus","Depressive disorder","DEPRESSION MENTAL","53"
"Brain Stem","Spinal Cord Diseases","Projection Defense Mechanism","52"
"BRAIN, HIPPOCAMPUS","Functional disorder","Social Role","51"
"Genus Hippocampus","cortex bone disorders","Memory","51"
"CA2 field","Depressive disorder","DEPRESSION MENTAL","50"
"Nucleus Accumbens","Depressive disorder","DEPRESSION MENTAL","50"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Mental association","49"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Social Role","49"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Social Role","49"
"Amygdaloid structure","Depressive disorder","DEPRESSION MENTAL","48"
"BRAIN, HIPPOCAMPUS","Functional disorder","Impaired cognition","47"
"Cerebral cortex","Disorders, Mental","Abnormal behavior","47"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Cognition","46"
"Prefrontal Cortex","Autistic Disorder","Autistic Disorder","46"
"BRAIN, HIPPOCAMPUS","Major Depressive Disorder","Unipolar Depression","45"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Involvement with","45"
"BRAIN, HIPPOCAMPUS","Mood Disorders","Mood Disorders","44"
"BRAIN, HIPPOCAMPUS","Functional disorder","Memory","43"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Communication Response","43"
"Pituitary Gland","Pituitary Diseases","Behavior","43"
"Genus Hippocampus","cortex bone disorders","Social Role","42"
"BRAIN, HIPPOCAMPUS","Depressive disorder","Social Role","42"
"Pituitary Gland","Pituitary Diseases","Like","42"
"Pituitary Gland","Pituitary Diseases","Mental concentration","40"
"Pituitary Gland","Pituitary Diseases","Feedback - system communication","40"
"Pituitary Gland","Pituitary Diseases","Feedback - evaluative response process","40"
"Cerebellum","Depressive disorder","DEPRESSION MENTAL","39"
"Prefrontal Cortex","Disorders, Mental","Abnormal behavior","39"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","Fear","38"
"Thalamic structure","cortex bone disorders","Projection Defense Mechanism","38"
"Auditory area","cortex bone disorders","Auditory area","38"
"CA3 field","Depressive disorder","DEPRESSION MENTAL","38"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Memory impairment","36"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Communication Response","36"
"Genus Hippocampus","Alzheimer's Disease","Memory","35"
"BRAIN, HIPPOCAMPUS","Disorders, Mental","Abnormal behavior","35"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Behavior","35"
"BRAIN, HIPPOCAMPUS","Functional disorder","Memory impairment","35"
"BRAIN, HIPPOCAMPUS","Depressive disorder","Memory","35"
"BRAIN, HIPPOCAMPUS","Functional disorder","Behavior","35"
"Bundle, Predorsal","Parkinson Disease","Social Role","34"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Behavior","34"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Insight","34"
"Cerebral cortex","cortex bone disorders","Psychological inhibition","33"
"Purkinje Cells","Depressive disorder","DEPRESSION MENTAL","33"
"BRAIN, HIPPOCAMPUS","Fetal Alcohol Syndrome","Fetal Alcohol Syndrome","33"
"Thalamic structure","cortex bone disorders","Communication Response","32"
"Genus Hippocampus","cortex bone disorders","Behavior","31"
"BRAIN, HIPPOCAMPUS","Functional disorder","DEPRESSION MENTAL","31"
"BRAIN, HIPPOCAMPUS","Autistic Disorder","Autistic Disorder","31"
"Genus Hippocampus","cortex bone disorders","Communication Response","31"
"Prefrontal Cortex","Depressive disorder","Behavior","31"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Factors, Risk","30"
"Prefrontal Cortex","Depressive disorder","Like","30"
"Cerebral cortex","Functional disorder","Social Role","30"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Forgetful","29"
"Structure of dentate gyrus","Depressive disorder","DEPRESSION MENTAL","29"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","Communication Response","29"
"Brain Stem","Spinal Cord Diseases","Involvement with","29"
"BRAIN, HIPPOCAMPUS","Cognition Disorders","Impaired cognition","29"
"Prefrontal Cortex","Depressive disorder","Stress","29"
"Corpus striatum structure","Depressive disorder","DEPRESSION MENTAL","29"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Mental concentration","29"
"Medulla Oblongata","Spinal Cord Diseases","Projection Defense Mechanism","28"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Learning","28"
"Thalamic structure","cortex bone disorders","Social Role","28"
"Neostriatum","Depressive disorder","DEPRESSION MENTAL","28"
"Basal Forebrain","Alzheimer's Disease","Impaired cognition","27"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Comprehension","27"
"Cerebral cortex","cortex bone disorders","Like","27"
"Pituitary Gland","Pituitary Diseases","Sex Behavior","27"
"BRAIN, HIPPOCAMPUS","Neurotoxicity Syndromes","Social Role","26"
"Brain Stem","Spinal Cord Diseases","Social Role","26"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Learning","26"
"Pituitary Gland","Pituitary Diseases","Psychological inhibition","26"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Stress","26"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","Behavior","26"
"Purkinje Cells","Autistic Disorder","Autistic Disorder","26"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Like","26"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Seizures","26"
"Anterodorsal nucleus of thalamus","Functional disorder","Social Role","25"
"Genus Hippocampus","cortex bone disorders","Stress","25"
"Brain Stem","Depressive disorder","DEPRESSION MENTAL","25"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Cognition","24"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","Social Role","24"
"Reuniens Thalamic Nucleus","Autistic Disorder","Autistic Disorder","24"
"Midbrain structure","Depressive disorder","DEPRESSION MENTAL","24"
"Hypothalamic structure","Pituitary Diseases","Social Role","24"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Cognition","24"
"Genus Hippocampus","Alzheimer's Disease","Impaired cognition","24"
"Hypothalamic structure","Pituitary Diseases","Stress","24"
"Hypothalamic structure","Depressive disorder","DEPRESSION MENTAL","23"
"Pituitary Gland","Pituitary Diseases","Projection Defense Mechanism","23"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","Mental association","23"
"Basal Ganglia","Functional disorder","Social Role","23"
"Genus Hippocampus","Alzheimer's Disease","Social Role","23"
"Genus Hippocampus","Depressive disorder","Anxiety","23"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","Ethanol","23"
"Genus Hippocampus","cortex bone disorders","Like","23"
"Ventral Tegmental Area","Depressive disorder","Behavior","23"
"Genus Hippocampus","cortex bone disorders","Seizures","23"
"Substantia nigra structure","Parkinson Disease","Social Role","22"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","Psychological inhibition","22"
"Brain Stem","Spinal Cord Diseases","Communication Response","22"
"Substantia nigra structure","Depressive disorder","DEPRESSION MENTAL","22"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Learning","22"
"Cerebral cortex","cortex bone disorders","Behavior","22"
"Genus Hippocampus","Major Depressive Disorder","Unipolar Depression","21"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","Psychological inhibition","21"
"Lateral habenular nucleus","Depressive disorder","Behavior","21"
"Pituitary Gland","Pituitary Diseases","Body Weight","21"
"Pituitary Gland","Pituitary Diseases","Involvement with","21"
"Prefrontal Cortex","Functional disorder","Behavior","21"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Impaired cognition","21"
"Pituitary Gland","Depressive disorder","DEPRESSION MENTAL","21"
"Superior colliculus of corpora quadrigemina","Retinal Diseases","Projection Defense Mechanism","21"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Play","21"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Projection Defense Mechanism","21"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Performance","21"
"Nucleus Accumbens","Depressive disorder","Behavior","21"
"Pituitary Gland","Pituitary Diseases","DEPRESSION MENTAL","21"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Like","20"
"Prefrontal Cortex","Functional disorder","Social Role","20"
"Basal Forebrain","Alzheimer's Disease","Memory","20"
"Pyramidal Cells","Autistic Disorder","Autistic Disorder","20"
"Habenula","Depressive disorder","DEPRESSION MENTAL","20"
"Genus Hippocampus","cortex bone disorders","Cognition","20"
"Tectospinal tract of medulla","Down Syndrome","Gilles de la Tourette syndrome","20"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","Learning","20"
"Triangular Septal Nucleus","Down Syndrome","Gilles de la Tourette syndrome","20"
"Genus Hippocampus","Fetal Alcohol Syndrome","Fetal Alcohol Syndrome","19"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Psychological inhibition","19"
"Genus Hippocampus","cortex bone disorders","Learning","19"
"Structure of olfactory bulb","Functional disorder","smell perception","19"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","Projection Defense Mechanism","19"
"Pituitary Gland","Pituitary Diseases","Ethanol","19"
"Basal Ganglia","Parkinson Disease","Social Role","19"
"Cerebellum","Functional disorder","Social Role","19"
"Thalamic structure","cortex bone disorders","Behavior","19"
"Gyrus Cinguli","Ataxia as late effect of cerebrovascular disease","Tremor","19"
"Anterodorsal nucleus of thalamus","Disease Progression","Social Role","19"
"Cerebral cortex","Alzheimer's Disease","Social Role","19"
"Gyrus Cinguli","Syndrome","Tremor","19"
"Lateral habenular nucleus","Depressive disorder","Like","19"
"Genus Hippocampus","cortex bone disorders","Impaired cognition","19"
"Genus Hippocampus","Functional disorder","Social Role","18"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","Behavior","18"
"Genus Hippocampus","Functional disorder","Memory impairment","18"
"Ventral Tegmental Area","Sensitization (disorder)","Cocaine","18"
"Prefrontal Cortex","Major Depressive Disorder","Unipolar Depression","18"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","Methamphetamine","18"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Ethanol","18"
"Corpus striatum structure","cortex bone disorders","Behavior","18"
"Amygdaloid structure","Disorders, Mental","Abnormal behavior","18"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Memory impairment","18"
"Genus Hippocampus","cortex bone disorders","Psychological inhibition","18"
"Genus Hippocampus","Functional disorder","Memory","18"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","Social Role","18"
"Pituitary Gland","Pituitary Diseases","Hyperactive behavior","17"
"Genus Hippocampus","cortex bone disorders","Memory impairment","17"
"Dorsal Nucleus Raphe","Depressive disorder","Behavior","17"
"Pituitary Gland","Pituitary Diseases","Anxiety","17"
"Nucleus Accumbens","Depressive disorder","Stress","17"
"Neostriatum","cortex bone disorders","Behavior","17"
"BRAIN, HIPPOCAMPUS","Depressive disorder","Impaired cognition","17"
"Prefrontal Cortex","Functional disorder","Impaired cognition","17"
"Genus Hippocampus","cortex bone disorders","Ethanol","17"
"Genus Hippocampus","Depressive disorder","Memory","17"
"Neostriatum","cortex bone disorders","Social Role","17"
"Corpus striatum structure","cortex bone disorders","Social Role","17"
"Brain Stem","Spinal Cord Diseases","Behavior","16"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Amnesia","16"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Spatial Memory","16"
"Entire medulla oblongata","Spinal Cord Diseases","Projection Defense Mechanism","16"
"BRAIN, HIPPOCAMPUS","Neurodegenerative Disorders","Social Role","16"
"Prefrontal Cortex","Functional disorder","Stress","16"
"Corpus striatum structure","Tic disorder","Tic disorder","16"
"Genus Hippocampus","Disorders, Mental","Abnormal behavior","16"
"Anterodorsal nucleus of thalamus","Neurodegenerative Disorders","Social Role","16"
"BRAIN, HIPPOCAMPUS","Depressive disorder","Psychological inhibition","16"
"Pituitary Gland","Pituitary Diseases","Psychological suppression","16"
"Parietal Lobe","cortex bone disorders","Fear","16"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Involvement with","16"
"Cerebral hemisphere structure (body structure)","Depressive disorder","DEPRESSION MENTAL","16"
"BRAIN, HIPPOCAMPUS","Neurodegenerative Disorders","Impaired cognition","16"
"Nucleus Accumbens","Recurrent disease","Cocaine","16"
"Dorsal Nucleus Raphe","Mood Disorders","Mood Disorders","16"
"intercalated amygdalar nuclei","Depressive disorder","DEPRESSION MENTAL","16"
"Brain Stem","Spinal Cord Diseases","Like","16"
"BRAIN, HIPPOCAMPUS","Disease Progression","Social Role","16"
"Cerebral cortex","Neurotoxicity Syndromes","Social Role","16"
"Thalamic structure","Depressive disorder","DEPRESSION MENTAL","16"
"Genus Hippocampus","Alzheimer's Disease","Memory impairment","16"
"Nucleus Accumbens","Depressive disorder","Like","16"
"Posterolateral auditory cortex","cortex bone disorders","Fear","16"
"Genus Hippocampus","Functional disorder","Impaired cognition","16"
"Internal arcuate tract","Depressive disorder","DEPRESSION MENTAL","16"
"BRAIN, HIPPOCAMPUS","Functional disorder","Learning","15"
"Basal Ganglia","Gilles de la Tourette syndrome","Gilles de la Tourette syndrome","15"
"BRAIN, HIPPOCAMPUS","Timothy syndrome","Gilles de la Tourette syndrome","15"
"Cerebral cortex","Alzheimer's Disease","Impaired cognition","15"
"Amygdaloid structure","Autistic Disorder","Autistic Disorder","15"
"BRAIN, HIPPOCAMPUS","Gilles de la Tourette syndrome","Gilles de la Tourette syndrome","15"
"BRAIN, HIPPOCAMPUS","Depressive disorder","Communication Response","15"
"Neostriatum","Tic disorder","Tic disorder","15"
"Basal Ganglia","cortex bone disorders","Social Role","15"
"Cerebral cortex","Functional disorder","Impaired cognition","15"
"Basal Ganglia","Tic disorder","Tic disorder","15"
"Cerebral cortex","Functional disorder","Behavior","15"
"Brain Stem","Spinal Cord Diseases","Psychological inhibition","15"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Forgetful","15"
"Genus Hippocampus","cortex bone disorders","Performance","15"
"Hypothalamic structure","Pituitary Diseases","Reproduction","15"
"BRAIN, HIPPOCAMPUS","Pituitary Diseases","Stress","15"
"Nucleus fastigii","Fetal Alcohol Syndrome","Social Role","15"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","DEPRESSION MENTAL","15"
"Anterodorsal nucleus of thalamus","Depressive disorder","DEPRESSION MENTAL","15"
"Corpus striatum structure","cortex bone disorders","Communication Response","15"
"Amygdaloid structure","Mood Disorders","Mood Disorders","15"
"BRAIN, HIPPOCAMPUS","Functional disorder","Stress","15"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","Memory","15"
"Ventral Tegmental Area","Depressive disorder","Like","15"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Stress","15"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Performance","15"
"Cerebellum","Fetal Alcohol Syndrome","Fetal Alcohol Syndrome","15"
"Genus Hippocampus","Mood Disorders","Mood Disorders","15"
"Structure of rubrospinal tract","Depressive disorder","DEPRESSION MENTAL","14"
"Cerebral cortex","Gilles de la Tourette syndrome","Gilles de la Tourette syndrome","14"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Projection Defense Mechanism","14"
"Amygdaloid structure","Depressive disorder","Behavior","14"
"Dorsal Nucleus Raphe","Depressive disorder","Anxiety","14"
"Structure of paraventricular nucleus of thalamus","Depressive disorder","DEPRESSION MENTAL","14"
"BRAIN, HIPPOCAMPUS","Neurodegenerative Disorders","Memory","14"
"Basal Ganglia","cortex bone disorders","Behavior","14"
"Nucleus Accumbens","Sensitization (disorder)","Cocaine","14"
"Lateral geniculate complex","Retinal Diseases","Communication Response","14"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Mental concentration","14"
"Basal Forebrain","cortex bone disorders","Projection Defense Mechanism","14"
"Bundle, Predorsal","Neurodegenerative Disorders","Social Role","14"
"Prefrontal Cortex","Depressive disorder","Anxiety","14"
"Ventral Tegmental Area","Depressive disorder","Social Role","14"
"Cerebral cortex","Depressive disorder","Communication Response","14"
"Cerebral cortex","Functional disorder","Involvement with","14"
"Neostriatum","cortex bone disorders","Communication Response","14"
"BRAIN, HIPPOCAMPUS","Functional disorder","Cognition","14"
"Prosencephalon","Depressive disorder","DEPRESSION MENTAL","14"
"Cerebral cortex","Major Depressive Disorder","Unipolar Depression","14"
"Prefrontal Cortex","Mood Disorders","Mood Disorders","14"
"Cerebral cortex","cortex bone disorders","Involvement with","14"
"Genus Hippocampus","Cognition Disorders","Impaired cognition","14"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Attention","14"
"Amygdaloid structure","cortex bone disorders","Projection Defense Mechanism","14"
"Area striata structure","cortex bone disorders","Communication Response","14"
"Genus Hippocampus","cortex bone disorders","Projection Defense Mechanism","14"
"BRAIN, HIPPOCAMPUS","Functional disorder","Forgetful","14"
"Structure of angular gyrus","Depressive disorder","DEPRESSION MENTAL","13"
"Genus Hippocampus","Depressive disorder","Social Role","13"
"Anterodorsal nucleus of thalamus","Functional disorder","Impaired cognition","13"
"Prefrontal Cortex","Disorders, Mental","Social Role","13"
"Basal Forebrain","Alzheimer's Disease","Social Role","13"
"Cerebral cortex","Alzheimer's Disease","Involvement with","13"
"Cerebral cortex","cortex bone disorders","psychological orientation","13"
"Structure of dentate gyrus","Depressive disorder","Behavior","13"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Visual learning","13"
"Genus Hippocampus","Autistic Disorder","Autistic Disorder","13"
"Ventral Tegmental Area","Depressive disorder","Stress","13"
"Pituitary Gland","Pituitary Diseases","Coitus","13"
"Cerebral cortex","Functional disorder","Psychological inhibition","13"
"Cerebellum","Functional disorder","Involvement with","13"
"Genus Hippocampus","cortex bone disorders","Involvement with","13"
"Genus Hippocampus","Alzheimer's Disease","Learning","13"
"Genus Hippocampus","cortex bone disorders","Mental concentration","13"
"Genus Hippocampus","Alzheimer's Disease","Cognition","12"
"Pars Compacta","Parkinson Disease","Involvement with","12"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","Conditioning, Classical","12"
"Pyramidal Cells","cortex bone disorders","Behavior","12"
"Tectospinal tract of medulla","Gilles de la Tourette syndrome","Social Role","12"
"Gyrus Cinguli","Neurodegenerative Disorders","Tremor","12"
"Tectospinal tract of medulla","Timothy syndrome","Social Role","12"
"central amygdalar nucleus","Depressive disorder","DEPRESSION MENTAL","12"
"Temporal Lobe","Depressive disorder","DEPRESSION MENTAL","12"
"BRAIN, HIPPOCAMPUS","Down Syndrome","Memory","12"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Hyperactive behavior","12"
"Corpus striatum structure","Stereotypic Movement Disorder","Stereotyped Behavior","12"
"Structure of fissure of Sylvius","Leigh Disease","Communication Response","12"
"Hypothalamic structure","Pituitary Diseases","Communication Response","12"
"Neostriatum","Stereotypic Movement Disorder","Stereotypic Movement Disorder","12"
"Amygdaloid structure","Depressive disorder","Like","12"
"Genus Hippocampus","Functional disorder","Behavior","12"
"Dorsal Nucleus Raphe","Depressive disorder","Like","12"
"Amygdaloid structure","Depressive disorder","Anxiety","12"
"Triangular Septal Nucleus","Timothy syndrome","Social Role","12"
"Brain Stem","Functional disorder","Involvement with","12"
"Nuclei, Raphe","Depressive disorder","DEPRESSION MENTAL","12"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Seizures","12"
"Lateral Septal Nucleus","Leigh Disease","Communication Response","12"
"Central gray substance of midbrain","Depressive disorder","DEPRESSION MENTAL","12"
"Triangular Septal Nucleus","Gilles de la Tourette syndrome","Social Role","12"
"Structure of olfactory bulb","Renal glomerular disease","Communication Response","12"
"Corpus striatum structure","Stereotypic Movement Disorder","Stereotypic Movement Disorder","12"
"BRAIN, HIPPOCAMPUS","Functional disorder","Mood Disorders","12"
"Cerebral cortex","Alzheimer's Disease","Projection Defense Mechanism","12"
"Median eminence of hypothalamus","Pituitary Diseases","Mental concentration","12"
"Neostriatum","Stereotypic Movement Disorder","Stereotyped Behavior","12"
"Midbrain structure","Parkinson Disease","Social Role","12"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","Cocaine","11"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Involvement with","11"
"BRAIN, HIPPOCAMPUS","Depressive disorder","Emotions","11"
"Structure of central sulcus","Hamartoma Syndrome, Multiple","Mental concentration","11"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Fear","11"
"Lateral habenular nucleus","Depressive disorder","Social Role","11"
"Dorsal Nucleus Raphe","Major Depressive Disorder","Unipolar Depression","11"
"BRAIN, HIPPOCAMPUS","Neurotoxicity Syndromes","Stress","11"
"Amygdaloid structure","Functional disorder","Social Role","11"
"mossy fiber","Depressive disorder","DEPRESSION MENTAL","11"
"Cerebral cortex","Mood Disorders","Mood Disorders","11"
"Pyramidal Cells","cortex bone disorders","Social Role","11"
"Corpus striatum structure","Parkinson Disease","Behavior","11"
"Neostriatum","Functional disorder","Social Role","11"
"Basal Nucleus of Meynert","Depressive disorder","DEPRESSION MENTAL","11"
"Basal Ganglia","Autistic Disorder","Autistic Disorder","11"
"Cerebral cortex","cortex bone disorders","Experience","11"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Communication Response","11"
"Structure of dentate gyrus","Depressive disorder","Like","11"
"Genus Hippocampus","Pituitary Diseases","Stress","11"
"Basal Ganglia","Depressive disorder","DEPRESSION MENTAL","11"
"Neostriatum","Depressive disorder","Behavior","11"
"Corpus striatum structure","Functional disorder","Social Role","11"
"Cerebral cortex","Functional disorder","Autistic Disorder","11"
"BRAIN, HIPPOCAMPUS","Stress Disorders, Traumatic","Stress","11"
"BRAIN, HIPPOCAMPUS","Neurotoxicity Syndromes","Behavior","11"
"Structure of subthalamic nucleus","Functional disorder","Social Role","11"
"Anterodorsal nucleus of thalamus","Alzheimer's Disease","Availability of","11"
"BRAIN, HIPPOCAMPUS","Neurotoxicity Syndromes","Mental concentration","11"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","Stress","11"
"Neostriatum","cortex bone disorders","Mental concentration","11"
"Neostriatum","Parkinson Disease","Behavior","11"
"Nucleus Accumbens","cortex bone disorders","Cocaine","11"
"Orbitofrontal cortex","Depressive disorder","DEPRESSION MENTAL","11"
"Substantia nigra structure","Parkinson Disease","Involvement with","11"
"Hypothalamic structure","Skin endocrine disorder","biological adaptation to stress","11"
"Cerebral hemisphere structure (body structure)","Autistic Disorder","Autistic Disorder","11"
"Corpus striatum structure","Depressive disorder","Behavior","11"
"Lobe, Frontal","Autistic Disorder","Autistic Disorder","11"
"BRAIN, HIPPOCAMPUS","Neurotoxicity Syndromes","Impaired cognition","11"
"Cerebral hemisphere structure (body structure)","Alzheimer's Disease","Social Role","11"
"Bundle, Predorsal","Disease Progression","Social Role","11"
"Pituitary Gland","Pituitary Diseases","Puberty","11"
"Prefrontal Cortex","Functional disorder","DEPRESSION MENTAL","11"
"Pyramidal Cells","Depressive disorder","Like","11"
"Ventral Tegmental Area","Recurrent disease","Cocaine","11"
"Medial nucleus of habenula","Depressive disorder","DEPRESSION MENTAL","11"
"Pyramidal Cells","Depressive disorder","Behavior","11"
"Pituitary Gland","Pituitary Diseases","Breast Feeding","10"
"Prefrontal Cortex","Depressive disorder","Social Role","10"
"Cerebral cortex","cortex bone disorders","Mental association","10"
"Amygdaloid structure","Major Depressive Disorder","Unipolar Depression","10"
"BRAIN, HIPPOCAMPUS","Major Depressive Disorder","Stress","10"
"Cerebral cortex","Alzheimer's Disease","Cognition","10"
"Prefrontal Cortex","Functional disorder","Emotions","10"
"Cerebellum","cortex bone disorders","Communication Response","10"
"BRAIN, HIPPOCAMPUS","cortex bone disorders","Visual learning","10"
"Ventral Tegmental Area","Recurrent disease","Social Role","10"
"Dorsal Nucleus Raphe","Depressive disorder","Social Role","10"
"Cerebral cortex","Neurotoxicity Syndromes","Mental concentration","10"
"Prefrontal Cortex","Disorders, Mental","Stress","10"
"Cerebral cortex","Phantom limb syndrome","Phantom limb syndrome","10"
"CA1 field","Depressive disorder","Like","10"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Amnesia","10"
"BRAIN, HIPPOCAMPUS","Functional disorder","Unipolar Depression","10"
"Cerebral cortex","Alzheimer's Disease","Mental concentration","10"
"Corpus striatum structure","Disorders, Mental","Abnormal behavior","10"
"Medulla Oblongata","Spinal Cord Diseases","Communication Response","10"
"Interpeduncular nucleus","Syndrome, Bloch-Sulzberger","Like","10"
"BRAIN, HIPPOCAMPUS","Alzheimer's Disease","Projection Defense Mechanism","10"
"Cerebral hemisphere structure (body structure)","Functional disorder","Social Role","10"
"Structure of locus ceruleus","Spinal Cord Diseases","Projection Defense Mechanism","10"
"Midbrain structure","Parkinson Disease","Behavior","10"
