"protein","disease","count"
"Human Growth Hormone","Pituitary Diseases","42"
"APP protein, human","Parkinson Disease","42"
"Neuropeptides","Pituitary Diseases","42"
"Prions","Disease Progression","42"
"Peptides","Disease Progression","42"
"Genes","Feline urological syndrome","42"
"Amyloid beta-Protein Precursor","Disease Progression","42"
"Myelin","Alzheimer's Disease","42"
"Ubiquitin","Parkinson Disease","42"
"Genes","neuropathology disease","41"
"Y, Neuropeptide","Pituitary Diseases","41"
"Tumor Necrosis Factors","Neurotoxicity Syndromes","41"
"Protein Isoforms","cortex bone disorders","41"
"Corticotropin-Releasing Hormone","Skin endocrine disorder","41"
"Amyloid","Parkinson Disease","41"
"Proteins","Lewy Body Disease","40"
"Nerve Growth Factors","cortex bone disorders","40"
"Proteins","Neurodevelopmental disorder","40"
"Proteins","Prion Diseases","40"
"HD protein, human","Disease Progression","40"
"Nerve Growth Factor","Spinal Cord Diseases","40"
"Proteins","Disorders, Mental","40"
"Genes","Ataxia as late effect of cerebrovascular disease","40"
"ribonucleotide reductase M2","Syndrome, Bloch-Sulzberger","40"
"Ubiquitin","Alzheimer's Disease","40"
"Enzymes","Neurodegenerative Disorders","40"
"NADH Dehydrogenase (Ubiquinone)","Parkinson Disease","40"
"Receptor","Disorders, Mental","39"
"Immunoglobulins","Spinal Cord Diseases","39"
"Retinaldehyde","Degenerative disorder","39"
"Choline O-Acetyltransferase","Spinal Cord Diseases","39"
"Genes","Brain Diseases","39"
"orexins","Depressive disorder","39"
"Presenilins","Alzheimer's Disease","39"
"Glutamate Receptor","Neurotoxicity Syndromes","39"
"Peptides","cortex bone disorders","38"
"Protein Subunits","Alzheimer's Disease","38"
"Serotonin","Major Depressive Disorder","38"
"Major Prion Protein","Alzheimer's Disease","38"
"Calcitonin Gene-Related Peptide","Spinal Cord Diseases","38"
"Amyloid","neuropathology disease","38"
"KISS1 protein, human","Pituitary Diseases","38"
"Proteins","Feline urological syndrome","37"
"Autoantibodies","Syndrome","37"
"Somatostatin","Alzheimer's Disease","37"
"Oxidase, Cytochrome-c","cortex bone disorders","37"
"orexins","Sleep Disorders","37"
"myelination","Spinal Cord Diseases","37"
"Proto-Oncogene Proteins c-fos","cortex bone disorders","37"
"Protein Subunits","Functional disorder","37"
"protein TDP-43","Alzheimer's Disease","37"
"Proteins","Down Syndrome","37"
"Complex, Multicatalytic Endopeptidase","Functional disorder","37"
"HCRT Gene","Depressive disorder","37"
"Green Fluorescent Proteins","cortex bone disorders","36"
"Glucose","Liver diseases","36"
"Enzymes","Liver diseases","36"
"HCRT Gene","Sleep Disorders","36"
"Myelin","DISORDERS OF THE OPTIC NERVE","36"
"Glycosylation End Products, Advanced","Alzheimer's Disease","36"
"Cytokine","Spinal Cord Diseases","36"
"alpha-Synuclein","Lewy Body Disease","35"
"Monoclonal Antibodies","Spinal Cord Diseases","35"
"Tyrosine 3-Monooxygenase","Spinal Cord Diseases","35"
"RELN protein, human","cortex bone disorders","35"
"Bromodeoxyuridine","cortex bone disorders","35"
"Caspase-3","Neurotoxicity Syndromes","35"
"Cu-Zn Superoxide Dismutase","Spinal Cord Diseases","34"
"Brain-Derived Neurotrophic Factor","Disease Progression","34"
"Calcium","Syndrome, Bloch-Sulzberger","34"
"Somatostatin","Pituitary Diseases","34"
"Interleukin-6","cortex bone disorders","34"
"Neurotrophic Factor","Spinal Cord Diseases","34"
"Cytokine","Disease Progression","34"
"INSR protein, human","cortex bone disorders","34"
"Amyloid beta-Protein Precursor","Neurotoxicity Syndromes","34"
"Argipressin","Pituitary Diseases","33"
"Brain-Derived Neurotrophic Factor","Disorder nervous system","33"
"Calcium","Neurodegenerative Disorders","33"
"HDAC Inhibitor SHP-141","cortex bone disorders","33"
"Serotonin","Alzheimer's Disease","33"
"NOS2A protein, human","Van der Woude syndrome","33"
"HCRT protein, human","Sleep Disorders","33"
"Receptor","Migraine Disorders","33"
"Immunoglobulins","cortex bone disorders","33"
"Transcobalamin","cortex bone disorders","33"
"Interferons","Van der Woude syndrome","33"
"Glycine Receptors","Spinal Cord Diseases","33"
"Antibodies","Functional disorder","33"
"HD protein, human","Alzheimer's Disease","32"
"TLR4 protein, human","Van der Woude syndrome","32"
"Amyloid Proteins","Down Syndrome","32"
"Receptor","Macrophage Activation Syndrome","32"
"Horseradish Peroxidase","Retinal Diseases","32"
"Human Leukocyte Interferon","Van der Woude syndrome","32"
"Synucleins","neuropathology disease","32"
"Nicotinic Receptors","Alzheimer's Disease","32"
"Serotonin","Dyskinetic syndrome","32"
"Follicle Stimulating Hormone","Pituitary Diseases","32"
"Cloning Vectors","Spinal Cord Diseases","32"
"Myelin","Disease Progression","32"
"Receptor","McCune-Albright Syndrome","32"
"Insulin","Functional disorder","32"
"Receptor","Meconium Aspiration Syndrome","32"
"Gonadorelin","Polycystic Ovary Syndrome","32"
"Ion Channel","Functional disorder","32"
"HCRT protein, human","Depressive disorder","32"
"Bilirubin","Neurotoxicity Syndromes","31"
"Phosphotransferases","Functional disorder","31"
"Antibodies","Parkinson Disease","31"
"Antibodies","Disorder nervous system","31"
"Nuclear Localization Signals","Neu-Laxova syndrome","31"
"Superoxide Dismutase","Spinal Cord Diseases","31"
"Genes","Developmental delay (disorder)","31"
"N-Methylaspartate","Functional disorder","31"
"Tyrosine 3-Monooxygenase","cortex bone disorders","31"
"Serotonin","Sudden infant death syndrome","31"
"Serotonin","Hashimoto Disease","31"
"Membrane Transport Proteins","cortex bone disorders","31"
"Proteins","Brain Diseases","31"
"APP protein, human","Mild cognitive disorder","31"
"Receptor","Huntington Disease","30"
"tau Proteins","Functional disorder","30"
"Prions","Neurotoxicity Syndromes","30"
"Factor, Transcription","cortex bone disorders","30"
"Granulocyte-Macrophage Colony-Stimulating Factor","Spinal Cord Diseases","30"
"N-Methylaspartate","Alzheimer's Disease","30"
"Green Fluorescent Proteins","Spinal Cord Diseases","30"
"Neurotrophin 3","Spinal Cord Diseases","30"
"Amyloid","Down Syndrome","30"
"Microtubule-Associated Proteins","Renal glomerular disease","30"
"APP protein, human","Familial Alzheimer Disease (FAD)","30"
"Tumor Necrosis Factor-alpha","Spinal Cord Diseases","30"
"Myelin","Disorder nervous system","30"
"Monoclonal Antibodies","Retinal Diseases","30"
"Glucose","Neurotoxicity Syndromes","30"
"Protein Subunits","Disorder nervous system","30"
"Proteins","DISORDERS OF THE OPTIC NERVE","30"
"Glial Fibrillary Acidic Protein","Retinal Diseases","30"
"Calretinin","cortex bone disorders","30"
"Glycine","Neurotoxicity Syndromes","29"
"Ubiquitin","Functional disorder","29"
"Glycosylation End Products, Advanced","Neurodegenerative Disorders","29"
"RNA-Binding Proteins","Feline urological syndrome","29"
"Apolipoproteins","Alzheimer's Disease","29"
"Nerve Growth Factors","Functional disorder","29"
"Fragile X Mental Retardation Protein","Autistic Disorder","29"
"Gonadorelin","Kallmann Syndrome","29"
"HCRT Gene","Functional disorder","29"
"Interferons","Virus Diseases","29"
"Genes","Major Depressive Disorder","29"
"INSR protein, human","Retinal Diseases","29"
"Glucosylceramidase","Gaucher Disease","29"
"Prions","Parkinson Disease","29"
"Luteinizing Hormone","Polycystic Ovary Syndrome","29"
"Proteins","Syndrome, Bloch-Sulzberger","28"
"Neurotrophic Factor","Functional disorder","28"
"Alkaline Phosphatase","Alzheimer's Disease","28"
"Galanin","Alzheimer's Disease","28"
"Mitogen-Activated Protein Kinases","Neurotoxicity Syndromes","28"
"Proteins","Shy-Drager Syndrome","28"
"NADH Dehydrogenase (Ubiquinone)","Functional disorder","28"
"myelination","cortex bone disorders","28"
"Prions","Creutzfeldt-Jakob disease","28"
"Poly ADP Ribose Polymerase","Pituitary Diseases","28"
"HD protein, human","cortex bone disorders","28"
"Colony-Stimulating Factors","Spinal Cord Diseases","28"
"Neuropeptides","Functional disorder","28"
"Protein Isoforms","Retinal Diseases","28"
"Cyclosporine","Cockayne Syndrome, Type I","28"
"Mitogen-Activated Protein Kinases","Alzheimer's Disease","28"
"Cytokine","cortex bone disorders","28"
"Calpain","Alzheimer's Disease","28"
"Synucleins","Parkinsonian Disorders","27"
"Complement System Proteins","Alzheimer's Disease","27"
"Genes","Kallmann Syndrome","27"
"Phosphonoacetic Acid","Mesulam Syndrome","27"
"Neurotrophic Factor","Depressive disorder","27"
"angiogenin","Meconium Aspiration Syndrome","27"
"angiogenin","McCune-Albright Syndrome","27"
"Methyl-CpG-Binding Protein 2","Autism Spectrum Disorders","27"
"Neuropeptides","Alzheimer's Disease","27"
"Synaptophysin","cortex bone disorders","27"
"Myelin","Neurodegenerative Disorders","27"
"Complex, Multicatalytic Endopeptidase","Neurodegenerative Disorders","27"
"Proteins","Bipolar Disorder","27"
"Amyloid Proteins","Mild cognitive disorder","27"
"Myelin basic protein","Spinal Cord Diseases","27"
"Calcitonin-Gene Related Peptide Receptor","Migraine Disorders","27"
"Protein Isoforms","Spinal Cord Diseases","27"
"Brain-Derived Neurotrophic Factor","Major Depressive Disorder","27"
"Amyloid","Mild cognitive disorder","27"
"Parvalbumins","Disorders, Mental","27"
"Ubiquitin","Motor Neuron Disease","27"
"angiogenin","Macrophage Activation Syndrome","27"
"Peptides","Skin endocrine disorder","27"
"Glycogen Synthase Kinase 3","Alzheimer's Disease","27"
"Tubulin","Alzheimer's Disease","27"
"Tyrosine 3-Monooxygenase","Neurotoxicity Syndromes","27"
"Genes","Motor Neuron Disease","27"
"Genes","Attention deficit hyperactivity disorder","27"
"N-Methylaspartate","Retinal Diseases","27"
"Tumor Necrosis Factors","Spinal Cord Diseases","27"
"Tyrosine 3-Monooxygenase","Pituitary Diseases","26"
"Receptor","Renal glomerular disease","26"
"RNA-Binding Proteins","Fragile X Syndrome","26"
"Serotonin","Migraine Disorders","26"
"Protein Isoforms","Neurodegenerative Disorders","26"
"Glial Cell Line-Derived Neurotrophic Factor","Spinal Cord Diseases","26"
"S100 calcium binding protein A10","Depressive disorder","26"
"Glutamine","Neurodegenerative Disorders","26"
"INSR protein, human","Spinal Cord Diseases","26"
"Protein Phosphatase 2A","Alzheimer's Disease","26"
"Celiac Disease","Celiac Disease","26"
"Horseradish Peroxidase","DISORDERS OF THE OPTIC NERVE","26"
"Proto-Oncogene Proteins c-fos","Spinal Cord Diseases","26"
"Calcium","Spinal Cord Diseases","26"
"Glycosylation End Products, Advanced","cortex bone disorders","26"
"Calbindins","cortex bone disorders","26"
"Parvalbumins","Alzheimer's Disease","26"
"Protein Phosphatase 2A Regulatory Subunit PR53","Alzheimer's Disease","26"
"RNA-Binding Proteins","Neurodegenerative Disorders","26"
"Amyloid beta-Protein Precursor","Familial Alzheimer Disease (FAD)","26"
"Nerve Growth Factor","Functional disorder","26"
"Receptor","Gardner Syndrome","26"
"YWHAQ protein, human","Alzheimer's Disease","26"
"Insulin","Liver diseases","25"
"orexins","Functional disorder","25"
"Abnormal protein","Neurodegenerative Disorders","25"
"Curcumin","Alzheimer's Disease","25"
"Major Prion Protein","Communicable Diseases","25"
"Antibodies","Disease Progression","25"
"Genes","Pituitary Diseases","25"
"Immunoglobulins","Retinal Diseases","25"
"Cytokine","Parkinson Disease","25"
"Methyl-CpG-Binding Protein 2","Disorder nervous system","25"
"Neuropeptides","Spinal Cord Diseases","25"
"Retinaldehyde","Functional disorder","25"
"Phospholipase C","Syndrome, Bloch-Sulzberger","25"
"Immune Sera","Spinal Cord Diseases","25"
"Cholecystokinin","cortex bone disorders","25"
"Protein Subunits","Depressive disorder","25"
"Receptor","Mood Disorders","25"
"Interferons","Depressive disorder","25"
"Glucocorticoid Receptor","Pituitary Diseases","24"
"Glutamate Decarboxylase","cortex bone disorders","24"
"Synaptophysin","Alzheimer's Disease","24"
"Autoreceptors","Depressive disorder","24"
"Insulin","Pancreatic Diseases","24"
"Methyl-CpG-Binding Protein 2","Autistic Disorder","24"
"Nitric Oxide Synthase","Neurotoxicity Syndromes","24"
"Cu-Zn Superoxide Dismutase","Disease Progression","24"
"Presenilin-1","Familial Alzheimer Disease (FAD)","24"
"Oxidoreductase","Neurotoxicity Syndromes","24"
"Cyclic AMP-Responsive DNA-Binding Protein","Depressive disorder","24"
"Genes","Lysosomal Storage Diseases","24"
"Proteins","Diseases of inner ear","24"
"Parvalbumins","Depressive disorder","24"
"APP protein, human","Syndrome","24"
"tropomyosin-related kinase-B, human","Alzheimer's Disease","24"
"Somatotropin-Releasing Hormone","Pituitary Diseases","24"
"Gonadorelin","Klinefelter Syndrome","24"
"Enzymes","Neurotoxicity Syndromes","24"
"Factor, Transcription","Spinal Cord Diseases","24"
"HCRT protein, human","Functional disorder","24"
"SH3 and Multiple Ankyrin Repeat Domains Protein 3","Pervasive Development Disorder","24"
"Tyrosine 3-Monooxygenase","Functional disorder","23"
"Genes","Williams Syndrome","23"
"Brain-Derived Neurotrophic Factor","Sensitization (disorder)","23"
"5-Hydroxytryptamine Receptor 1A, human","Depressive disorder","23"
"Neurotrophic Factor","Disorder nervous system","23"
"Protein Kinase C","cortex bone disorders","23"
"Proteins","Van der Woude syndrome","23"
"Y, Neuropeptide","Disorder of pineal gland","23"
"Amyloid Proteins","Syndrome","23"
"Dopamine D1 Receptor","Sensitization (disorder)","23"
"Receptor","Liver diseases","23"
"Nerve Growth Factor","Neurodegenerative Disorders","23"
"Thyrotropin-Releasing Hormone","Pituitary Diseases","23"
"Neuropeptides","Migraine Disorders","23"
"donepezil","Alzheimer's Disease","23"
"Methyl-CpG-Binding Protein 2","Pervasive Development Disorder","23"
"protein TDP-43","Motor Neuron Disease","23"
"Major Prion Protein","Neurodegenerative Disorders","23"
"Oxytocin","Spinal Cord Diseases","23"
"Dopamine Receptor","Parkinson Disease","23"
"Brain-Derived Neurotrophic Factor","Diseases of inner ear","23"
"Corticotropin-Releasing Hormone","Functional disorder","23"
"Brain-Derived Neurotrophic Factor","Rett Syndrome","23"
"HD protein, human","Neurotoxicity Syndromes","23"
"Dyes","cortex bone disorders","23"
"Proteins","Machado-Joseph Disease","23"
"Neurotrophic Factor","Neurotoxicity Syndromes","22"
"Pituitary Hormones, Anterior","Pituitary Diseases","22"
"Proteins","Mucocutaneous Lymph Node Syndrome","22"
"alpha-Synuclein","Disease Progression","22"
"Tumor Necrosis Factor-alpha","Functional disorder","22"
"Selegiline","Parkinson Disease","22"
"Autoantibodies","Disorder nervous system","22"
"Myelin basic protein","cortex bone disorders","22"
"Enkephalins","Spinal Cord Diseases","22"
"Factor, Transcription","Alzheimer's Disease","22"
"Genes","Niemann-Pick Disease, Type C","22"
"Glucocorticoid Receptor","Depressive disorder","22"
"Artemin, human","Parkinson Disease","22"
"Fibroblast Growth Factor 2","cortex bone disorders","22"
"PODXL protein, human","cortex bone disorders","22"
"N-Methylaspartate","Neurodegenerative Disorders","22"
"Insulin","Neurodegenerative Disorders","22"
"Enzymes","Retinal Diseases","22"
"Growth Factor","Parkinson Disease","22"
"Interleukin-6","Spinal Cord Diseases","22"
"orexins","Narcolepsy-Cataplexy Syndrome","22"
"Retinaldehyde","Disorder of pineal gland","22"
"Serotonin","Anxiety Disorders","22"
"alpha-Synuclein","Functional disorder","22"
"Nerve Growth Factor","Down Syndrome","22"
"Corticotropin-Releasing Hormone","Disorders, Mental","22"
"Tumor Necrosis Factor-alpha","Alzheimer's Disease","22"
"Neurotrophic Factor","cortex bone disorders","22"
"Glucose","Functional disorder","22"
"Vasopressin (USP)","Hypertensive disease","22"
"Genes","Dystonia Disorders","21"
"Oxytocin","Autistic Disorder","21"
"Human Leukocyte Interferon","Depressive disorder","21"
"Receptor","Brain Diseases","21"
"Synucleins","cortex bone disorders","21"
"Genes","Familial Alzheimer Disease (FAD)","21"
"Oxytocin","Depressive disorder","21"
"HCRT protein, human","Narcolepsy-Cataplexy Syndrome","21"
