"brainregion","disease","count"
"BRAIN, HIPPOCAMPUS","Leigh Disease","359"
"Hypothalamic Area, Lateral","cortex bone disorders","360"
"Hypothalamic Area, Lateral","Mucocutaneous Lymph Node Syndrome","361"
"Hypothalamic Area, Lateral","Van der Woude syndrome","362"
"Hypothalamic Area, Lateral","Leigh Disease","363"
"Hypothalamic Area, Lateral","Gardner Syndrome","364"
"Purkinje Cells","Mucocutaneous Lymph Node Syndrome","365"
"Purkinje Cells","Van der Woude syndrome","366"
"Purkinje Cells","Leigh Disease","367"
"Purkinje Cells","Gardner Syndrome","368"
"Area striata structure","Functional disorder","369"
"Entire Brodmann areas 17 (striate cortex), 18 (parastriate cortex) and 19 (peristriate cortex) of occipital lobe","Functional disorder","370"
"Visual Cortex","Functional disorder","371"
"Hypothalamic Area, Lateral","Functional disorder","372"
"Hypothalamus, Middle","Alzheimer's Disease","373"
"Hypothalamus, Middle","Neurotoxicity Syndromes","374"
"Hypothalamus, Middle","Functional disorder","375"
"Hypothalamus, Middle","Neurodegenerative Disorders","376"
"Hypothalamus, Middle","Disease Progression","377"
"Hypothalamus, Middle","Spinal Cord Diseases","378"
"Hypothalamus, Middle","Parkinson Disease","379"
"Amygdaloid structure","Alzheimer's Disease","380"
"Amygdaloid structure","Neurotoxicity Syndromes","381"
"Amygdaloid structure","Functional disorder","382"
"Amygdaloid structure","Neurodegenerative Disorders","383"
"Amygdaloid structure","Disease Progression","384"
"Amygdaloid structure","Spinal Cord Diseases","385"
"Amygdaloid structure","Parkinson Disease","386"
"Cerebral cortex","Parkinson Disease","387"
"Central gray substance of midbrain","Alzheimer's Disease","388"
"Central gray substance of midbrain","Neurotoxicity Syndromes","389"
"Central gray substance of midbrain","Functional disorder","390"
"Central gray substance of midbrain","Neurodegenerative Disorders","391"
"Central gray substance of midbrain","Disease Progression","392"
"Central gray substance of midbrain","Spinal Cord Diseases","393"
"Central gray substance of midbrain","Parkinson Disease","394"
"BRAIN, HIPPOCAMPUS","Neu-Laxova syndrome","395"
"Hypothalamus, Middle","Neu-Laxova syndrome","396"
"Genus Hippocampus","Neu-Laxova syndrome","397"
"Amygdaloid structure","Neu-Laxova syndrome","398"
"Cerebral cortex","Neu-Laxova syndrome","399"
"Central gray substance of midbrain","Neu-Laxova syndrome","400"
"Structure of angular gyrus","Hypertensive disease","401"
"Structure of angular gyrus","Cardiovascular Diseases","402"
"Structure of angular gyrus","Spinal Cord Diseases","403"
"Structure of angular gyrus","cortex bone disorders","404"
"Structure of angular gyrus","Pituitary Diseases","405"
"Structure of angular gyrus","Depressive disorder","406"
"Structure of angular gyrus","Disease Progression","407"
"Structure of angular gyrus","Macrophage Activation Syndrome","408"
"Structure of angular gyrus","Functional disorder","409"
"Structure of angular gyrus","Meconium Aspiration Syndrome","410"
"Structure of angular gyrus","Neurodegenerative Disorders","411"
"Structure of angular gyrus","McCune-Albright Syndrome","412"
"Structure of angular gyrus","Parkinson Disease","413"
"Structure of angular gyrus","Brain Diseases","414"
"Structure of angular gyrus","Alzheimer's Disease","415"
"Structure of angular gyrus","Meningeal disorder","416"
"Structure of angular gyrus","Dysequilibrium syndrome","417"
"Medulla Oblongata","Hypertensive disease","418"
"Medulla Oblongata","Cardiovascular Diseases","419"
"Medulla Oblongata","cortex bone disorders","420"
"Medulla Oblongata","Pituitary Diseases","421"
"Medulla Oblongata","Depressive disorder","422"
"Medulla Oblongata","Disease Progression","423"
"Medulla Oblongata","Macrophage Activation Syndrome","424"
"Medulla Oblongata","Functional disorder","425"
"Medulla Oblongata","Meconium Aspiration Syndrome","426"
"Medulla Oblongata","McCune-Albright Syndrome","427"
"Medulla Oblongata","Parkinson Disease","428"
"Medulla Oblongata","Brain Diseases","429"
"Medulla Oblongata","Alzheimer's Disease","430"
"Medulla Oblongata","Meningeal disorder","431"
"Medulla Oblongata","Dysequilibrium syndrome","432"
"Entire medulla oblongata","Hypertensive disease","433"
"Entire medulla oblongata","Cardiovascular Diseases","434"
"Entire medulla oblongata","Spinal Cord Diseases","435"
"Entire medulla oblongata","cortex bone disorders","436"
"Entire medulla oblongata","Pituitary Diseases","437"
"Entire medulla oblongata","Depressive disorder","438"
"Entire medulla oblongata","Disease Progression","439"
"Entire medulla oblongata","Macrophage Activation Syndrome","440"
"Entire medulla oblongata","Functional disorder","441"
"Entire medulla oblongata","Meconium Aspiration Syndrome","442"
"Entire medulla oblongata","Neurodegenerative Disorders","443"
"Entire medulla oblongata","McCune-Albright Syndrome","444"
"Entire medulla oblongata","Parkinson Disease","445"
"Entire medulla oblongata","Brain Diseases","446"
"Entire medulla oblongata","Alzheimer's Disease","447"
"Entire medulla oblongata","Meningeal disorder","448"
"Entire medulla oblongata","Dysequilibrium syndrome","449"
"Hypothalamic structure","Hypertensive disease","450"
"Hypothalamic structure","Cardiovascular Diseases","451"
"Hypothalamic structure","cortex bone disorders","452"
"Hypothalamic structure","Pituitary Diseases","453"
"Hypothalamic structure","Disease Progression","454"
"Hypothalamic structure","Macrophage Activation Syndrome","455"
"Hypothalamic structure","Functional disorder","456"
"Hypothalamic structure","Meconium Aspiration Syndrome","457"
"Hypothalamic structure","McCune-Albright Syndrome","458"
"Hypothalamic structure","Parkinson Disease","459"
"Hypothalamic structure","Alzheimer's Disease","460"
"Hypothalamic structure","Meningeal disorder","461"
"Hypothalamic structure","Dysequilibrium syndrome","462"
"Brain Stem","Hypertensive disease","463"
"Brain Stem","Cardiovascular Diseases","464"
"Brain Stem","cortex bone disorders","465"
"Brain Stem","Pituitary Diseases","466"
"Brain Stem","Depressive disorder","467"
"Brain Stem","Disease Progression","468"
"Brain Stem","Macrophage Activation Syndrome","469"
"Brain Stem","Functional disorder","470"
"Brain Stem","Meconium Aspiration Syndrome","471"
"Brain Stem","Neurodegenerative Disorders","472"
"Brain Stem","McCune-Albright Syndrome","473"
"Brain Stem","Parkinson Disease","474"
"Brain Stem","Brain Diseases","475"
"Brain Stem","Alzheimer's Disease","476"
"Brain Stem","Meningeal disorder","477"
"Brain Stem","Dysequilibrium syndrome","478"
"Nucleus solitarius","Hypertensive disease","479"
"Nucleus solitarius","Cardiovascular Diseases","480"
"Nucleus solitarius","Spinal Cord Diseases","481"
"Nucleus solitarius","cortex bone disorders","482"
"Nucleus solitarius","Pituitary Diseases","483"
"Nucleus solitarius","Depressive disorder","484"
"Nucleus solitarius","Disease Progression","485"
"Nucleus solitarius","Macrophage Activation Syndrome","486"
"Nucleus solitarius","Functional disorder","487"
"Nucleus solitarius","Meconium Aspiration Syndrome","488"
"Nucleus solitarius","Neurodegenerative Disorders","489"
"Nucleus solitarius","McCune-Albright Syndrome","490"
"Nucleus solitarius","Parkinson Disease","491"
"Nucleus solitarius","Brain Diseases","492"
"Nucleus solitarius","Alzheimer's Disease","493"
"Nucleus solitarius","Meningeal disorder","494"
"Nucleus solitarius","Dysequilibrium syndrome","495"
"Lamina Terminalis","Hypertensive disease","496"
"Lamina Terminalis","Cardiovascular Diseases","497"
"Lamina Terminalis","Spinal Cord Diseases","498"
"Lamina Terminalis","cortex bone disorders","499"
"Lamina Terminalis","Pituitary Diseases","500"
"Lamina Terminalis","Depressive disorder","501"
"Lamina Terminalis","Disease Progression","502"
"Lamina Terminalis","Macrophage Activation Syndrome","503"
"Lamina Terminalis","Functional disorder","504"
"Lamina Terminalis","Meconium Aspiration Syndrome","505"
"Lamina Terminalis","Neurodegenerative Disorders","506"
"Lamina Terminalis","McCune-Albright Syndrome","507"
"Lamina Terminalis","Parkinson Disease","508"
"Lamina Terminalis","Brain Diseases","509"
"Lamina Terminalis","Alzheimer's Disease","510"
"Lamina Terminalis","Meningeal disorder","511"
"Lamina Terminalis","Dysequilibrium syndrome","512"
"Structure of paraventricular nucleus","Hypertensive disease","513"
