"gene","disease","count"
"Retinoic Acid Response Element","Hereditary Diseases","48"
"BDNF Gene","Depressive disorder","48"
"PLOD1 gene","Pituitary Diseases","48"
"NBN wt Allele","Nicolaides Baraitser syndrome","48"
"DYRK1A Gene","Down Syndrome","48"
"SILV wt Allele","cortex bone disorders","47"
"Genes","Fragile X Syndrome","47"
"Tumor Necrosis Factor-alpha","Neurotoxicity Syndromes","47"
"MAPT wt Allele","Lewy Body Disease","47"
"CD69 wt Allele","Depressive disorder","47"
"CHAT Gene","Alzheimer's Disease","46"
"Genes","Parkinsonian Disorders","46"
"MAPT gene","Neurodegenerative Disorders","46"
"PSEN1 gene","cortex bone disorders","46"
"SH3PXD2A wt Allele","Retinal Diseases","45"
"ANG Gene","Hypertensive disease","45"
"BDNF Gene","cortex bone disorders","45"
"PRNP wt Allele","Creutzfeldt-Jakob disease","45"
"MAPT wt Allele","Pick Disease of the Brain","44"
"Chloramphenicol O-Acetyltransferase","Retinal Diseases","44"
"CAT Gene","Retinal Diseases","44"
"PRNP wt Allele","Alzheimer's Disease","44"
"Chloramphenicol Acetyl Transferase Gene","Retinal Diseases","44"
"MAPT wt Allele","Parkinson Disease","43"
"HTT gene","Disease Progression","43"
"Genes","Hereditary Diseases","42"
"CD69 wt Allele","Disease Progression","42"
"Retinoic Acid Response Element","Syndrome","42"
"UBE3A gene","Neurodevelopmental disorder","42"
"Genes","Feline urological syndrome","42"
"AKT1S1 wt Allele","Renal glomerular disease","42"
"SOD1 wt Allele","Spinal Cord Diseases","42"
"Genes","neuropathology disease","41"
"PRNP wt Allele","Gerstmann-Straussler-Scheinker Disease","41"
"CD69 wt Allele","cortex bone disorders","41"
"CHAT Gene","cortex bone disorders","41"
"Genotype","Alzheimer's Disease","41"
"PARK7 wt Allele","Parkinson Disease","41"
"PSEN1 wt Allele","cortex bone disorders","41"
"UBE3A gene","Angelman Syndrome","41"
"TARDBP Gene","Feline urological syndrome","41"
"NGF Gene","Alzheimer's Disease","41"
"RRM1 Gene","Syndrome, Bloch-Sulzberger","40"
"CD82 wt Allele","Syndrome, Bloch-Sulzberger","40"
"RRM2 Gene","Syndrome, Bloch-Sulzberger","40"
"TARDBP wt Allele","Spinal Cord Diseases","40"
"POMC Gene","Pituitary Diseases","40"
"Genes","Ataxia as late effect of cerebrovascular disease","40"
"CD55 wt Allele","cortex bone disorders","40"
"NOTCH3 wt Allele","CADASIL Syndrome","40"
"CARD8 wt Allele","Parkinson Disease","39"
"POMC wt Allele","Pituitary Diseases","39"
"TNF Gene","Neurotoxicity Syndromes","39"
"Genes","Brain Diseases","39"
"CARD8 Gene","Parkinson Disease","39"
"SOD1 gene","Feline urological syndrome","38"
"PRNP gene","Neurodegenerative Disorders","38"
"MAPT wt Allele","Parkinsonian Disorders","38"
"BDNF Gene","Alzheimer's Disease","38"
"PPFIBP1 wt Allele","cortex bone disorders","38"
"SOD1 wt Allele","Neurodegenerative Disorders","38"
"ABCB6 wt Allele","Alzheimer's Disease","37"
"PRNP gene","Communicable Diseases","37"
"RELN Gene","cortex bone disorders","37"
"KISS1 Gene","Pituitary Diseases","37"
"HCRT Gene","Depressive disorder","37"
"SLC6A4 wt Allele","Huntington Disease","36"
"HCRT Gene","Sleep Disorders","36"
"PITX2 wt Allele","Axenfeld-Rieger Syndrome, Type 1","36"
"SLC6A4 gene","Huntington Disease","36"
"Retinoic Acid Response Element","Disorder nervous system","36"
"TARDBP wt Allele","Functional disorder","35"
"MAPT wt Allele","Mild cognitive disorder","35"
"Exons","Huntington Disease","35"
"Long Interspersed Element","Parkinson Disease","35"
"SLC6A3 Gene","Parkinson Disease","34"
"GBA gene","Gaucher Disease","34"
"Wild Type","Functional disorder","34"
"Retinoic Acid Response Element","Alzheimer's Disease","34"
"MAPT wt Allele","Spinal Cord Diseases","34"
"CD69 wt Allele","Spinal Cord Diseases","34"
"COL4A5 wt Allele","Andersen Syndrome","33"
"AKT1S1 wt Allele","cortex bone disorders","33"
"COL4A5 wt Allele","Arterial Tortuosity Syndrome","33"
"TH gene","cortex bone disorders","33"
"C3 Gene","Spinal Cord Diseases","33"
"ATP8A2 wt Allele","Functional disorder","33"
"PTPN11 wt Allele","Noonan Syndrome","33"
"INS gene","Functional disorder","32"
"Wild Type","Parkinson Disease","32"
"Retinoic Acid Response Element","Neurodevelopmental disorder","32"
"APP gene","Functional disorder","32"
"Long Interspersed Element","Depressive disorder","32"
"TPO wt Allele","Shy-Drager Syndrome","32"
"GNAI1 Gene","Gardner Syndrome","31"
"GNAI1 wt Allele","Gardner Syndrome","31"
"CD69 wt Allele","Neurodegenerative Disorders","31"
"Genes","Developmental delay (disorder)","31"
"IDS wt Allele","Sudden infant death syndrome","31"
"ENG wt Allele","Spinal Cord Diseases","30"
"Transgenes","Spinal Cord Diseases","30"
"Tumor Necrosis Factor-alpha","Spinal Cord Diseases","30"
"FASTK Gene","Functional disorder","30"
"HTT gene","Alzheimer's Disease","30"
"SHANK3 Gene","Pervasive Development Disorder","30"
"C9orf72 Gene","Motor Neuron Disease","29"
"CALD1 wt Allele","Coronary Artery Disease","29"
"PSEN1 gene","Familial Alzheimer Disease (FAD)","29"
"SCG2 Gene","Parkinson Disease","29"
"HCRT Gene","Functional disorder","29"
"Long Interspersed Element","Neurodegenerative Disorders","29"
"FMR1 gene","Syndrome","29"
"Genes","Major Depressive Disorder","29"
"CAD Gene","Coronary Artery Disease","29"
"Retinoic Acid Response Element","Pervasive Development Disorder","29"
"PITX2 wt Allele","cortex bone disorders","29"
"C9orf72 Gene","Feline urological syndrome","29"
"APP gene","Disease Progression","28"
"Heterozygote","Pervasive Development Disorder","28"
"CREBBP wt Allele","Rett Syndrome","28"
"CREBBP wt Allele","Rothmund-Thomson syndrome","28"
"RECQL4 wt Allele","Rothmund-Thomson syndrome","28"
"MTA2 Gene","Pelvic Inflammatory Disease","28"
"RECQL4 wt Allele","Rett Syndrome","28"
"MTA2 wt Allele","Pelvic Inflammatory Disease","28"
"GH1 Gene","Pituitary Diseases","28"
"MECP2 wt Allele","Neurodevelopmental disorder","28"
"CNR1 gene","Depressive disorder","28"
"GFAP gene","Spinal Cord Diseases","28"
"GGH wt Allele","Pituitary Diseases","28"
"ANG Gene","Macrophage Activation Syndrome","27"
"Retinoic Acid Response Element","Autism Spectrum Disorders","27"
"Genes","Kallmann Syndrome","27"
"ANG Gene","McCune-Albright Syndrome","27"
"Long Interspersed Element","Neurotoxicity Syndromes","27"
"BDNF Gene","Functional disorder","27"
"TH gene","Neurotoxicity Syndromes","27"
"ANG Gene","Meconium Aspiration Syndrome","27"
"Genes","Motor Neuron Disease","27"
"Genes","Attention deficit hyperactivity disorder","27"
"PRNP wt Allele","Communicable Diseases","27"
"Long Interspersed Element","Disease Progression","27"
"GDNF Gene","Parkinson Disease","27"
"PRNP wt Allele","Neurodegenerative Disorders","26"
"SOD1 wt Allele","Disease Progression","26"
"BDNF Gene","Neurotoxicity Syndromes","26"
"PRNP gene","Creutzfeldt-Jakob disease","26"
"TARDBP wt Allele","Alzheimer's Disease","26"
"FBN1 wt Allele","Schinzel-Giedion syndrome","26"
"SET Gene","Alzheimer's Disease","26"
"FASLG Gene","Fetal Alcohol Syndrome","26"
"TNF Gene","Spinal Cord Diseases","26"
"SOD1 wt Allele","Papillon-Lefevre Disease","26"
"SH3PXD2A wt Allele","DISORDERS OF THE OPTIC NERVE","26"
"HTT gene","cortex bone disorders","26"
"AVP Gene","Pituitary Diseases","26"
"Wild Type","Huntington Disease","26"
"Genome","Alzheimer's Disease","25"
"Promoter","cortex bone disorders","25"
"Genes","Pituitary Diseases","25"
"NGF Gene","cortex bone disorders","25"
"ABCB6 wt Allele","Communicable Diseases","25"
"SOD1 wt Allele","Motor Neuron Disease","25"
"PROC wt Allele","cortex bone disorders","25"
"INS gene","Liver diseases","25"
"Wild Type","Disease Progression","25"
"MAPT wt Allele","Down Syndrome","25"
"MAPT wt Allele","Retinal Diseases","25"
"SOD1 wt Allele","Functional disorder","24"
"SNCA gene","Shy-Drager Syndrome","24"
"CRH Gene","Depressive disorder","24"
"Genes","Lysosomal Storage Diseases","24"
"SH3PXD2A wt Allele","Pituitary Diseases","24"
"SYP Gene","Alzheimer's Disease","24"
"TH gene","Spinal Cord Diseases","24"
"NOS2 Gene","Van der Woude syndrome","24"
"SST Gene","Alzheimer's Disease","24"
"INS gene","Pancreatic Diseases","24"
"GYPA wt Allele","Spinal Cord Diseases","24"
"Long Interspersed Element","Retinal Diseases","23"
"SOD1 wt Allele","Alzheimer's Disease","23"
"LRRK2 gene","Functional disorder","23"
"NPY Gene","cortex bone disorders","23"
"Genes","Williams Syndrome","23"
"S100A10 wt Allele","Depressive disorder","23"
"PITX2 wt Allele","Syndrome, Bloch-Sulzberger","23"
"MECP2 gene","Disorder nervous system","23"
"FUS Gene","Neurodegenerative Disorders","23"
"PSEN1 gene","Functional disorder","23"
"RPL5 wt Allele","cortex bone disorders","23"
"SYP Gene","cortex bone disorders","23"
"ABCB6 wt Allele","Neurodegenerative Disorders","23"
"S100A10 Gene","Depressive disorder","23"
"NOS2 wt Allele","Van der Woude syndrome","23"
"FAM49B wt Allele","Spinal Cord Diseases","23"
"Long Interspersed Element","Spinal Cord Diseases","23"
"MAP Kinase Gene","Neurotoxicity Syndromes","23"
"Exons","Neurodegenerative Disorders","23"
"GRN Gene","Neurodegenerative Disorders","23"
"TLR4 Gene","Van der Woude syndrome","23"
"TH gene","Pituitary Diseases","22"
"Tumor Necrosis Factor-alpha","Functional disorder","22"
"OXT Gene","Pituitary Diseases","22"
"INS gene","Neurodegenerative Disorders","22"
"PARK2 gene","Functional disorder","22"
"Genes","Niemann-Pick Disease, Type C","22"
"SET Gene","Pervasive Development Disorder","22"
"GRIN2B wt Allele","Depressive disorder","22"
"PTEN gene","Pervasive Development Disorder","22"
"CNTNAP2 Gene","Pervasive Development Disorder","22"
"APOE*4 Allele","Alzheimer's Disease","22"
"PROC Gene","cortex bone disorders","22"
"PODXL wt Allele","cortex bone disorders","22"
"RPL5 wt Allele","Spinal Cord Diseases","22"
"TARDBP wt Allele","Motor Neuron Disease","22"
"Genome","Functional disorder","22"
"SIRT1 Gene","Depressive disorder","22"
"Tumor Necrosis Factor-alpha","Alzheimer's Disease","22"
"PODXL Gene","cortex bone disorders","22"
"KRT17 wt Allele","cortex bone disorders","22"
"SST Gene","Sweet Syndrome","22"
"ATP8A2 wt Allele","cortex bone disorders","22"
"ELL wt Allele","Parkinson Disease","21"
"CRH Gene","Skin endocrine disorder","21"
"Genes","Dystonia Disorders","21"
"PITX2 wt Allele","Spinal Cord Diseases","21"
"CHD8 Gene","Pervasive Development Disorder","21"
"HTT gene","Hereditary Diseases","21"
"Retinoic Acid Response Element","Lysosomal Storage Diseases","21"
"FASLG wt Allele","Fetal Alcohol Syndrome","21"
"Genes","Familial Alzheimer Disease (FAD)","21"
"RCAN1 Gene","Down Syndrome","21"
"Wild Type","Van der Woude syndrome","21"
"HCRT Gene","Narcolepsy-Cataplexy Syndrome","21"
"FMR1 gene","Ataxia as late effect of cerebrovascular disease","21"
"HTT gene","Neurotoxicity Syndromes","21"
"CHAT Gene","Spinal Cord Diseases","21"
"MAPT wt Allele","Syndrome","21"
"EPM2A gene","Lafora Disease","21"
"NTRK2 Gene","Alzheimer's Disease","21"
"PRNP gene","Creutzfeldt-Jakob Disease, Sporadic","21"
"PRNP wt Allele","Creutzfeldt-Jakob Disease, Sporadic","21"
"SLC6A4 gene","Depressive disorder","21"
"Retinoic Acid Response Element","Functional disorder","20"
"Wild Type","Rett Syndrome","20"
"GYPA Gene","Neurotoxicity Syndromes","20"
"SOD1 wt Allele","Parkinson Disease","20"
"GYPA wt Allele","Neurotoxicity Syndromes","20"
"LEP Gene","Functional disorder","20"
"TYMS Gene","Down Syndrome","20"
"TH gene","Retinal Diseases","20"
"PRNP gene","Neurotoxicity Syndromes","20"
"MAPT gene","Parkinsonian Disorders","20"
"FST wt Allele","cortex bone disorders","20"
"TGFB1 wt Allele","Camurati-Engelmann Syndrome","20"
"SHANK3 Gene","Autistic Disorder","20"
"APP gene","Neurotoxicity Syndromes","20"
"TPO wt Allele","Parkinson Disease","20"
"Genes","Prader-Willi Syndrome","20"
"TYMS wt Allele","Down Syndrome","20"
"NES Gene","cortex bone disorders","20"
"TLR4 wt Allele","Van der Woude syndrome","20"
"CA9 Gene","Neurotoxicity Syndromes","20"
"Genes, X-Linked","Rett Syndrome","20"
"BIN1 Gene","Alzheimer's Disease","20"
"Genome","Pervasive Development Disorder","20"
"HTT wt Allele","Alzheimer's Disease","20"
"Retinoic Acid Response Element","Parkinsonian Disorders","20"
"SQSTM1 Gene","cortex bone disorders","20"
"Wild Type","Fragile X Syndrome","19"
"ROS1 wt Allele","Neurotoxicity Syndromes","19"
"NTRK2 Gene","Spinal Cord Diseases","19"
"TPO wt Allele","Lewy Body Disease","19"
"ABCB6 wt Allele","Creutzfeldt-Jakob Disease, Sporadic","19"
"Alleles","Angelman Syndrome","19"
"MTR Gene","cortex bone disorders","19"
"LEP Gene","Alzheimer's Disease","19"
"ELK3 wt Allele","cortex bone disorders","19"
"SET Gene","Spinal Cord Diseases","19"
"CTSD Gene","Alzheimer's Disease","19"
"TNF Gene","Alzheimer's Disease","19"
"EPHB1 Gene","cortex bone disorders","19"
"ROS1 Gene","Neurotoxicity Syndromes","19"
"ELK3 Gene","cortex bone disorders","19"
"ATP8A2 wt Allele","Depressive disorder","19"
"SLC6A4 wt Allele","Depressive disorder","19"
"MTR wt Allele","cortex bone disorders","19"
"MECP2 gene","Functional disorder","19"
"FUS Gene","Functional disorder","19"
"PINK1 gene","Functional disorder","19"
"MECP2 gene","Pervasive Development Disorder","19"
"HTT gene","Movement Disorders","19"
"Promoter","Spinal Cord Diseases","19"
"TH gene","Renal glomerular disease","18"
"APP gene","Down Syndrome","18"
"LITAF gene","Retinal Diseases","18"
"TNF Gene","Functional disorder","18"
"DNA, Mitochondrial","Parkinson Disease","18"
"Chromosomes, Human, Pair 17","Parkinsonian Disorders","18"
"HTT gene","Depressive disorder","18"
"PTEN gene","Parkinson Disease","18"
"Trinucleotide Repeats","Huntington Disease","18"
"Genome","Neurodegenerative Disorders","18"
"PRNP gene","Gerstmann-Straussler-Scheinker Disease","18"
"Genes","Machado-Joseph Disease","18"
"UBE4B wt Allele","Alzheimer's Disease","18"
"ELL wt Allele","Alzheimer's Disease","18"
"Heterozygote","Parkinson Disease","18"
"Genes, Immediate-Early","cortex bone disorders","18"
"RANGAP1 wt Allele","Alzheimer's Disease","18"
"Heterozygote","Autism Spectrum Disorders","18"
"CLU Gene","Alzheimer's Disease","18"
"SHANK3 Gene","22q13.3 Deletion Syndrome","18"
"SH3PXD2A wt Allele","Disorder of pineal gland","18"
"HTT gene","neuropathology disease","18"
"KHDRBS1 wt Allele","cortex bone disorders","17"
"GBA wt Allele","Parkinson Disease","17"
"HPR wt Allele","Hamartoma Syndrome, Multiple","17"
"HTT wt Allele","Neurodegenerative Disorders","17"
"PSEN1 gene","Disease Progression","17"
"HCRT Gene","Hypertensive disease","17"
"SQSTM1 wt Allele","cortex bone disorders","17"
"RELN Gene","Alzheimer's Disease","17"
"PRNP wt Allele","Neurotoxicity Syndromes","17"
"Retinoic Acid Response Element","Motor Neuron Disease","17"
"HP Gene","Neurotoxicity Syndromes","17"
"CSPG4 Gene","Spinal Cord Diseases","17"
"CREB1 Gene","Depressive disorder","17"
"FBN1 wt Allele","cortex bone disorders","17"
"Haploinsufficiency","Pervasive Development Disorder","17"
"TM4SF1 wt Allele","Spinal Cord Diseases","17"
"GFAP gene","Retinal Diseases","17"
"HP wt Allele","Neurotoxicity Syndromes","17"
"BACE1 wt Allele","Alzheimer's Disease","17"
"Genes","Gilles de la Tourette syndrome","17"
"MTOR Gene","cortex bone disorders","17"
"MECP2 gene","Autism Spectrum Disorders","17"
"SOD1 wt Allele","Parkinsonian Disorders","17"
"C9orf72 Gene","Neurodegenerative Disorders","17"
"SQSTM1 Gene","Alzheimer's Disease","17"
"DNA, Mitochondrial","Mitochondrial Diseases","17"
"FANCA wt Allele","Alzheimer's Disease","17"
"CSPG4 wt Allele","Spinal Cord Diseases","17"
"HEXB gene","Sandhoff Disease","17"
"HP Gene","Hamartoma Syndrome, Multiple","17"
"BDNF Gene","Parkinson Disease","17"
"BDNF Gene","Retinal Diseases","17"
"DLC1 wt Allele","Hamartoma Syndrome, Multiple","17"
"CREB1 wt Allele","Depressive disorder","17"
"MYH9 wt Allele","Fechtner syndrome (disorder)","17"
"GRN Gene","Functional disorder","17"
"ABCB6 wt Allele","Neurotoxicity Syndromes","17"
"GRIN2B wt Allele","Functional disorder","17"
"LITAF gene","Alzheimer's Disease","17"
"FMR1 gene","Autistic Disorder","17"
"Wild Type","Retinal Diseases","17"
"TH gene","Functional disorder","17"
"Exons","Alzheimer's Disease","16"
"SET Gene","Parkinson Disease","16"
"MAP Kinase Gene","Alzheimer's Disease","16"
"Retinoic Acid Response Element","Parkinson Disease","16"
"ELANE wt Allele","cortex bone disorders","16"
"HSPG2 wt Allele","Syndrome, Bloch-Sulzberger","16"
"C3 Gene","Alzheimer's Disease","16"
"FUS Gene","Spinal Cord Diseases","16"
"MAPT wt Allele","Disorder nervous system","16"
"GRIN2B wt Allele","cortex bone disorders","16"
"MTOR Gene","Functional disorder","16"
"Cancer-Predisposing Gene","Disorders, Mental","16"
"KISS1 Gene","Polycystic Ovary Syndrome","16"
"VIP wt Allele","cortex bone disorders","16"
"AGER Gene","Alzheimer's Disease","16"
"TARDBP wt Allele","Neurotoxicity Syndromes","16"
"NFIC Gene","Alzheimer's Disease","16"
"Heterozygote","Syndrome","16"
"NFIC wt Allele","Alzheimer's Disease","16"
"MAPT wt Allele","Feline urological syndrome","16"
"CDK5R1 wt Allele","Neurodegenerative Disorders","16"
"HSPG2 Gene","Syndrome, Bloch-Sulzberger","16"
"Genome","Parkinson Disease","16"
"Retinoic Acid Response Element","Shy-Drager Syndrome","16"
"VIP Gene","cortex bone disorders","16"
"Wild Type","Feline urological syndrome","16"
"ATP8A2 wt Allele","Neurotoxicity Syndromes","16"
"PLP1 gene","Pelizaeus-Merzbacher Disease","16"
"RASA1 Gene","Spinal Cord Diseases","16"
"PTEN gene","Autism Spectrum Disorders","16"
"CNTNAP2 Gene","Autism Spectrum Disorders","16"
"CDKL5 gene","Neurodevelopmental disorder","16"
"PARK2 gene","Neurotoxicity Syndromes","16"
"SQSTM1 wt Allele","Alzheimer's Disease","16"
"TH gene","Parkinsonian Disorders","16"
"Heterozygote","cortex bone disorders","16"
"Transgenes","cortex bone disorders","16"
"GHRH Gene","Pituitary Diseases","16"
"CALCA Gene","Spinal Cord Diseases","16"
"F3 Gene","cortex bone disorders","16"
"EEF1A2 wt Allele","Parkinson Disease","15"
"MTOR Gene","Autism Spectrum Disorders","15"
"PBX1 wt Allele","Pituitary Diseases","15"
"RASA1 Gene","cortex bone disorders","15"
"NTRK2 Gene","Functional disorder","15"
"Alleles","Neurodevelopmental disorder","15"
"TP53 gene","Neurotoxicity Syndromes","15"
"NGFR Gene","Spinal Cord Diseases","15"
"RANGAP1 wt Allele","Depressive disorder","15"
"PSEN1 wt Allele","Disease Progression","15"
"YY1 wt Allele","cortex bone disorders","15"
"FAM49B wt Allele","cortex bone disorders","15"
"RASA1 wt Allele","Spinal Cord Diseases","15"
"BECN1 Gene","cortex bone disorders","15"
"OXT Gene","Autistic Disorder","15"
"MAPT wt Allele","Mohr-Tranebjaerg syndrome","15"
"SET Gene","Retinal Diseases","15"
"MSN Gene","Depressive disorder","15"
"NR4A3 wt Allele","cortex bone disorders","15"
"SIRT1 Gene","Neurodegenerative Disorders","15"
"NR4A3 Gene","cortex bone disorders","15"
"DMD gene","Alzheimer's Disease","15"
"Genome","Brain Diseases","15"
"TTN wt Allele","Temporomandibular Joint Disorders","15"
"MECP2 gene","Autistic Disorder","15"
"MTOR Gene","Alzheimer's Disease","15"
"TP53 wt Allele","Neurotoxicity Syndromes","15"
"LITAF gene","Depressive disorder","15"
"RASA1 wt Allele","cortex bone disorders","15"
"Haploinsufficiency","Syndrome","15"
"FMR1 gene","Neurodegenerative Disorders","15"
"Genes","Cognition Disorders","15"
"DCX gene","cortex bone disorders","15"
"ATP8A2 wt Allele","Parkinson Disease","15"
"CD69 wt Allele","Syndrome","15"
"MME Gene","Alzheimer's Disease","15"
"ROS1 wt Allele","Alzheimer's Disease","15"
