"brainregion","gene","count"
"Structure of habenulopeduncular tract","REG3A wt Allele","91"
"Structure of habenulopeduncular tract","RPL29 wt Allele","91"
"Structure of habenulopeduncular tract","RPL29 Gene","91"
"Structure of nucleus infundibularis hypothalami","c-fos Genes","90"
"Genus Hippocampus","GRIN2B wt Allele","90"
"Subfascicular nucleus","HGF wt Allele","89"
"Cerebral cortex","ATP8A2 wt Allele","89"
"Prefrontal Cortex","c-fos Genes","89"
"Lamina Terminalis","Tumor Necrosis Factor-Beta","89"
"Preoptic Areas","KISS1 Gene","89"
"Lamina Terminalis","LTA wt Allele","89"
"Subfascicular nucleus","KITLG Gene","89"
"BRAIN, HIPPOCAMPUS","RELN Gene","89"
"Subfascicular nucleus","KITLG wt Allele","89"
"Subfascicular nucleus","HGF Gene","89"
"BRAIN, HIPPOCAMPUS","DLG4 Gene","88"
"Structure of nucleus infundibularis hypothalami","GNRH1 Gene","88"
"Genus Hippocampus","DCX gene","88"
"BRAIN, HIPPOCAMPUS","CNR1 gene","87"
"BRAIN, HIPPOCAMPUS","SET Gene","86"
"Structure of dorsomedial hypothalamic nucleus","DST Gene","86"
"Neostriatum","CHAT Gene","86"
"Structure of dorsomedial hypothalamic nucleus","DST wt Allele","86"
"BRAIN, HIPPOCAMPUS","BACE1 Gene","84"
"Medulla Oblongata","c-fos Genes","84"
"CA1 field","c-fos Genes","84"
"Cerebral cortex","GFAP gene","84"
"Structure of nucleus infundibularis hypothalami","GNRH1 wt Allele","84"
"Genus Hippocampus","SYP Gene","84"
"Hypothalamic structure","NPY Gene","84"
"Brain Stem","c-fos Genes","83"
"BRAIN, HIPPOCAMPUS","Heterozygote","83"
"Cerebral cortex","HTT gene","83"
"Pyramidal Cells","Genes","83"
"Cerebral cortex","Tumor Necrosis Factor-alpha","82"
"Hypothalamic structure","GHRL Gene","81"
"Cerebral cortex","APP gene","81"
"Pyramidal Cells","FST wt Allele","80"
"Corpus striatum structure","CHAT Gene","80"
"BRAIN, HIPPOCAMPUS","NR3C1 Gene","80"
"Structure of paraventricular nucleus of thalamus","SST wt Allele","79"
"Genus Hippocampus","NTRK2 Gene","79"
"Anterodorsal nucleus of thalamus","Genes","79"
"Substantia nigra structure","Wild Type","79"
"Thalamic structure","Genes","79"
"Genus Hippocampus","Long Interspersed Element","78"
"Genus Hippocampus","CREB1 wt Allele","78"
"BRAIN, HIPPOCAMPUS","Genome","78"
"Genus Hippocampus","CREB1 Gene","78"
"BRAIN, HIPPOCAMPUS","estrogen receptor alpha, human","77"
"Midbrain structure","Genes","77"
"BRAIN, HIPPOCAMPUS","GRIN2A Gene","77"
"central amygdalar nucleus","c-fos Genes","77"
"Structure of supraoptic nucleus","OXT Gene","77"
"Brain Stem","CAT Gene","76"
"Nucleus solitarius","TH gene","76"
"BRAIN, HIPPOCAMPUS","IRF6 wt Allele","76"
"BRAIN, HIPPOCAMPUS","ESR1 Gene","76"
"Brain Stem","Chloramphenicol Acetyl Transferase Gene","76"
"Brain Stem","Chloramphenicol O-Acetyltransferase","76"
"Structure of locus ceruleus","HCRT Gene","76"
"Genus Hippocampus","FASTK Gene","75"
"central amygdalar nucleus","CRH Gene","74"
"Pituitary Gland, Posterior","OXT Gene","74"
"Cerebral cortex","SILV wt Allele","74"
"BRAIN, HIPPOCAMPUS","SIRT1 Gene","74"
"Pituitary Gland","CRH Gene","74"
"Hypothalamic Area, Lateral","KISS1 Gene","73"
"Genus Hippocampus","NGF Gene","73"
"BRAIN, HIPPOCAMPUS","Genes, Immediate-Early","73"
"Cerebral cortex","MTOR Gene","73"
"BRAIN, HIPPOCAMPUS","RANGAP1 wt Allele","73"
"Structure of suprachiasmatic nucleus","NF2 gene","73"
"Structure of nucleus infundibularis hypothalami","NPY wt Allele","73"
"Structure of suprachiasmatic nucleus","NF2 wt Allele","73"
"Cerebellum","LITAF gene","73"
"BRAIN, HIPPOCAMPUS","Genotype","73"
"Cerebral cortex","GRIN2B wt Allele","72"
"Medulla Oblongata","AKT1S1 wt Allele","72"
"Structure of superior temporal sulcus","STS gene","72"
"Cerebral cortex","NGF Gene","72"
"Structure of superior temporal sulcus","Sequence Tagged Sites","72"
"BRAIN, HIPPOCAMPUS","GHRL Gene","72"
"Genus Hippocampus","MTOR Gene","71"
"Genus Hippocampus","INS gene","71"
"Ventral Tegmental Area","c-fos Genes","70"
"BRAIN, HIPPOCAMPUS","NDOR1 wt Allele","70"
"Cerebral hemisphere structure (body structure)","CD69 wt Allele","70"
"BRAIN, HIPPOCAMPUS","NDOR1 Gene","70"
"Medulla Oblongata","Chloramphenicol Acetyl Transferase Gene","69"
"Medulla Oblongata","Chloramphenicol O-Acetyltransferase","69"
"Structure of inferior brachium of corpora quadrigemina","MIR155 Gene","69"
"Brain Stem","MAPT wt Allele","69"
"Diagonal Band of Broca","CHAT Gene","69"
"BRAIN, HIPPOCAMPUS","SQSTM1 wt Allele","69"
"Medulla Oblongata","CAT Gene","69"
"CA2 field","FASTK Gene","69"
"Cortex, Primary Motor","AKR1A1 wt Allele","68"
"Cerebellum","CAT Gene","68"
"CA1 field","MAPT wt Allele","68"
"Lateral geniculate complex","Chloramphenicol O-Acetyltransferase","68"
"Hypothalamic Area, Lateral","c-fos Genes","68"
"CA3 field","Wild Type","68"
"Lateral geniculate complex","CAT Gene","68"
"Lateral geniculate complex","Chloramphenicol Acetyl Transferase Gene","68"
"CA1 field","Genes","68"
"BRAIN, HIPPOCAMPUS","NR3C2 Gene","67"
"Structure of paraventricular nucleus of thalamus","FASTK Gene","67"
"Cerebral cortex","TNF Gene","67"
"Brain Stem","TH gene","67"
"Temporal Lobe","MAPT wt Allele","66"
"Structure of locus ceruleus","c-fos Genes","66"
"Cerebellum","Long Interspersed Element","66"
"Structure of nucleus infundibularis hypothalami","TH gene","66"
"Structure of rubrospinal tract","FST wt Allele","66"
"Structure of locus ceruleus","MTR Gene","66"
"Structure of locus ceruleus","MTR wt Allele","66"
"Structure of angular gyrus","CNR1 gene","66"
"BRAIN, HIPPOCAMPUS","NLRP3 Gene","66"
"Cerebral cortex","YY1 wt Allele","66"
"BRAIN, HIPPOCAMPUS","CAT Gene","65"
"BRAIN, HIPPOCAMPUS","SOD1 wt Allele","65"
"Anteroventral Periventricular Nucleus","KISS1 Gene","65"
"Neocortex","Genes","65"
"Anterodorsal nucleus of thalamus","PSEN1 gene","65"
"Cerebral cortex","NTRK2 Gene","64"
"Structure of dentate gyrus","DCX gene","64"
"Cerebral cortex","Promoter","64"
"Cerebellum","Chloramphenicol O-Acetyltransferase","63"
"Neostriatum","SLC6A3 Gene","63"
"Corpus striatum structure","SLC6A3 Gene","63"
"Hypothalamic structure","Estrogen Receptors","63"
"Cerebellum","Chloramphenicol Acetyl Transferase Gene","63"
"BRAIN, HIPPOCAMPUS","TH gene","63"
"BRAIN, HIPPOCAMPUS","TP53 gene","63"
"Nucleus Accumbens","TH gene","63"
"Cerebral hemisphere structure (body structure)","Genes","63"
"BRAIN, HIPPOCAMPUS","TP53 wt Allele","62"
"CA2 field","BAG3 wt Allele","62"
"CA1 field","ENG wt Allele","62"
"BRAIN, HIPPOCAMPUS","TNFRSF1B wt Allele","62"
"Amygdaloid structure","Genes","62"
"BRAIN, HIPPOCAMPUS","MRC1 Gene","62"
"Substantia nigra structure","Genes","62"
"Bundle, Predorsal","Genes","61"
"BRAIN, HIPPOCAMPUS","CUX1 wt Allele","61"
"BRAIN, HIPPOCAMPUS","PRNP gene","60"
"BRAIN, HIPPOCAMPUS","TARDBP wt Allele","60"
"Cerebellum","CD69 wt Allele","60"
"Genus Hippocampus","GRIN2B Gene","60"
"Structure of superior parietal lobule","SGPL1 Gene","60"
"Structure of superior parietal lobule","SGPL1 wt Allele","60"
"Pyramidal Cells","CAT Gene","60"
"BRAIN, HIPPOCAMPUS","LITAF gene","59"
"Neostriatum","BDNF Gene","59"
"Pituitary Gland","PRL Gene","59"
"BRAIN, HIPPOCAMPUS","PSIP1 Gene","59"
"Pyramidal Cells","PDZK1 wt Allele","59"
"Genus Hippocampus","MAPK3 Gene","59"
"Thalamic structure","Wild Type","59"
"Structure of rubrospinal tract","FASTK Gene","59"
"Corpus striatum structure","BDNF Gene","59"
"Genus Hippocampus","MAP Kinase Gene","59"
"Pyramidal Cells","PDZK1 Gene","59"
"Entire medulla oblongata","TH gene","58"
"Entire medulla oblongata","AKT1S1 wt Allele","58"
"Pyramidal Cells","PITX2 wt Allele","58"
"BRAIN, HIPPOCAMPUS","MECP2 gene","58"
"Anterodorsal nucleus of thalamus","APOE gene","58"
"BRAIN, HIPPOCAMPUS","CDKN2A wt Allele","58"
"Pituitary Gland","PLOD1 gene","58"
"Genus Hippocampus","MAPK3 wt Allele","58"
"Motor Cortex","Chloramphenicol O-Acetyltransferase","57"
"Pyramidal Cells","Chloramphenicol O-Acetyltransferase","57"
"Motor Cortex","Chloramphenicol Acetyl Transferase Gene","57"
"Structure of suprachiasmatic nucleus","AVP Gene","57"
"Medulla Oblongata","ENG wt Allele","57"
"Pyramidal Cells","Chloramphenicol Acetyl Transferase Gene","57"
"Structure of nucleus gracilis","MRC1 Gene","57"
"BRAIN, HIPPOCAMPUS","MECP2 wt Allele","57"
"Structure of nucleus gracilis","NR3C2 Gene","57"
"Motor Cortex","CAT Gene","57"
"BRAIN, HIPPOCAMPUS","MAP3K14 wt Allele","57"
"Median eminence of hypothalamus","AKT1S1 wt Allele","57"
"Central insular sulcus","Regulatory Sequences, Nucleic Acid","57"
"Structure of paraventricular nucleus","CRH Gene","56"
"BRAIN, HIPPOCAMPUS","TLR4 Gene","56"
"Cortex, Primary Motor","Chloramphenicol Acetyl Transferase Gene","56"
"Cortex, Primary Motor","CAT Gene","56"
"Cortex, Primary Motor","Chloramphenicol O-Acetyltransferase","56"
"Dorsal Nucleus Raphe","c-fos Genes","56"
"Cerebral cortex","MAPK3 Gene","56"
"Ventral Tegmental Area","Wild Type","56"
"Cerebral cortex","PITX2 wt Allele","56"
"Hypothalamic structure","AVP Gene","56"
"BRAIN, HIPPOCAMPUS","HCRT Gene","55"
"Neostriatum","SST Gene","55"
"Medial Dorsal Nucleus","FANCA wt Allele","55"
"Basal Ganglia","HTT gene","55"
"Amygdaloid structure","KISS1 Gene","55"
"Corpus striatum structure","FASTK Gene","55"
"Prefrontal Cortex","HOXA10 wt Allele","55"
"BRAIN, HIPPOCAMPUS","MAPK8 wt Allele","55"
"Substantia nigra structure","MPZ gene","54"
"Cerebellum","SHH Gene","54"
"Hypothalamic structure","estrogen receptor alpha, human","54"
"CA3 field","FASTK Gene","54"
"Nucleus solitarius","LEP Gene","54"
"Hypothalamic structure","SST Gene","54"
"Cerebral cortex","INS gene","54"
"Cerebral cortex","TH gene","54"
"Cerebral cortex","MAPK3 wt Allele","54"
"Cerebral cortex","FAM49B wt Allele","54"
"Cerebral cortex","FST wt Allele","53"
"Cerebral cortex","Heterozygote","53"
"BRAIN, HIPPOCAMPUS","GRM5 wt Allele","53"
"BRAIN, HIPPOCAMPUS","KHDRBS1 wt Allele","53"
"Median eminence of hypothalamus","PRL Gene","53"
"Structure of nucleus infundibularis hypothalami","INS gene","53"
"Linear nucleus","NPY Gene","53"
"Midbrain structure","Wild Type","53"
"Corpus striatum structure","SST Gene","53"
"Linear nucleus","NPY wt Allele","53"
"Neostriatum","MPZ gene","53"
"Cerebral cortex","RASA1 wt Allele","52"
"Cerebral cortex","CR2 wt Allele","52"
"BRAIN, HIPPOCAMPUS","IL6 Gene","52"
"Thalamic structure","c-fos Genes","52"
"Prefrontal Cortex","Wild Type","52"
"BRAIN, HIPPOCAMPUS","SQSTM1 Gene","52"
"Neostriatum","FASTK Gene","52"
"CA1 field","GFAP gene","52"
"BRAIN, HIPPOCAMPUS","JUN Gene","52"
"CA1 field","SST Gene","51"
"Thalamic structure","SLC6A3 Gene","51"
"Prosencephalon","c-fos Genes","51"
"Retro-olivary cell group","CALR wt Allele","51"
"BRAIN, HIPPOCAMPUS","PDZK1 wt Allele","51"
"BRAIN, HIPPOCAMPUS","PDZK1 Gene","51"
"Cerebral cortex","RASA1 Gene","51"
"Genus Hippocampus","PIK3CA wt Allele","51"
"Brain Stem","CD69 wt Allele","51"
"BRAIN, HIPPOCAMPUS","ESR1 wt Allele","51"
"Corpus striatum structure","MPZ gene","51"
"Retro-olivary cell group","CALR Gene","51"
"Hypothalamic structure","PLOD1 gene","50"
"Internal arcuate tract","ATP8A2 wt Allele","50"
"Central gray substance of midbrain","c-fos Genes","50"
"Cerebral cortex","MAP Kinase Gene","50"
"BRAIN, HIPPOCAMPUS","HTR1A wt Allele","50"
"Brain Stem","Genes","50"
"Prefrontal Cortex","FASTK Gene","50"
"Medulla Oblongata","AGT Gene","50"
"Dorsal Nucleus Raphe","HTR1A wt Allele","50"
"BRAIN, HIPPOCAMPUS","ROS1 Gene","50"
"Cerebral hemisphere structure (body structure)","MAPT wt Allele","50"
"BRAIN, HIPPOCAMPUS","ROS1 wt Allele","50"
"Cerebral cortex","ELK3 Gene","50"
"Cerebral cortex","ELK3 wt Allele","50"
"Anterodorsal nucleus of thalamus","PSEN1 wt Allele","50"
"CA1 field","CD69 wt Allele","50"
"Motor Cortex","AKR1A1 wt Allele","50"
"Genus Hippocampus","PITX2 wt Allele","50"
