"mental","disease","count"
"Autistic Disorder","Functional disorder","110"
"Comprehension","Disease Progression","109"
"Unipolar Depression","Bipolar Disorder","106"
"Fetal Alcohol Syndrome","Fetal Alcohol Spectrum Disorders","104"
"Social Role","Autism Spectrum Disorders","104"
"Tremor","Ataxia as late effect of cerebrovascular disease","104"
"Like","Autistic Disorder","103"
"Seizures","Functional disorder","103"
"Involvement with","Disease Progression","103"
"Social Role","Pervasive Development Disorder","102"
"Vision","Retinal Diseases","102"
"Social Role","Sensitization (disorder)","102"
"Insight","Disorder nervous system","102"
"Pain","Sensitization (disorder)","102"
"Autistic Disorder","Fragile X Syndrome","102"
"Anxiety","Disorders, Mental","99"
"Involvement with","Neurotoxicity Syndromes","98"
"Factors, Risk","Parkinson Disease","97"
"Communication Response","Pituitary Diseases","97"
"Panic Disorder","Panic Disorder","96"
"Pain","Depressive disorder","96"
"Pain","Migraine Disorders","96"
"Comprehension","Parkinson Disease","95"
"Unipolar Depression","Disorders, Mental","95"
"Communication Response","Sensitization (disorder)","94"
"Social Role","Syndrome","94"
"Unipolar Depression","Functional disorder","94"
"Stress","Stress Disorders, Traumatic","93"
"Emotions","Functional disorder","93"
"Seizures","cortex bone disorders","93"
"Emotions","Depressive disorder","93"
"Stress","Neurodegenerative Disorders","93"
"Pain","Functional disorder","93"
"Involvement with","Depressive disorder","92"
"Communication Response","Neurodegenerative Disorders","91"
"Mood Disorders","Depressive disorder","90"
"Learning","Alzheimer's Disease","90"
"Communication Response","Neurotoxicity Syndromes","89"
"Communication Response","Parkinson Disease","89"
"Involvement with","Disorder nervous system","88"
"Play","Functional disorder","87"
"Like","Retinal Diseases","87"
"DEPRESSION MENTAL","Mood Disorders","87"
"Phantom limb syndrome","Phantom limb syndrome","87"
"Reproduction","Pituitary Diseases","86"
"Comprehension","Disorders, Mental","86"
"Like","Syndrome","86"
"Interested","Neurodegenerative Disorders","86"
"Mental concentration","Alzheimer's Disease","85"
"Tremor","Parkinson Disease","85"
"Stress","cortex bone disorders","85"
"Communication Response","Skin endocrine disorder","85"
"Mood Disorders","Functional disorder","84"
"Stress","Mood Disorders","84"
"Cognition","cortex bone disorders","84"
"Ethanol","Fetal Alcohol Spectrum Disorders","84"
"Social Role","CNS disorder","83"
"Experience","cortex bone disorders","83"
"Impaired cognition","Disorders, Mental","83"
"Bradykinesia","Parkinson Disease","82"
"Impaired cognition","Mild cognitive disorder","82"
"Memory Disorders","Memory Disorders","81"
"Performance","cortex bone disorders","81"
"Psychological inhibition","Parkinson Disease","80"
"Availability of","Neurodegenerative Disorders","80"
"Addictive Behavior","Depressive disorder","80"
"smell perception","Renal glomerular disease","80"
"Forgetful","Functional disorder","79"
"Behavior","Syndrome","79"
"Social Role","Recurrent disease","78"
"Mental association","Functional disorder","77"
"Mental association","Parkinson Disease","76"
"Social Role","Mood Disorders","76"
"Play","Alzheimer's Disease","75"
"Psychological inhibition","Disease Progression","75"
"Stress","Major Depressive Disorder","75"
"Insight","Parkinson Disease","75"
"Availability of","Parkinson Disease","75"
"Language Disorders","Language Disorders","74"
"Social Role","Skin endocrine disorder","73"
"Anxiety","Functional disorder","73"
"Learning","cortex bone disorders","73"
"Mental association","Neurodegenerative Disorders","72"
"Autistic Disorder","Disorders, Mental","72"
"Mood","Depressive disorder","72"
"Behavior","Disease Progression","72"
"Stress","Alzheimer's Disease","71"
"Seizures","Disorder nervous system","71"
"Play","Neurodegenerative Disorders","71"
"Behavior","Recurrent disease","70"
"Abnormal behavior","Autistic Disorder","70"
"Like","Pervasive Development Disorder","69"
"Availability of","Alzheimer's Disease","69"
"Behavior","Neurotoxicity Syndromes","69"
"Mental association","cortex bone disorders","68"
"Interested","Alzheimer's Disease","68"
"Drug seeking behavior","Recurrent disease","67"
"Ethanol","cortex bone disorders","67"
"Tremor","Syndrome","67"
"Social Role","Down Syndrome","67"
"Anxiety","Mood Disorders","67"
"Cognition","Depressive disorder","66"
"Fear","Stress Disorders, Traumatic","66"
"Availability of","Disease Progression","66"
"Mental association","Depressive disorder","65"
"Insight","Disorders, Mental","65"
"Cognition","Disorders, Mental","65"
"Fear","cortex bone disorders","65"
"Behavior","Neurodegenerative Disorders","65"
"Behavior","Disorder nervous system","65"
"Social Role","Major Depressive Disorder","65"
"Communication","Autism Spectrum Disorders","64"
"Binge eating disorder","Binge eating disorder","64"
"Impaired cognition","Down Syndrome","64"
"Attention","Alzheimer's Disease","64"
"Availability of","Functional disorder","63"
"Impaired cognition","Neurotoxicity Syndromes","63"
"Psychological suppression","cortex bone disorders","63"
"Comprehension","Depressive disorder","63"
"Insight","Disease Progression","63"
"Insight","Neurotoxicity Syndromes","62"
"Fasting","cortex bone disorders","61"
"Factors, Risk","Functional disorder","61"
"DEPRESSION MENTAL","Anxiety Disorders","61"
"Like","Neurotoxicity Syndromes","61"
"Attention","Functional disorder","61"
"Hyperactive behavior","Functional disorder","61"
"Autistic Disorder","Disorder nervous system","60"
"Ethanol","Functional disorder","60"
"Factors, Risk","Depressive disorder","60"
"Impaired cognition","Disorder nervous system","59"
"Seizures","Disease Progression","59"
"Like","Disorder nervous system","59"
"Unipolar Depression","Depressive disorder","59"
"Stress","Neurotoxicity Syndromes","59"
"Performance","Alzheimer's Disease","59"
"Factors, Risk","Disorders, Mental","58"
"Mental association","Disease Progression","58"
"Like","neuropathology disease","58"
"Conditionings (Psychology)","Hamartoma Syndrome, Multiple","58"
"Behavior","Attention deficit hyperactivity disorder","58"
"Stress","Parkinson Disease","58"
"Stress","Recurrent disease","57"
"Mental concentration","cortex bone disorders","57"
"biological adaptation to stress","Pituitary Diseases","57"
"Psychological inhibition","Neurodegenerative Disorders","57"
"Impaired cognition","Syndrome","57"
"Feedback - system communication","cortex bone disorders","56"
"Memory","Disorder nervous system","56"
"Like","Autism Spectrum Disorders","56"
"DEPRESSION MENTAL","Bipolar Disorder","56"
"Social Role","Liver diseases","55"
"Comprehension","Brain Diseases","55"
"Fasting","Depressive disorder","55"
"Behavior","neuropathology disease","55"
"biological adaptation to stress","Skin endocrine disorder","55"
"Communication Response","Hypertensive disease","55"
"Social Role","Parkinsonian Disorders","54"
"Feedback - evaluative response process","cortex bone disorders","54"
"Amnesia","Neurodegenerative Disorders","54"
"Like","Stress Disorders, Traumatic","53"
"Mental Retardation","Fragile X Syndrome","53"
"Repetitious behavior","Autism Spectrum Disorders","53"
"Mental concentration","Spinal Cord Diseases","53"
"Communication Response","Renal glomerular disease","53"
"taste perception","cortex bone disorders","52"
"Abnormal behavior","Neurodegenerative Disorders","52"
"Seizures","Depressive disorder","52"
"Communication Response","Disorder nervous system","52"
"Paralysed","Spinal Cord Diseases","52"
"Factors, Risk","Hypertensive disease","52"
"Behavior","Neurodevelopmental disorder","51"
"Sets (Psychology)","cortex bone disorders","51"
"DEPRESSION MENTAL","Disorder nervous system","51"
"Ethanol","Recurrent disease","51"
"Behavioral tic","Tic disorder","51"
"Communication Response","DISORDERS OF THE OPTIC NERVE","51"
"Communication","Pervasive Development Disorder","50"
"Comprehension","cortex bone disorders","50"
"Chronic pain","Depressive disorder","50"
"Learning","Functional disorder","50"
"Addictive Behavior","Recurrent disease","50"
"Cognitive information processing","cortex bone disorders","49"
"Projection Defense Mechanism","Parkinson Disease","49"
"Impaired cognition","cortex bone disorders","49"
"Behavior","Parkinsonian Disorders","49"
"Addictive Behavior","Disorders, Mental","49"
"Emotions","Disorders, Mental","49"
"Attention","Neurodegenerative Disorders","49"
"Cocaine","cortex bone disorders","49"
"Projection Defense Mechanism","Alzheimer's Disease","48"
"Factors, Risk","Disease Progression","48"
"Conditionings (Psychology)","cortex bone disorders","48"
"Social Role","Fragile X Syndrome","48"
"Discrimination","cortex bone disorders","48"
"Memory","Disorders, Mental","48"
"Behavior","Mood Disorders","48"
"Learning","Depressive disorder","48"
"Depressed mood","Depressive disorder","48"
"Reproduction","Functional disorder","48"
"Seizures","Ataxia as late effect of cerebrovascular disease","48"
"Memory impairment","Neurodegenerative Disorders","48"
"Hyperactive behavior","Depressive disorder","48"
"smell perception","Parkinson Disease","48"
"Stress","Hypertensive disease","48"
"Like","Disorders, Mental","47"
"Abnormal behavior","Alzheimer's Disease","47"
"Comprehension","Neurotoxicity Syndromes","47"
"Speech Disorders","Speech Disorders","47"
"Sleep","cortex bone disorders","46"
"Mental concentration","Depressive disorder","46"
"Attention","cortex bone disorders","46"
"Involvement with","neuropathology disease","46"
"Play","Disease Progression","46"
"Insight","cortex bone disorders","46"
"Fear","Post-Traumatic Stress Disorder","46"
"Behavior","Huntington Disease","46"
"DEPRESSION MENTAL","Major Depressive Disorder","46"
"Communication Response","Vasodilation disorder","46"
"Insight","Depressive disorder","45"
"Communication Response","Van der Woude syndrome","45"
"Autistic Disorder","Autism Spectrum Disorders","45"
"Interested","Parkinson Disease","44"
"Memory impairment","Depressive disorder","44"
"Abnormal behavior","Parkinson Disease","44"
"Stress","Disease Progression","44"
"Ethanol","Alcohol use disorder","44"
"Autistic Disorder","Pervasive Development Disorder","44"
"Impaired cognition","Huntington Disease","44"
"Stress","Post-Traumatic Stress Disorder","44"
"Hyperactive behavior","Alzheimer's Disease","43"
"Involvement with","Disorders, Mental","43"
"DEPRESSION MENTAL","cortex bone disorders","43"
"Involvement with","Syndrome","43"
"Behavior","Pituitary Diseases","43"
"Repetitious behavior","Pervasive Development Disorder","43"
"Stress","Sensitization (disorder)","42"
"Withdrawal","Recurrent disease","42"
"Autistic Disorder","Attention deficit hyperactivity disorder","42"
"Impulsive Behavior","Attention deficit hyperactivity disorder","42"
"Insight","Brain Diseases","42"
"Like","Psychotic Disorders","42"
"Social Role","Diseases of inner ear","42"
"Social Role","Bipolar Disorder","42"
"Social Role","Anxiety Disorders","42"
"Like","Pituitary Diseases","42"
"Fear","Depressive disorder","41"
"Psychological inhibition","Sensitization (disorder)","41"
"Impaired cognition","neuropathology disease","41"
"Pain","cortex bone disorders","41"
"Interested","Disorder nervous system","41"
"Social Interaction","Autism Spectrum Disorders","41"
"Abnormal behavior","Bipolar Disorder","41"
"Play","Parkinson Disease","41"
"Autistic Disorder","Alzheimer's Disease","40"
"Psychological suppression","Depressive disorder","40"
"Autistic Disorder","Depressive disorder","40"
"Anxiety","Anxiety Disorders","40"
"Feedback - evaluative response process","Pituitary Diseases","40"
"Mental concentration","Pituitary Diseases","40"
"Social Role","Rett Syndrome","40"
"Recognition (Psychology)","cortex bone disorders","40"
"biological adaptation to stress","Depressive disorder","40"
"Chronic pain","Spinal Cord Diseases","40"
"Feedback - system communication","Pituitary Diseases","40"
"DEPRESSION MENTAL","Autistic Disorder","40"
"Addictive Behavior","Functional disorder","39"
"Social Role","Demyelinating Diseases","39"
"Autistic Disorder","Syndrome","39"
"Manic","Bipolar Disorder","39"
"Cognition","Disease Progression","39"
"Gilles de la Tourette syndrome","Syndrome","39"
"Involvement with","Brain Diseases","39"
"Social Role","Niemann-Pick Disease, Type C","39"
"Akinesia","Parkinson Disease","38"
"Mental association","Disorders, Mental","38"
"Communication Response","Disorders, Mental","38"
"Stress","Anxiety Disorders","38"
"Abnormal behavior","Pervasive Development Disorder","38"
"Sleep","Functional disorder","38"
"Mental Retardation","Syndrome","38"
"Fear","Hamartoma Syndrome, Multiple","38"
"Impaired cognition","Autistic Disorder","38"
"Methamphetamine","cortex bone disorders","38"
"Psychological inhibition","Disorder nervous system","38"
"Behavior","Sequela of disorder","38"
"Behavior","Stress Disorders, Traumatic","38"
"Sex Behavior","Depressive disorder","38"
"Abnormal behavior","Autism Spectrum Disorders","38"
"Auditory area","cortex bone disorders","38"
"Hyperactive behavior","Parkinson Disease","37"
"Memory","Neurotoxicity Syndromes","37"
"Impaired cognition","Fragile X Syndrome","37"
"DEPRESSION MENTAL","Neurodegenerative Disorders","37"
"Cognition","Parkinson Disease","37"
"Nociception","Spinal Cord Diseases","37"
"Play","Neurotoxicity Syndromes","37"
"Paralysed","Neurodegenerative Disorders","37"
"Exercise","Depressive disorder","37"
"Behavior","Anxiety Disorders","36"
"Conditionings (Psychology)","Depressive disorder","36"
"DEPRESSION MENTAL","Stress Disorders, Traumatic","36"
"Methamphetamine","Sensitization (disorder)","36"
"smell perception","cortex bone disorders","36"
"Tremor","Neurodegenerative Disorders","36"
"Like","Rett Syndrome","36"
"Communication","Autistic Disorder","36"
"Initiative","Alzheimer's Disease","36"
"Like","Huntington Disease","36"
"Insight","Neurodevelopmental disorder","36"
"Attention","Parkinson Disease","36"
"Memory, Short-Term","cortex bone disorders","36"
"Success","Parkinson Disease","36"
"Behavior","Retinal Diseases","36"
"Interested","Functional disorder","36"
"Impaired cognition","Mood Disorders","36"
"Psychological suppression","Functional disorder","35"
"Social Role","Prion Diseases","35"
"Behavior","Psychotic Disorders","35"
"Ethanol","Depressive disorder","35"
"Performance","Functional disorder","35"
"Abnormal behavior","Attention deficit hyperactivity disorder","35"
"Mental Retardation","Autistic Disorder","35"
"Behavior","Obsessive-Compulsive Disorder","35"
"Addictive Behavior","Parkinson Disease","35"
"Sleep","Depressive disorder","35"
"Fear","Anxiety Disorders","34"
"Projection Defense Mechanism","DISORDERS OF THE OPTIC NERVE","34"
"Like","Parkinsonian Disorders","34"
"Chronic pain","Functional disorder","34"
"Sex Behavior","cortex bone disorders","34"
"Projection Defense Mechanism","Functional disorder","34"
"Reproduction","Skin endocrine disorder","34"
"Abnormal behavior","Major Depressive Disorder","34"
"Perception","cortex bone disorders","34"
"Success","Neurodegenerative Disorders","34"
"Spatial Memory","Alzheimer's Disease","34"
"Impaired cognition","Ataxia as late effect of cerebrovascular disease","33"
"Memory, Short-Term","Functional disorder","33"
"Communication","cortex bone disorders","33"
"Cognition","Mild cognitive disorder","33"
"Seizures","Neurotoxicity Syndromes","33"
"Like","Migraine Disorders","33"
"Mood","Functional disorder","33"
"Comprehension","Syndrome","33"
"smell perception","Neurodegenerative Disorders","33"
"Communication","Neurodevelopmental disorder","33"
"Mood","Anxiety Disorders","33"
"Autistic Disorder","Brain Diseases","33"
"Comprehension","Autism Spectrum Disorders","33"
"Coitus","Depressive disorder","33"
"Play","Disorder nervous system","33"
"Like","Recurrent disease","32"
"Availability of","Depressive disorder","32"
"Anxiety","Stress Disorders, Traumatic","32"
"Stress","Disorder nervous system","32"
"Experience","Depressive disorder","32"
"Mental concentration","Liver diseases","32"
"Social Role","Metabolic Diseases","32"
"Seizures","Syndrome","32"
"Autistic Disorder","Rett Syndrome","32"
"Factors, Risk","Pervasive Development Disorder","32"
"Social Role","Renal glomerular disease","32"
"Manic","Depressive disorder","32"
"Fasting","Functional disorder","32"
"Memory","Brain Diseases","31"
"Behavior","Hamartoma Syndrome, Multiple","31"
"Social Role","Attention deficit hyperactivity disorder","31"
"Sex Behavior","Alzheimer's Disease","31"
"Memory","Mild cognitive disorder","31"
"Psychological inhibition","Autistic Disorder","31"
"Behavior","Motor Neuron Disease","31"
"Involvement with","Pervasive Development Disorder","31"
"Communication","Functional disorder","31"
"Social Role","Degenerative disorder","31"
"Behavior","Post-Traumatic Stress Disorder","31"
"Mental association","Disorder nervous system","31"
"Social Behavior","Pervasive Development Disorder","31"
"Play","Depressive disorder","31"
"Memory","Stress Disorders, Traumatic","31"
"Coitus","Alzheimer's Disease","31"
"Availability of","Disorder nervous system","31"
"Availability of","Neurotoxicity Syndromes","31"
"Comprehension","Spinal Cord Diseases","31"
"Like","Disorder of pineal gland","30"
"Mental concentration","Parkinson Disease","30"
"Involvement with","Autistic Disorder","30"
"Impaired cognition","Neurodevelopmental disorder","30"
"Comprehension","Autistic Disorder","30"
"Mental association","Autistic Disorder","30"
"Sensory Process","cortex bone disorders","30"
"Involvement with","Neurodevelopmental disorder","30"
"Autistic Disorder","Bipolar Disorder","30"
"Mental concentration","Functional disorder","30"
"Alcohol consumption","Recurrent disease","30"
"Factors, Risk","Autism Spectrum Disorders","30"
"Social Interaction","Pervasive Development Disorder","30"
"Social Role","Psychotic Disorders","30"
"Social Role","Lewy Body Disease","30"
"Powers (Psychology)","cortex bone disorders","30"
"Exercise","Alzheimer's Disease","30"
"Impaired cognition","Brain Diseases","30"
"Fatigue","Depressive disorder","30"
"Like","Renal glomerular disease","30"
"Projection Defense Mechanism","Recurrent disease","30"
"Comprehension","neuropathology disease","30"
"Attention","Disorders, Mental","30"
"Experience","Disorders, Mental","30"
"Ethanol","Sensitization (disorder)","29"
"Projection Defense Mechanism","Depressive disorder","29"
"Social Role","Stress Disorders, Traumatic","29"
"Visual learning","Alzheimer's Disease","29"
"Seizures","Alzheimer's Disease","29"
"Emotions","cortex bone disorders","29"
"DEPRESSION MENTAL","Brain Diseases","29"
"Vision","cortex bone disorders","29"
"Social Role","Cardiovascular Diseases","29"
"smell perception","Alzheimer's Disease","29"
"Memory, Episodic","Alzheimer's Disease","29"
"Physical activity","Spinal Cord Diseases","29"
"Communication Response","Syndrome, Bloch-Sulzberger","29"
"Mental Retardation","Down Syndrome","29"
"Coitus","cortex bone disorders","29"
"Intrinsic drive","Spinal Cord Diseases","29"
"Reproduction","Polycystic Ovary Syndrome","29"
"Forgetful","Neurodegenerative Disorders","29"
"Behavior","Fragile X Syndrome","29"
"Withdrawal","Depressive disorder","29"
"Insight","Autistic Disorder","29"
"Behavior","Attention Deficit Disorder","28"
"Social Role","Sequela of disorder","28"
"Ethanol","Spinal Cord Diseases","28"
"Drug Dependence","Depressive disorder","28"
"DEPRESSION MENTAL","Syndrome","28"
"Seizures","Developmental delay (disorder)","28"
"Performance","Depressive disorder","28"
"Drug Dependence","Disorders, Mental","28"
"High risk of","Psychotic Disorders","28"
"Behavior","Brain Diseases","28"
"Social Role","Dyskinetic syndrome","28"
"Exercise","Parkinson Disease","28"
"Insight","Pervasive Development Disorder","28"
"Cognition","Disorder nervous system","28"
"Drug Dependence","Parkinson Disease","28"
"Overlying behavior","cortex bone disorders","28"
"Drug Dependence","Functional disorder","28"
"Learning Disorders","Learning Disorders","28"
"smell perception","Nose Diseases","28"
"Social Role","Cognition Disorders","28"
"Mental association","Bipolar Disorder","28"
"Comprehension","Neurodevelopmental disorder","28"
"Social Role","Obsessive-Compulsive Disorder","28"
"Social Interaction","Autistic Disorder","28"
"Depressive Symptoms","Depressive disorder","27"
"Alcohol consumption","Alcohol use disorder","27"
"Social Role","Disorder of pineal gland","27"
"Mental association","Pervasive Development Disorder","27"
"Psychological inhibition","Retinal Diseases","27"
"Object Recognition","cortex bone disorders","27"
"Comprehension","Pervasive Development Disorder","27"
"Unipolar Depression","Mood Disorders","27"
"Sex Behavior","Pituitary Diseases","27"
"Success","Alzheimer's Disease","27"
"Like","Attention deficit hyperactivity disorder","27"
"Communication Response","Lung diseases","27"
"Involvement with","Motor Neuron Disease","27"
"Visual Fields","Retinal Diseases","27"
"Communication Response","Fragile X Syndrome","27"
"Fear","Disorders, Mental","27"
"DEPRESSION MENTAL","Psychotic Disorders","27"
"Memory","Down Syndrome","27"
"Involvement with","Huntington Disease","27"
"DEPRESSION MENTAL","Attention deficit hyperactivity disorder","27"
"Social Role","Virus Diseases","27"
"Mental association","Syndrome","26"
"Methamphetamine","Parkinson Disease","26"
"Interested","Depressive disorder","26"
"Impaired cognition","Movement Disorders","26"
"Mood Disorders","Major Depressive Disorder","26"
"Social Role","Dystonia Disorders","26"
"Sets (Psychology)","Alzheimer's Disease","26"
"Performance","Disease Progression","26"
"Sex Behavior","Functional disorder","26"
"Intrinsic drive","cortex bone disorders","26"
"Psychological inhibition","Hypertensive disease","26"
"Memory impairment","cortex bone disorders","26"
"Sex Behavior","Spinal Cord Diseases","26"
"Emotions","Parkinson Disease","26"
"Psychological inhibition","Pituitary Diseases","26"
"Psychological inhibition","Hamartoma Syndrome, Multiple","26"
"Sleep","Sleep Disorders","26"
"Helplessness, Learned","Depressive disorder","26"
"Behavior","Fetal Alcohol Syndrome","26"
"smell perception","Depressive disorder","26"
"Behavior","Stereotypic Movement Disorder","26"
"DEPRESSION MENTAL","Migraine Disorders","26"
"Involvement with","Retinal Diseases","26"
"Hypokinesia","Parkinson Disease","26"
"Memory","Recurrent disease","26"
"Performance","Parkinson Disease","26"
"Hearing impairment","Diseases of inner ear","25"
"Involvement with","Autism Spectrum Disorders","25"
"Stress","Skin endocrine disorder","25"
"Availability of","cortex bone disorders","25"
"Impaired cognition","Parkinsonian Disorders","25"
"Like","Down Syndrome","25"
"Psychological inhibition","Van der Woude syndrome","25"
"Feedback - evaluative response process","Functional disorder","25"
"Amnesia","Functional disorder","25"
"Communication","Neurodegenerative Disorders","25"
"Indifferent mood","Depressive disorder","25"
"Psychological Transfer","cortex bone disorders","25"
"Hyperactive behavior","Hypertensive disease","25"
"Body Weight","Liver diseases","25"
"Feedback - system communication","Depressive disorder","25"
"Physical activity","Parkinson Disease","25"
"Mental association","Mild cognitive disorder","25"
"Attention","Depressive disorder","25"
"Anxiety","Parkinson Disease","25"
"Drug Dependence","Recurrent disease","25"
"Tinnitus","Functional disorder","25"
"Mental concentration","Neurodegenerative Disorders","25"
"Attention","Disorder nervous system","25"
"On examination - apathetic","Depressive disorder","25"
"Feedback - evaluative response process","Depressive disorder","25"
"Feedback - system communication","Functional disorder","25"
"Behavior","Mesulam Syndrome","25"
"Autistic Disorder","Parkinson Disease","25"
"Communication Response","Syndrome","24"
"DEPRESSION MENTAL","Disease Progression","24"
"Pain","Disorder nervous system","24"
"Like","Mood Disorders","24"
"Cocaine","Depressive disorder","24"
"Social Role","Autoimmune Diseases","24"
"Forgetful","Depressive disorder","24"
"Like","Post-Traumatic Stress Disorder","24"
"Psychological suppression","Spinal Cord Diseases","24"
"Social Role","Syndrome, Bloch-Sulzberger","24"
"Social Role","Hamartoma Syndrome, Multiple","24"
"Motivation","Depressive disorder","24"
"Mental association","Hamartoma Syndrome, Multiple","24"
"Hallucinations, Visual","Lewy Body Disease","24"
"Pain","Parkinson Disease","24"
"Pain","Syndrome","24"
"Social Role","Delirium, Dementia, Amnestic, Cognitive Disorders","24"
"Abnormal behavior","Stress Disorders, Traumatic","24"
"Body Weight","cortex bone disorders","24"
"Social Role","Fetal Alcohol Syndrome","24"
"Ethanol","Alcohol withdrawal syndrome","24"
"Autistic Disorder","cortex bone disorders","23"
"Behavior","Major Depressive Disorder","23"
"Psychological inhibition","Fragile X Syndrome","23"
"Chronic pain","Sensitization (disorder)","23"
