concept,disease,appearTimes,conceptClass
CD69 wt Allele,Parkinson Disease,97,Gene
Genes,Spinal Cord Diseases,97,Gene
Genes,Bipolar Disorder,96,Gene
SLC27A4 wt Allele,Idiopathic pneumonia syndrome,92,Gene
MAPT wt Allele,Neurotoxicity Syndromes,92,Gene
MPZ gene,Neurotoxicity Syndromes,90,Gene
GNRH1 Gene,Pituitary Diseases,90,Gene
HTT gene,Functional disorder,89,Gene
AR wt Allele,Androgen-Insensitivity Syndrome,89,Gene
BLM wt Allele,Bloom Syndrome,88,Gene
PARK2 gene,Parkinson Disease,88,Gene
MAPT wt Allele,cortex bone disorders,84,Gene
TARDBP wt Allele,Feline urological syndrome,82,Gene
CD69 wt Allele,Alzheimer's Disease,82,Gene
TH gene,Parkinson Disease,81,Gene
TP63 wt Allele,Androgen-Insensitivity Syndrome,81,Gene
FLT4 wt Allele,Milroy Disease,81,Gene
APP wt Allele,Alzheimer's Disease,80,Gene
Genes,Depressive disorder,79,Gene
Genes,Down Syndrome,79,Gene
PRNP wt Allele,Prion Diseases,78,Gene
INS gene,Alzheimer's Disease,76,Gene
Wild Type,Alzheimer's Disease,76,Gene
HTT gene,Disorder nervous system,74,Gene
GNRH1 wt Allele,Pituitary Diseases,74,Gene
PINK1 gene,Parkinson Disease,74,Gene
LITAF gene,cortex bone disorders,73,Gene
DES Gene,Dysequilibrium syndrome,72,Gene
Genes,Disease Progression,71,Gene
Retinoic Acid Response Element,Neurodegenerative Disorders,71,Gene
Tumor Necrosis Factor-alpha,Van der Woude syndrome,70,Gene
CRH Gene,Pituitary Diseases,70,Gene
CAT Gene,Spinal Cord Diseases,70,Gene
MAPT wt Allele,neuropathology disease,69,Gene
Chloramphenicol O-Acetyltransferase,Spinal Cord Diseases,69,Gene
ABCB6 wt Allele,Prion Diseases,68,Gene
Chloramphenicol Acetyl Transferase Gene,Spinal Cord Diseases,68,Gene
c-fos Genes,cortex bone disorders,68,Gene
LIPC Gene,Hodgkin Disease,67,Gene
LIPC wt Allele,Hodgkin Disease,67,Gene
Alleles,Alzheimer's Disease,67,Gene
SOD1 gene,Disease Progression,66,Gene
TARDBP wt Allele,Neurodegenerative Disorders,66,Gene
GFAP gene,cortex bone disorders,65,Gene
Wild Type,Spinal Cord Diseases,65,Gene
SHANK3 Gene,Autism Spectrum Disorders,65,Gene
Genes,Neurotoxicity Syndromes,64,Gene
ELN wt Allele,Williams Syndrome,63,Gene
SNCA gene,Parkinson Disease,63,Gene
TNF Gene,Van der Woude syndrome,63,Gene
ELN wt Allele,Werner Syndrome,61,Gene
Genes,Retinal Diseases,61,Gene
Chromosomes, Human, Pair 21,Down Syndrome,60,Gene
ENG wt Allele,cortex bone disorders,59,Gene
FUS wt Allele,Feline urological syndrome,58,Gene
GBA gene,Parkinson Disease,57,Gene
APP gene,cortex bone disorders,57,Gene
FASTK Gene,cortex bone disorders,57,Gene
CD69 wt Allele,Neurotoxicity Syndromes,56,Gene
AGT Gene,Hypertensive disease,56,Gene
Long Interspersed Element,Alzheimer's Disease,55,Gene
MECP2 gene,Neurodevelopmental disorder,55,Gene
Long Interspersed Element,cortex bone disorders,55,Gene
HOXA10 wt Allele,cortex bone disorders,54,Gene
FASTK Gene,Depressive disorder,52,Gene
MPZ gene,Parkinson Disease,52,Gene
Tumor Necrosis Factor-alpha,cortex bone disorders,52,Gene
PRNP gene,Alzheimer's Disease,52,Gene
SET Gene,cortex bone disorders,51,Gene
FMR1 wt Allele,Fragile X Syndrome,51,Gene
Genes,Liver diseases,51,Gene
LIFR wt Allele,Sturge-Weber Syndrome,50,Gene
BDNF Gene,Spinal Cord Diseases,50,Gene
NBN wt Allele,Nijmegen Breakage Syndrome,50,Gene
Long Interspersed Element,Functional disorder,49,Gene
CD69 wt Allele,Functional disorder,49,Gene
HP wt Allele,Norrie disease,49,Gene
Wild Type,Depressive disorder,49,Gene
Wild Type,Neurotoxicity Syndromes,49,Gene
c-fos Genes,Spinal Cord Diseases,49,Gene
HP Gene,Norrie disease,49,Gene
TNF Gene,cortex bone disorders,49,Gene
PRL Gene,Pituitary Diseases,49,Gene
SST Gene,cortex bone disorders,49,Gene
Retinoic Acid Response Element,Hereditary Diseases,48,Gene
BDNF Gene,Depressive disorder,48,Gene
PLOD1 gene,Pituitary Diseases,48,Gene
NBN wt Allele,Nicolaides Baraitser syndrome,48,Gene
DYRK1A Gene,Down Syndrome,48,Gene
SILV wt Allele,cortex bone disorders,47,Gene
Genes,Fragile X Syndrome,47,Gene
Tumor Necrosis Factor-alpha,Neurotoxicity Syndromes,47,Gene
MAPT wt Allele,Lewy Body Disease,47,Gene
CD69 wt Allele,Depressive disorder,47,Gene
CHAT Gene,Alzheimer's Disease,46,Gene
Genes,Parkinsonian Disorders,46,Gene
MAPT gene,Neurodegenerative Disorders,46,Gene
PSEN1 gene,cortex bone disorders,46,Gene
SH3PXD2A wt Allele,Retinal Diseases,45,Gene
ANG Gene,Hypertensive disease,45,Gene
BDNF Gene,cortex bone disorders,45,Gene
PRNP wt Allele,Creutzfeldt-Jakob disease,45,Gene
MAPT wt Allele,Pick Disease of the Brain,44,Gene
Chloramphenicol O-Acetyltransferase,Retinal Diseases,44,Gene
CAT Gene,Retinal Diseases,44,Gene
PRNP wt Allele,Alzheimer's Disease,44,Gene
Chloramphenicol Acetyl Transferase Gene,Retinal Diseases,44,Gene
MAPT wt Allele,Parkinson Disease,43,Gene
HTT gene,Disease Progression,43,Gene
Genes,Hereditary Diseases,42,Gene
CD69 wt Allele,Disease Progression,42,Gene
Retinoic Acid Response Element,Syndrome,42,Gene
UBE3A gene,Neurodevelopmental disorder,42,Gene
Genes,Feline urological syndrome,42,Gene
AKT1S1 wt Allele,Renal glomerular disease,42,Gene
SOD1 wt Allele,Spinal Cord Diseases,42,Gene
Genes,neuropathology disease,41,Gene
PRNP wt Allele,Gerstmann-Straussler-Scheinker Disease,41,Gene
CD69 wt Allele,cortex bone disorders,41,Gene
CHAT Gene,cortex bone disorders,41,Gene
Genotype,Alzheimer's Disease,41,Gene
PARK7 wt Allele,Parkinson Disease,41,Gene
PSEN1 wt Allele,cortex bone disorders,41,Gene
UBE3A gene,Angelman Syndrome,41,Gene
TARDBP Gene,Feline urological syndrome,41,Gene
NGF Gene,Alzheimer's Disease,41,Gene
RRM1 Gene,Syndrome, Bloch-Sulzberger,40,Gene
CD82 wt Allele,Syndrome, Bloch-Sulzberger,40,Gene
RRM2 Gene,Syndrome, Bloch-Sulzberger,40,Gene
TARDBP wt Allele,Spinal Cord Diseases,40,Gene
POMC Gene,Pituitary Diseases,40,Gene
Genes,Ataxia as late effect of cerebrovascular disease,40,Gene
CD55 wt Allele,cortex bone disorders,40,Gene
NOTCH3 wt Allele,CADASIL Syndrome,40,Gene
CARD8 wt Allele,Parkinson Disease,39,Gene
POMC wt Allele,Pituitary Diseases,39,Gene
TNF Gene,Neurotoxicity Syndromes,39,Gene
Genes,Brain Diseases,39,Gene
CARD8 Gene,Parkinson Disease,39,Gene
SOD1 gene,Feline urological syndrome,38,Gene
PRNP gene,Neurodegenerative Disorders,38,Gene
MAPT wt Allele,Parkinsonian Disorders,38,Gene
BDNF Gene,Alzheimer's Disease,38,Gene
PPFIBP1 wt Allele,cortex bone disorders,38,Gene
SOD1 wt Allele,Neurodegenerative Disorders,38,Gene
ABCB6 wt Allele,Alzheimer's Disease,37,Gene
PRNP gene,Communicable Diseases,37,Gene
RELN Gene,cortex bone disorders,37,Gene
KISS1 Gene,Pituitary Diseases,37,Gene
HCRT Gene,Depressive disorder,37,Gene
SLC6A4 wt Allele,Huntington Disease,36,Gene
HCRT Gene,Sleep Disorders,36,Gene
PITX2 wt Allele,Axenfeld-Rieger Syndrome, Type 1,36,Gene
SLC6A4 gene,Huntington Disease,36,Gene
Retinoic Acid Response Element,Disorder nervous system,36,Gene
TARDBP wt Allele,Functional disorder,35,Gene
MAPT wt Allele,Mild cognitive disorder,35,Gene
Exons,Huntington Disease,35,Gene
Long Interspersed Element,Parkinson Disease,35,Gene
SLC6A3 Gene,Parkinson Disease,34,Gene
GBA gene,Gaucher Disease,34,Gene
Wild Type,Functional disorder,34,Gene
Retinoic Acid Response Element,Alzheimer's Disease,34,Gene
MAPT wt Allele,Spinal Cord Diseases,34,Gene
CD69 wt Allele,Spinal Cord Diseases,34,Gene
COL4A5 wt Allele,Andersen Syndrome,33,Gene
AKT1S1 wt Allele,cortex bone disorders,33,Gene
COL4A5 wt Allele,Arterial Tortuosity Syndrome,33,Gene
TH gene,cortex bone disorders,33,Gene
C3 Gene,Spinal Cord Diseases,33,Gene
ATP8A2 wt Allele,Functional disorder,33,Gene
PTPN11 wt Allele,Noonan Syndrome,33,Gene
INS gene,Functional disorder,32,Gene
Wild Type,Parkinson Disease,32,Gene
Retinoic Acid Response Element,Neurodevelopmental disorder,32,Gene
APP gene,Functional disorder,32,Gene
Long Interspersed Element,Depressive disorder,32,Gene
TPO wt Allele,Shy-Drager Syndrome,32,Gene
GNAI1 Gene,Gardner Syndrome,31,Gene
GNAI1 wt Allele,Gardner Syndrome,31,Gene
CD69 wt Allele,Neurodegenerative Disorders,31,Gene
Genes,Developmental delay (disorder),31,Gene
IDS wt Allele,Sudden infant death syndrome,31,Gene
ENG wt Allele,Spinal Cord Diseases,30,Gene
Transgenes,Spinal Cord Diseases,30,Gene
Tumor Necrosis Factor-alpha,Spinal Cord Diseases,30,Gene
FASTK Gene,Functional disorder,30,Gene
HTT gene,Alzheimer's Disease,30,Gene
SHANK3 Gene,Pervasive Development Disorder,30,Gene
C9orf72 Gene,Motor Neuron Disease,29,Gene
CALD1 wt Allele,Coronary Artery Disease,29,Gene
PSEN1 gene,Familial Alzheimer Disease (FAD),29,Gene
SCG2 Gene,Parkinson Disease,29,Gene
HCRT Gene,Functional disorder,29,Gene
Long Interspersed Element,Neurodegenerative Disorders,29,Gene
FMR1 gene,Syndrome,29,Gene
Genes,Major Depressive Disorder,29,Gene
CAD Gene,Coronary Artery Disease,29,Gene
Retinoic Acid Response Element,Pervasive Development Disorder,29,Gene
PITX2 wt Allele,cortex bone disorders,29,Gene
C9orf72 Gene,Feline urological syndrome,29,Gene
APP gene,Disease Progression,28,Gene
Heterozygote,Pervasive Development Disorder,28,Gene
CREBBP wt Allele,Rett Syndrome,28,Gene
CREBBP wt Allele,Rothmund-Thomson syndrome,28,Gene
RECQL4 wt Allele,Rothmund-Thomson syndrome,28,Gene
MTA2 Gene,Pelvic Inflammatory Disease,28,Gene
RECQL4 wt Allele,Rett Syndrome,28,Gene
MTA2 wt Allele,Pelvic Inflammatory Disease,28,Gene
GH1 Gene,Pituitary Diseases,28,Gene
MECP2 wt Allele,Neurodevelopmental disorder,28,Gene
CNR1 gene,Depressive disorder,28,Gene
GFAP gene,Spinal Cord Diseases,28,Gene
GGH wt Allele,Pituitary Diseases,28,Gene
ANG Gene,Macrophage Activation Syndrome,27,Gene
Retinoic Acid Response Element,Autism Spectrum Disorders,27,Gene
Genes,Kallmann Syndrome,27,Gene
ANG Gene,McCune-Albright Syndrome,27,Gene
Long Interspersed Element,Neurotoxicity Syndromes,27,Gene
BDNF Gene,Functional disorder,27,Gene
TH gene,Neurotoxicity Syndromes,27,Gene
ANG Gene,Meconium Aspiration Syndrome,27,Gene
Genes,Motor Neuron Disease,27,Gene
Genes,Attention deficit hyperactivity disorder,27,Gene
PRNP wt Allele,Communicable Diseases,27,Gene
Long Interspersed Element,Disease Progression,27,Gene
GDNF Gene,Parkinson Disease,27,Gene
PRNP wt Allele,Neurodegenerative Disorders,26,Gene
SOD1 wt Allele,Disease Progression,26,Gene
BDNF Gene,Neurotoxicity Syndromes,26,Gene
PRNP gene,Creutzfeldt-Jakob disease,26,Gene
TARDBP wt Allele,Alzheimer's Disease,26,Gene
FBN1 wt Allele,Schinzel-Giedion syndrome,26,Gene
SET Gene,Alzheimer's Disease,26,Gene
FASLG Gene,Fetal Alcohol Syndrome,26,Gene
TNF Gene,Spinal Cord Diseases,26,Gene
SOD1 wt Allele,Papillon-Lefevre Disease,26,Gene
SH3PXD2A wt Allele,DISORDERS OF THE OPTIC NERVE,26,Gene
HTT gene,cortex bone disorders,26,Gene
AVP Gene,Pituitary Diseases,26,Gene
Wild Type,Huntington Disease,26,Gene
Genome,Alzheimer's Disease,25,Gene
Promoter,cortex bone disorders,25,Gene
Genes,Pituitary Diseases,25,Gene
NGF Gene,cortex bone disorders,25,Gene
ABCB6 wt Allele,Communicable Diseases,25,Gene
SOD1 wt Allele,Motor Neuron Disease,25,Gene
PROC wt Allele,cortex bone disorders,25,Gene
INS gene,Liver diseases,25,Gene
Wild Type,Disease Progression,25,Gene
MAPT wt Allele,Down Syndrome,25,Gene
MAPT wt Allele,Retinal Diseases,25,Gene
SOD1 wt Allele,Functional disorder,24,Gene
SNCA gene,Shy-Drager Syndrome,24,Gene
CRH Gene,Depressive disorder,24,Gene
Genes,Lysosomal Storage Diseases,24,Gene
SH3PXD2A wt Allele,Pituitary Diseases,24,Gene
SYP Gene,Alzheimer's Disease,24,Gene
TH gene,Spinal Cord Diseases,24,Gene
NOS2 Gene,Van der Woude syndrome,24,Gene
SST Gene,Alzheimer's Disease,24,Gene
INS gene,Pancreatic Diseases,24,Gene
GYPA wt Allele,Spinal Cord Diseases,24,Gene
Long Interspersed Element,Retinal Diseases,23,Gene
SOD1 wt Allele,Alzheimer's Disease,23,Gene
LRRK2 gene,Functional disorder,23,Gene
NPY Gene,cortex bone disorders,23,Gene
Genes,Williams Syndrome,23,Gene
S100A10 wt Allele,Depressive disorder,23,Gene
PITX2 wt Allele,Syndrome, Bloch-Sulzberger,23,Gene
MECP2 gene,Disorder nervous system,23,Gene
FUS Gene,Neurodegenerative Disorders,23,Gene
PSEN1 gene,Functional disorder,23,Gene
RPL5 wt Allele,cortex bone disorders,23,Gene
SYP Gene,cortex bone disorders,23,Gene
ABCB6 wt Allele,Neurodegenerative Disorders,23,Gene
S100A10 Gene,Depressive disorder,23,Gene
NOS2 wt Allele,Van der Woude syndrome,23,Gene
FAM49B wt Allele,Spinal Cord Diseases,23,Gene
Long Interspersed Element,Spinal Cord Diseases,23,Gene
MAP Kinase Gene,Neurotoxicity Syndromes,23,Gene
Exons,Neurodegenerative Disorders,23,Gene
GRN Gene,Neurodegenerative Disorders,23,Gene
TLR4 Gene,Van der Woude syndrome,23,Gene
TH gene,Pituitary Diseases,22,Gene
Tumor Necrosis Factor-alpha,Functional disorder,22,Gene
OXT Gene,Pituitary Diseases,22,Gene
INS gene,Neurodegenerative Disorders,22,Gene
PARK2 gene,Functional disorder,22,Gene
Genes,Niemann-Pick Disease, Type C,22,Gene
SET Gene,Pervasive Development Disorder,22,Gene
GRIN2B wt Allele,Depressive disorder,22,Gene
PTEN gene,Pervasive Development Disorder,22,Gene
CNTNAP2 Gene,Pervasive Development Disorder,22,Gene
APOE*4 Allele,Alzheimer's Disease,22,Gene
PROC Gene,cortex bone disorders,22,Gene
PODXL wt Allele,cortex bone disorders,22,Gene
RPL5 wt Allele,Spinal Cord Diseases,22,Gene
TARDBP wt Allele,Motor Neuron Disease,22,Gene
Genome,Functional disorder,22,Gene
SIRT1 Gene,Depressive disorder,22,Gene
Tumor Necrosis Factor-alpha,Alzheimer's Disease,22,Gene
PODXL Gene,cortex bone disorders,22,Gene
KRT17 wt Allele,cortex bone disorders,22,Gene
SST Gene,Sweet Syndrome,22,Gene
ATP8A2 wt Allele,cortex bone disorders,22,Gene
ELL wt Allele,Parkinson Disease,21,Gene
CRH Gene,Skin endocrine disorder,21,Gene
Genes,Dystonia Disorders,21,Gene
PITX2 wt Allele,Spinal Cord Diseases,21,Gene
CHD8 Gene,Pervasive Development Disorder,21,Gene
HTT gene,Hereditary Diseases,21,Gene
Retinoic Acid Response Element,Lysosomal Storage Diseases,21,Gene
FASLG wt Allele,Fetal Alcohol Syndrome,21,Gene
Genes,Familial Alzheimer Disease (FAD),21,Gene
RCAN1 Gene,Down Syndrome,21,Gene
Wild Type,Van der Woude syndrome,21,Gene
HCRT Gene,Narcolepsy-Cataplexy Syndrome,21,Gene
FMR1 gene,Ataxia as late effect of cerebrovascular disease,21,Gene
HTT gene,Neurotoxicity Syndromes,21,Gene
CHAT Gene,Spinal Cord Diseases,21,Gene
MAPT wt Allele,Syndrome,21,Gene
EPM2A gene,Lafora Disease,21,Gene
NTRK2 Gene,Alzheimer's Disease,21,Gene
PRNP gene,Creutzfeldt-Jakob Disease, Sporadic,21,Gene
PRNP wt Allele,Creutzfeldt-Jakob Disease, Sporadic,21,Gene
SLC6A4 gene,Depressive disorder,21,Gene
Retinoic Acid Response Element,Functional disorder,20,Gene
Wild Type,Rett Syndrome,20,Gene
GYPA Gene,Neurotoxicity Syndromes,20,Gene
SOD1 wt Allele,Parkinson Disease,20,Gene
GYPA wt Allele,Neurotoxicity Syndromes,20,Gene
LEP Gene,Functional disorder,20,Gene
TYMS Gene,Down Syndrome,20,Gene
TH gene,Retinal Diseases,20,Gene
PRNP gene,Neurotoxicity Syndromes,20,Gene
MAPT gene,Parkinsonian Disorders,20,Gene
FST wt Allele,cortex bone disorders,20,Gene
TGFB1 wt Allele,Camurati-Engelmann Syndrome,20,Gene
SHANK3 Gene,Autistic Disorder,20,Gene
APP gene,Neurotoxicity Syndromes,20,Gene
TPO wt Allele,Parkinson Disease,20,Gene
Genes,Prader-Willi Syndrome,20,Gene
TYMS wt Allele,Down Syndrome,20,Gene
NES Gene,cortex bone disorders,20,Gene
TLR4 wt Allele,Van der Woude syndrome,20,Gene
CA9 Gene,Neurotoxicity Syndromes,20,Gene
Genes, X-Linked,Rett Syndrome,20,Gene
BIN1 Gene,Alzheimer's Disease,20,Gene
Genome,Pervasive Development Disorder,20,Gene
HTT wt Allele,Alzheimer's Disease,20,Gene
Retinoic Acid Response Element,Parkinsonian Disorders,20,Gene
SQSTM1 Gene,cortex bone disorders,20,Gene
Wild Type,Fragile X Syndrome,19,Gene
ROS1 wt Allele,Neurotoxicity Syndromes,19,Gene
NTRK2 Gene,Spinal Cord Diseases,19,Gene
TPO wt Allele,Lewy Body Disease,19,Gene
ABCB6 wt Allele,Creutzfeldt-Jakob Disease, Sporadic,19,Gene
Alleles,Angelman Syndrome,19,Gene
MTR Gene,cortex bone disorders,19,Gene
LEP Gene,Alzheimer's Disease,19,Gene
ELK3 wt Allele,cortex bone disorders,19,Gene
SET Gene,Spinal Cord Diseases,19,Gene
CTSD Gene,Alzheimer's Disease,19,Gene
TNF Gene,Alzheimer's Disease,19,Gene
EPHB1 Gene,cortex bone disorders,19,Gene
ROS1 Gene,Neurotoxicity Syndromes,19,Gene
ELK3 Gene,cortex bone disorders,19,Gene
ATP8A2 wt Allele,Depressive disorder,19,Gene
SLC6A4 wt Allele,Depressive disorder,19,Gene
MTR wt Allele,cortex bone disorders,19,Gene
MECP2 gene,Functional disorder,19,Gene
FUS Gene,Functional disorder,19,Gene
PINK1 gene,Functional disorder,19,Gene
MECP2 gene,Pervasive Development Disorder,19,Gene
HTT gene,Movement Disorders,19,Gene
Promoter,Spinal Cord Diseases,19,Gene
TH gene,Renal glomerular disease,18,Gene
APP gene,Down Syndrome,18,Gene
LITAF gene,Retinal Diseases,18,Gene
TNF Gene,Functional disorder,18,Gene
DNA, Mitochondrial,Parkinson Disease,18,Gene
Chromosomes, Human, Pair 17,Parkinsonian Disorders,18,Gene
HTT gene,Depressive disorder,18,Gene
PTEN gene,Parkinson Disease,18,Gene
Trinucleotide Repeats,Huntington Disease,18,Gene
Genome,Neurodegenerative Disorders,18,Gene
PRNP gene,Gerstmann-Straussler-Scheinker Disease,18,Gene
Genes,Machado-Joseph Disease,18,Gene
UBE4B wt Allele,Alzheimer's Disease,18,Gene
ELL wt Allele,Alzheimer's Disease,18,Gene
Heterozygote,Parkinson Disease,18,Gene
Genes, Immediate-Early,cortex bone disorders,18,Gene
RANGAP1 wt Allele,Alzheimer's Disease,18,Gene
Heterozygote,Autism Spectrum Disorders,18,Gene
CLU Gene,Alzheimer's Disease,18,Gene
SHANK3 Gene,22q13.3 Deletion Syndrome,18,Gene
SH3PXD2A wt Allele,Disorder of pineal gland,18,Gene
HTT gene,neuropathology disease,18,Gene
KHDRBS1 wt Allele,cortex bone disorders,17,Gene
GBA wt Allele,Parkinson Disease,17,Gene
HPR wt Allele,Hamartoma Syndrome, Multiple,17,Gene
HTT wt Allele,Neurodegenerative Disorders,17,Gene
PSEN1 gene,Disease Progression,17,Gene
HCRT Gene,Hypertensive disease,17,Gene
SQSTM1 wt Allele,cortex bone disorders,17,Gene
RELN Gene,Alzheimer's Disease,17,Gene
PRNP wt Allele,Neurotoxicity Syndromes,17,Gene
Retinoic Acid Response Element,Motor Neuron Disease,17,Gene
HP Gene,Neurotoxicity Syndromes,17,Gene
CSPG4 Gene,Spinal Cord Diseases,17,Gene
CREB1 Gene,Depressive disorder,17,Gene
FBN1 wt Allele,cortex bone disorders,17,Gene
Haploinsufficiency,Pervasive Development Disorder,17,Gene
TM4SF1 wt Allele,Spinal Cord Diseases,17,Gene
GFAP gene,Retinal Diseases,17,Gene
HP wt Allele,Neurotoxicity Syndromes,17,Gene
BACE1 wt Allele,Alzheimer's Disease,17,Gene
Genes,Gilles de la Tourette syndrome,17,Gene
MTOR Gene,cortex bone disorders,17,Gene
MECP2 gene,Autism Spectrum Disorders,17,Gene
SOD1 wt Allele,Parkinsonian Disorders,17,Gene
C9orf72 Gene,Neurodegenerative Disorders,17,Gene
SQSTM1 Gene,Alzheimer's Disease,17,Gene
DNA, Mitochondrial,Mitochondrial Diseases,17,Gene
FANCA wt Allele,Alzheimer's Disease,17,Gene
CSPG4 wt Allele,Spinal Cord Diseases,17,Gene
HEXB gene,Sandhoff Disease,17,Gene
HP Gene,Hamartoma Syndrome, Multiple,17,Gene
BDNF Gene,Parkinson Disease,17,Gene
BDNF Gene,Retinal Diseases,17,Gene
DLC1 wt Allele,Hamartoma Syndrome, Multiple,17,Gene
CREB1 wt Allele,Depressive disorder,17,Gene
MYH9 wt Allele,Fechtner syndrome (disorder),17,Gene
GRN Gene,Functional disorder,17,Gene
ABCB6 wt Allele,Neurotoxicity Syndromes,17,Gene
GRIN2B wt Allele,Functional disorder,17,Gene
LITAF gene,Alzheimer's Disease,17,Gene
FMR1 gene,Autistic Disorder,17,Gene
Wild Type,Retinal Diseases,17,Gene
TH gene,Functional disorder,17,Gene
Exons,Alzheimer's Disease,16,Gene
SET Gene,Parkinson Disease,16,Gene
MAP Kinase Gene,Alzheimer's Disease,16,Gene
Retinoic Acid Response Element,Parkinson Disease,16,Gene
ELANE wt Allele,cortex bone disorders,16,Gene
HSPG2 wt Allele,Syndrome, Bloch-Sulzberger,16,Gene
C3 Gene,Alzheimer's Disease,16,Gene
FUS Gene,Spinal Cord Diseases,16,Gene
MAPT wt Allele,Disorder nervous system,16,Gene
GRIN2B wt Allele,cortex bone disorders,16,Gene
MTOR Gene,Functional disorder,16,Gene
Cancer-Predisposing Gene,Disorders, Mental,16,Gene
KISS1 Gene,Polycystic Ovary Syndrome,16,Gene
VIP wt Allele,cortex bone disorders,16,Gene
AGER Gene,Alzheimer's Disease,16,Gene
TARDBP wt Allele,Neurotoxicity Syndromes,16,Gene
NFIC Gene,Alzheimer's Disease,16,Gene
Heterozygote,Syndrome,16,Gene
NFIC wt Allele,Alzheimer's Disease,16,Gene
MAPT wt Allele,Feline urological syndrome,16,Gene
CDK5R1 wt Allele,Neurodegenerative Disorders,16,Gene
HSPG2 Gene,Syndrome, Bloch-Sulzberger,16,Gene
Genome,Parkinson Disease,16,Gene
Retinoic Acid Response Element,Shy-Drager Syndrome,16,Gene
VIP Gene,cortex bone disorders,16,Gene
Wild Type,Feline urological syndrome,16,Gene
ATP8A2 wt Allele,Neurotoxicity Syndromes,16,Gene
PLP1 gene,Pelizaeus-Merzbacher Disease,16,Gene
RASA1 Gene,Spinal Cord Diseases,16,Gene
PTEN gene,Autism Spectrum Disorders,16,Gene
